SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AAL,20250717 04:02:31.000000,0,12.22,12.22,8,8,8,8,8,0.02,0.16,0.02,0.16,0.02,0.16,0.02,0.16,0.02,0.16,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.2,12.22,12.22,12.2,12.22
AAL,20250717 04:03:37.000000,0,12.22,12.22,18,26,26,26,26,0,0,0.02,0.16,0.02,0.16,0.02,0.16,0.02,0.16,0.02,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,12.22,12.22,12.22,12.2,12.22
AAL,20250717 04:04:36.000000,0,12.22,12.22,10,36,36,36,36,0.03,0.32,0.06,0.48,0.06,0.48,0.06,0.48,0.06,0.48,0.06,0.48,0.03,0.32,0.03,0.32,0.03,0.32,0.03,0.32,0.03,0.32,0.03,0.32,0.03,0.32,12.26,12.22,12.26,12.26,12.2,12.26
AAL,20250717 04:05:33.000000,0,12.22,12.22,30,66,66,66,66,0.02,0.24,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,-0.02,-0.24,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,12.23,12.23,12.23,12.26,12.2,12.26
AAL,20250717 04:07:05.000000,0,12.22,12.22,900,958,966,966,966,0.01,0.16,0.04,0.4,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,-0.01,-0.16,0,-0.08,0,-0.08,0,-0.08,0,-0.08,0,-0.08,0,-0.08,12.21,12.21,12.22,12.23,12.21,12.26
AAL,20250717 04:09:32.000000,0,12.21,12.22,12,952,978,978,978,0,0,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0,0,-0.06,-0.49,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,12.2,12.2,12.2,12.2,12.2,12.26
AAL,20250717 04:10:35.000000,0,12.21,12.21,2708,3620,3686,3686,3686,0,0,0.02,0.16,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0,0,-0.01,-0.08,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,12.2,12.2,12.2,12.2,12.2,12.22
AAL,20250717 04:12:30.000000,0,12.21,12.21,424,3144,4102,4110,4110,0,0,0,0,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0,0,0,0,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,12.2,12.2,12.2,12.2,12.2,12.2
AAL,20250717 04:17:49.000000,0,12.21,12.21,20,3152,4104,4130,4130,0,0,0.01,0.08,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0,0,0.01,0.08,-0.04,-0.4,0,-0.08,0,-0.08,0,-0.08,0,-0.08,12.21,12.21,12.21,12.21,12.2,12.21
AAL,20250717 04:23:18.000000,0,12.21,12.21,3080,3080,6232,7184,7210,0,0.08,0,0.08,0.06,0.49,0.06,0.49,0.06,0.49,0.06,0.49,0,0,0,0,0.02,0.16,-0.03,-0.32,0,0,0,0,0,0,12.21,12.21,12.22,12.22,12.21,12.22
AAL,20250717 04:24:20.000000,0,12.21,12.21,252,252,3332,6484,7462,0,0,0,0,0.02,0.16,0.06,0.49,0.06,0.49,0.06,0.49,0,0,0,0,0,-0.08,0.01,0.08,0,-0.08,0,-0.08,0,-0.08,12.21,12.21,12.21,12.21,12.21,12.21
AAL,20250717 04:25:25.000000,0,12.2,12.21,3519,3771,6851,7295,10981,0.02,0.16,0.02,0.16,0.03,0.24,0.07,0.57,0.07,0.57,0.07,0.57,-0.02,-0.16,-0.02,-0.16,-0.03,-0.24,0,-0.08,-0.03,-0.24,-0.03,-0.24,-0.03,-0.24,12.19,12.19,12.2,12.21,12.19,12.21
AAL,20250717 04:29:47.000000,0,12.2,12.21,265,4036,7116,7136,11246,0,0.08,0.02,0.16,0.03,0.24,0.07,0.57,0.07,0.57,0.07,0.57,0,0.08,-0.01,-0.08,-0.02,-0.16,-0.01,-0.08,-0.02,-0.16,-0.02,-0.16,-0.02,-0.16,12.19,12.19,12.2,12.2,12.19,12.21
AAL,20250717 04:31:14.000000,0,12.2,12.21,200,465,4236,7316,11446,0,0,0,0.08,0.03,0.24,0.07,0.57,0.07,0.57,0.07,0.57,0,0,0,-0.08,-0.02,-0.16,-0.03,-0.24,-0.03,-0.24,-0.03,-0.24,-0.03,-0.24,12.19,12.19,12.19,12.19,12.19,12.2
AAL,20250717 04:34:02.000000,0,12.2,12.2,420,620,4656,7736,11858,0,0.08,0,0.08,0.03,0.24,0.07,0.57,0.07,0.57,0.07,0.57,0,0,0,0,-0.02,-0.16,-0.03,-0.24,-0.03,-0.24,-0.03,-0.24,-0.03,-0.24,12.19,12.19,12.2,12.2,12.19,12.2
AAL,20250717 04:35:02.000000,0,12.19,12.2,2851,3271,3736,7507,14651,0,0.08,0.01,0.16,0.03,0.24,0.04,0.32,0.08,0.65,0.08,0.65,0,0,0,-0.08,-0.01,-0.16,-0.03,-0.24,-0.03,-0.24,-0.04,-0.32,-0.04,-0.32,12.18,12.18,12.19,12.19,12.18,12.2
AAL,20250717 04:36:24.000000,0,12.19,12.2,229,3500,3700,7736,13980,0,0.08,0.01,0.16,0.03,0.24,0.04,0.32,0.08,0.65,0.08,0.65,0,0,0,-0.08,0,-0.08,-0.03,-0.24,-0.01,-0.16,-0.04,-0.32,-0.04,-0.32,12.18,12.18,12.18,12.19,12.18,12.2
