SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AAPL,20250717 04:01:01.000000,0,210.52,210.52,2775,2775,2775,2775,2775,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210.57,210.57,210,210.57
AAPL,20250717 04:02:02.000000,0,210.49,210.5,1427,4202,4202,4202,4202,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,210.41,210,210.49,210.57,210,210.57
AAPL,20250717 04:03:01.000000,0,210.48,210.5,6566,10768,10768,10768,10768,0.15,0.07,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0,0,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,-0.11,-0.05,210.35,210.35,210.5,210.5,210,210.57
AAPL,20250717 04:04:02.000000,0,210.48,210.49,962,11730,11730,11730,11730,0.15,0.07,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.08,0.03,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,210.36,210.35,210.51,210.51,210,210.57
AAPL,20250717 04:05:04.000000,0,210.47,210.49,783,12513,12513,12513,12513,0.14,0.07,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.05,-0.02,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,210.4,210.36,210.5,210.51,210,210.57
AAPL,20250717 04:06:07.000000,0,210.45,210.48,383,10121,12896,12896,12896,0.12,0.05,0.15,0.07,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.05,-0.02,-0.02,0,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,210.38,210.38,210.44,210.5,210.35,210.51
AAPL,20250717 04:07:06.000000,0,210.44,210.47,1669,10363,14565,14565,14565,0.09,0.04,0.15,0.07,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.03,0.01,0,0,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,210.4,210.38,210.47,210.47,210.35,210.51
AAPL,20250717 04:08:01.000000,0,210.43,210.46,766,4563,15331,15331,15331,0.13,0.06,0.17,0.08,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.05,-0.02,-0.12,-0.06,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,210.33,210.33,210.42,210.47,210.33,210.51
AAPL,20250717 04:09:02.000000,0,210.39,210.44,1950,5551,17281,17281,17281,0.16,0.08,0.25,0.11,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.09,-0.04,-0.16,-0.08,-0.25,-0.11,-0.25,-0.11,-0.25,-0.11,-0.25,-0.11,-0.25,-0.11,210.25,210.25,210.37,210.42,210.25,210.5
AAPL,20250717 04:10:06.000000,0,210.39,210.44,277,5045,17558,17558,17558,0.12,0.05,0.21,0.1,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.09,0.04,-0.01,0,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,-0.15,-0.07,210.3,210.25,210.37,210.37,210.25,210.47
AAPL,20250717 04:11:05.000000,0,210.38,210.42,1126,5788,15909,18684,18684,0.09,0.04,0.21,0.1,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.03,-0.01,-0.08,-0.04,-0.07,-0.03,-0.18,-0.09,-0.18,-0.09,-0.18,-0.09,-0.18,-0.09,210.29,210.29,210.38,210.38,210.25,210.47
AAPL,20250717 04:12:15.000000,0,210.36,210.41,270,4389,14752,18954,18954,0.1,0.05,0.16,0.08,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.04,-0.01,-0.07,-0.03,-0.12,-0.05,-0.23,-0.1,-0.23,-0.1,-0.23,-0.1,-0.23,-0.1,210.27,210.27,210.31,210.38,210.25,210.42
AAPL,20250717 04:13:01.000000,0,210.35,210.4,156,3779,8342,19110,19110,0.07,0.03,0.12,0.06,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.04,0.01,0.06,0.02,-0.15,-0.07,-0.18,-0.09,-0.18,-0.09,-0.18,-0.09,-0.18,-0.09,210.27,210.27,210.35,210.35,210.25,210.38
AAPL,20250717 04:14:04.000000,0,210.34,210.39,1090,2919,8470,20200,20200,0.07,0.03,0.1,0.05,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,-0.04,-0.01,-0.08,-0.03,-0.15,-0.07,-0.23,-0.1,-0.23,-0.1,-0.23,-0.1,-0.23,-0.1,210.28,210.27,210.35,210.35,210.27,210.38
AAPL,20250717 04:15:34.000000,0,210.33,210.38,355,2997,8042,20555,20555,0.06,0.03,0.1,0.05,0.56,0.27,0.56,0.27,0.56,0.27,0.56,0.27,0.03,0.01,-0.01,0,-0.06,-0.03,-0.2,-0.09,-0.2,-0.09,-0.2,-0.09,-0.2,-0.09,210.31,210.28,210.33,210.35,210.27,210.38
