SymbolId,CurrentTime,Index,DayPatternId,DayPatternValue
AMCR,20250717 00:00:00.000000,0,YGD,True
AMCR,20250717 00:00:00.000000,0,YGD2,False
AMCR,20250717 00:00:00.000000,0,YRD,False
AMCR,20250717 00:00:00.000000,0,YRD2,False
AMCR,20250717 00:00:00.000000,0,SSR2,False
AMCR,20250717 00:00:00.000000,0,NR4,False
AMCR,20250717 00:00:00.000000,0,NR5,False
AMCR,20250717 00:00:00.000000,0,NR6,False
AMCR,20250717 00:00:00.000000,0,NR7,False
AMCR,20250717 00:00:00.000000,0,SGUS_ND,False
AMCR,20250717 00:00:00.000000,0,SGUS,False
AMCR,20250717 00:00:00.000000,0,NGUS,False
AMCR,20250717 00:00:00.000000,0,SSR1,False
AMCR,20250717 00:00:00.000000,0,GUS_21D_NR61,False
AMCR,20250717 00:00:00.000000,0,YGD_AH,False
AMCR,20250717 00:00:00.000000,0,RRG,False
AMCR,20250717 00:00:00.000000,0,RRGG,False
AMCR,20250717 00:00:00.000000,0,GpUp_PD123,True
AMCR,20250717 00:00:00.000000,0,GpUp_PD123_B_H,True
AMCR,20250717 00:00:00.000000,0,GpUp_PD123,False
