SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AMCR,20250717 07:20:48.000000,0,9.43,9.43,36,36,36,36,36,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.43,9.43,9.46,9.46,9.43,9.46
AMCR,20250717 07:32:07.000000,0,9.43,9.43,1,1,1,1,37,0,0,0,0,0,0,0.03,0.31,0.03,0.31,0.03,0.31,0,0,0,0,0,0,0,0,0.03,0.31,0.03,0.31,0.03,0.31,9.46,9.46,9.46,9.46,9.46,9.46
AMCR,20250717 07:46:15.000000,0,9.43,9.43,26,26,26,27,27,0,0.1,0,0.1,0.04,0.42,0.04,0.42,0.04,0.42,0.04,0.42,0,0,0,0,0,0,-0.03,-0.31,-0.03,-0.31,0,0,0,0,9.42,9.42,9.43,9.43,9.42,9.43
AMCR,20250717 07:54:32.000000,0,9.43,9.43,55,55,55,81,82,0,0,0,0,0.01,0.21,0.04,0.42,0.04,0.42,0.04,0.42,0,0,0,0,0,0,0,0.1,-0.02,-0.21,0,0.1,0,0.1,9.44,9.44,9.44,9.44,9.44,9.44
AMCR,20250717 08:00:07.000000,0,9.44,9.43,36,36,91,91,117,0,0,0,0,0.02,0.21,0.04,0.42,0.04,0.42,0.04,0.42,0,0,0,0,0.02,0.21,0.02,0.21,0.03,0.31,0.03,0.31,0.03,0.31,9.46,9.46,9.46,9.46,9.46,9.46
AMCR,20250717 08:02:23.000000,0,9.44,9.43,35,35,71,126,152,0.04,0.42,0.04,0.42,0.04,0.42,0.06,0.63,0.06,0.63,0.06,0.63,0,0,0,0,0,0,0.02,0.21,0.03,0.31,0,0,0.03,0.31,9.44,9.44,9.48,9.48,9.44,9.48
AMCR,20250717 08:16:34.000000,0,9.44,9.44,1,36,72,72,127,0,0,0.04,0.42,0.04,0.42,0.04,0.42,0.06,0.63,0.06,0.63,0,0,0,0,0,0,0,0,0.02,0.21,0,0,0.03,0.31,9.46,9.46,9.46,9.46,9.44,9.48
AMCR,20250717 08:20:02.000000,0,9.45,9.44,3,3,3,4,75,0,0,0,0,0,0,0.04,0.42,0.06,0.63,0.06,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.31,9.46,9.46,9.46,9.46,9.46,9.46
AMCR,20250717 08:51:45.000000,0,9.44,9.44,87,90,90,90,162,0,0,0.02,0.21,0.02,0.21,0.04,0.42,0.06,0.63,0.06,0.63,0,0,-0.02,-0.21,-0.02,-0.21,-0.02,-0.21,-0.02,-0.21,0,0.1,0,0.1,9.44,9.44,9.44,9.44,9.44,9.46
AMCR,20250717 08:54:13.000000,0,9.45,9.44,1,1,1,1,1,0,0,0,0,0,0,0,0,0.04,0.42,0.06,0.63,0,0,0,0,0,0,0,0,0,0,0,0.1,0.04,0.42,9.47,9.47,9.47,9.47,9.47,9.47
AMCR,20250717 08:55:25.000000,0,9.45,9.44,100,101,101,101,101,0,0,0,0.1,0,0.1,0,0.1,0.04,0.42,0.06,0.63,0,0,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,0,0.03,0.31,9.46,9.46,9.46,9.46,9.46,9.47
AMCR,20250717 08:58:33.000000,0,9.45,9.44,5,106,106,106,106,0,0.1,0,0.1,0,0.1,0,0.1,0.04,0.42,0.06,0.63,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.04,0.42,9.47,9.46,9.47,9.47,9.46,9.47
AMCR,20250717 09:06:05.000000,0,9.45,9.45,20,125,126,126,126,0,0,0,0.1,0,0.1,0,0.1,0.04,0.42,0.06,0.63,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0.04,0.42,9.47,9.47,9.47,9.47,9.46,9.47
AMCR,20250717 09:10:20.000000,0,9.46,9.45,489,489,509,614,615,0,0.1,0,0.1,0,0.1,0,0.1,0.03,0.31,0.06,0.63,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0.1,9.46,9.46,9.47,9.47,9.46,9.47
AMCR,20250717 09:15:14.000000,0,9.46,9.45,105,594,594,614,720,0.02,0.21,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0.06,0.63,0,0,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,0,0,0,9.44,9.44,9.46,9.46,9.44,9.47
AMCR,20250717 09:21:26.000000,0,9.46,9.45,207,207,801,801,927,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0.03,0.31,0.06,0.63,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,9.44,9.44,9.47,9.47,9.44,9.47
AMCR,20250717 09:23:20.000000,0,9.46,9.45,30,30,237,342,956,0,0,0,0,0.03,0.31,0.03,0.31,0.03,0.31,0.06,0.63,0,0,0,0,0,-0.1,0,0,0,0,0,-0.1,0.03,0.31,9.46,9.46,9.46,9.46,9.46,9.46
AMCR,20250717 09:25:47.000000,0,9.46,9.45,100,130,337,442,1056,0,0,0,0.1,0.03,0.31,0.03,0.31,0.03,0.31,0.06,0.63,0,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0.04,0.42,9.47,9.47,9.47,9.47,9.46,9.47
