SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
AMCR,20250717 07:00:23.059000,154050,1,1,9.46,PACF,12545
AMCR,20250717 07:00:23.064000,154302,10,20,9.44,MEMX,12545
AMCR,20250717 07:00:40.169000,155322,5,26,9.43,MEMX,12545
AMCR,20250717 07:00:40.169000,155316,1,21,9.44,MEMX,12545
AMCR,20250717 07:00:40.169000,155323,9,35,9.43,MEMX,12545
AMCR,20250717 07:00:40.177000,155428,10,45,9.43,MEMX,12545
AMCR,20250717 07:20:47.562000,177157,1,46,9.46,BATY,12545
AMCR,20250717 07:32:06.699000,186241,14,61,9.43,MEMX,12545
AMCR,20250717 07:32:06.699000,186240,1,47,9.43,MEMX,12545
AMCR,20250717 07:32:06.706000,186361,5,72,9.42,MEMX,12545
AMCR,20250717 07:32:06.706000,186329,6,67,9.43,MEMX,12545
AMCR,20250717 07:46:14.858000,199601,10,82,9.44,EDGX,12545
AMCR,20250717 07:46:14.858000,199602,44,126,9.44,EDGX,12545
AMCR,20250717 07:46:14.858000,199603,1,127,9.44,EDGX,12545
AMCR,20250717 07:54:31.312000,208548,18,145,9.46,PACF,12545
AMCR,20250717 07:54:31.313000,208549,18,163,9.46,PACF,12545
AMCR,20250717 08:00:06.308000,241461,15,178,9.44,EDGX,12545
AMCR,20250717 08:00:09.026000,249656,18,196,9.44,NQNX,12545
AMCR,20250717 08:00:10.488000,252286,1,197,9.48,NQNX,12545
AMCR,20250717 08:00:35.215000,274986,1,198,9.46,NQNX,12545
AMCR,20250717 08:02:22.537000,290053,1,199,9.46,NQNX,12545
AMCR,20250717 08:16:33.004000,324178,3,202,9.46,BATS,12545
AMCR,20250717 08:20:01.630000,333637,10,230,9.44,EDGX,12545
AMCR,20250717 08:20:01.630000,333663,1,232,9.44,EDGX,12545
AMCR,20250717 08:20:01.630000,333664,1,233,9.44,EDGX,12545
AMCR,20250717 08:20:01.630000,333631,8,220,9.44,PACF,12545
AMCR,20250717 08:20:01.630000,333661,1,231,9.44,EDGX,12545
AMCR,20250717 08:20:01.630000,333607,10,212,9.44,EDGX,12545
AMCR,20250717 08:20:11.106000,334250,15,248,9.44,EDGX,12545
AMCR,20250717 08:20:11.107000,334265,3,268,9.44,EDGX,12545
AMCR,20250717 08:20:11.107000,334259,17,265,9.44,EDGX,12545
AMCR,20250717 08:20:11.107000,334271,2,270,9.44,EDGX,12545
AMCR,20250717 08:20:11.107000,334272,3,273,9.44,EDGX,12545
AMCR,20250717 08:20:56.515000,335830,1,289,9.44,EDGX,12545
AMCR,20250717 08:20:56.515000,335819,15,288,9.44,EDGX,12545
AMCR,20250717 08:51:44.749000,415505,1,290,9.47,NQNX,12545
AMCR,20250717 08:54:12.490000,422578,11,301,9.46,BATS,12545
AMCR,20250717 08:54:12.490000,422579,4,305,9.46,BATS,12545
AMCR,20250717 08:54:12.491000,422581,29,363,9.46,NQEX,12545
AMCR,20250717 08:54:12.491000,422580,29,334,9.46,PACF,12545
AMCR,20250717 08:54:12.492000,422582,27,390,9.46,PACF,12545
AMCR,20250717 08:55:24.458000,426085,5,395,9.47,NTRF,12545
AMCR,20250717 08:58:32.714000,434008,20,415,9.47,NTRF,12545
AMCR,20250717 09:06:04.865000,454555,3,418,9.46,PACF,12545
AMCR,20250717 09:06:04.865000,454556,486,904,9.47,PACF,12545
AMCR,20250717 09:10:19.459000,468104,100,1004,9.44,NTRF,12545
AMCR,20250717 09:10:52.600000,469542,5,1009,9.46,PACF,12545
AMCR,20250717 09:15:13.348000,482836,200,1209,9.44,NTRF,12545
AMCR,20250717 09:15:42.089000,485047,2,1211,9.44,NQNX,12545
AMCR,20250717 09:15:58.127000,485842,5,1216,9.47,NTRF,12545
AMCR,20250717 09:21:25.073000,504964,5,1221,9.46,PACF,12545
AMCR,20250717 09:21:25.074000,504965,5,1226,9.46,PACF,12545
AMCR,20250717 09:21:25.074000,504966,10,1236,9.46,NQEX,12545
AMCR,20250717 09:21:26.150000,505054,10,1246,9.46,NQEX,12545
AMCR,20250717 09:23:19.880000,511072,23,1346,9.47,NQEX,12545
AMCR,20250717 09:23:19.880000,511070,75,1321,9.47,PACF,12545
AMCR,20250717 09:23:19.880000,511071,2,1323,9.47,NQEX,12545
AMCR,20250717 09:25:46.339000,519972,2,1348,9.47,NQNX,12545
AMCR,20250717 09:26:32.091000,523137,2,1350,9.47,NQNX,12545
AMCR,20250717 09:27:58.550000,529391,10,1360,9.47,NQNX,12545
AMCR,20250717 09:30:00.796000,552548,600,1960,9.46,NQEX,12545
AMCR,20250717 09:30:00.796000,552574,77,2037,9.46,NQEX,12545
AMCR,20250717 09:30:00.870000,555539,101,2259,9.44,PACF,12610
AMCR,20250717 09:30:00.870000,555538,101,2158,9.44,PACF,12544
AMCR,20250717 09:30:00.870000,555537,20,2057,9.44,MEMX,12659
AMCR,20250717 09:30:00.915000,557296,1,284128,9.44,PACF,12659
AMCR,20250717 09:30:00.915000,557286,140934,284127,9.44,NYSE,12610
AMCR,20250717 09:30:00.915000,557285,140934,143193,9.44,NYSE,12606
AMCR,20250717 09:30:00.915000,557297,10,284138,9.44,PACF,12659
AMCR,20250717 09:30:00.924000,557862,158,284296,9.44,NQNX,12640
AMCR,20250717 09:30:00.968000,559754,70,284366,9.44,EDGX,12659
AMCR,20250717 09:30:01.076000,563894,1,284367,9.44,NQNX,12659
AMCR,20250717 09:30:01.107000,564718,1,285454,9.44,NQEX,12659
AMCR,20250717 09:30:01.107000,564713,1086,285453,9.43,PACF,12544
AMCR,20250717 09:30:01.107000,564738,46,287100,9.44,NYSE,12659
AMCR,20250717 09:30:01.107000,564728,53,287054,9.43,BATS,12659
AMCR,20250717 09:30:01.107000,564723,1347,287001,9.43,BATS,12639
AMCR,20250717 09:30:01.107000,564722,199,285654,9.44,NQEX,12544
AMCR,20250717 09:30:01.107000,564721,1,285455,9.44,NQEX,12610
AMCR,20250717 09:30:01.108000,564777,2,287102,9.43,NQEX,12659
AMCR,20250717 09:30:01.326000,571565,652,287754,9.44,NQNX,12640
AMCR,20250717 09:30:01.378000,573125,487,288441,9.43,NYSE,12544
AMCR,20250717 09:30:01.378000,573123,200,287954,9.42,PACF,12544
AMCR,20250717 09:30:01.378000,573133,2486,291131,9.43,NQEX,12544
AMCR,20250717 09:30:01.378000,573135,1,291332,9.43,NYSE,12659
AMCR,20250717 09:30:01.378000,573134,200,291331,9.43,NQEX,12544
AMCR,20250717 09:30:01.378000,573128,4,288445,9.42,IEX,12659
AMCR,20250717 09:30:01.378000,573132,200,288645,9.42,PACF,12544
AMCR,20250717 09:30:01.407000,573923,252,291584,9.43,NYSE,12639
AMCR,20250717 09:30:01.407000,573924,200,291784,9.43,PACF,12544
AMCR,20250717 09:30:01.434000,574870,5,291789,9.44,NQNX,12640
AMCR,20250717 09:30:01.441000,575005,205,291994,9.44,NQNX,12640
AMCR,20250717 09:30:01.559000,577734,1500,293494,9.43,NQNX,12544
AMCR,20250717 09:30:01.595000,578669,100,293594,9.44,NYSE,12639
AMCR,20250717 09:30:01.596000,578682,200,293983,9.44,PACF,12544
AMCR,20250717 09:30:01.596000,578686,279,294262,9.44,NYSE,12544
AMCR,20250717 09:30:01.596000,578687,200,294462,9.44,NQEX,12544
AMCR,20250717 09:30:01.596000,578688,400,294862,9.44,BATS,12544
AMCR,20250717 09:30:01.596000,578693,47,295109,9.44,BATS,12659
AMCR,20250717 09:30:01.596000,578694,200,295309,9.44,EDGX,12544
AMCR,20250717 09:30:01.596000,578695,200,295509,9.44,NQEX,12544
AMCR,20250717 09:30:01.596000,578690,200,295062,9.44,EDGX,12544
AMCR,20250717 09:30:01.596000,578680,189,293783,9.44,PACF,12544
AMCR,20250717 09:30:01.596000,578697,200,295709,9.44,NQEX,12544
AMCR,20250717 09:30:01.794000,582687,1,295710,9.43,NQNX,12659
AMCR,20250717 09:30:01.962000,587942,1,295711,9.44,NQNX,12640
AMCR,20250717 09:30:02.056000,590926,1,295712,9.44,NQNX,12640
AMCR,20250717 09:30:02.057000,590938,1,295713,9.44,NQNX,12640
AMCR,20250717 09:30:02.058000,590970,1,295714,9.44,NQNX,12640
AMCR,20250717 09:30:02.059000,591003,1,295715,9.44,NQNX,12640
AMCR,20250717 09:30:02.108000,592887,1,295716,9.44,NQNX,12640
AMCR,20250717 09:30:02.206000,596746,1,295717,9.44,NQNX,12640
AMCR,20250717 09:30:02.417000,606004,1,295718,9.44,NQNX,12640
AMCR,20250717 09:30:02.420000,606097,1,295719,9.44,NQNX,12640
AMCR,20250717 09:30:02.449000,607250,1,295720,9.44,NQNX,12640
AMCR,20250717 09:30:02.451000,607313,1,295721,9.44,NQNX,12640
AMCR,20250717 09:30:02.452000,607347,1,295722,9.44,NQNX,12640
AMCR,20250717 09:30:02.521000,609742,100,295822,9.44,NQNX,12544
AMCR,20250717 09:30:02.608000,612310,13,295835,9.44,IEX,12659
AMCR,20250717 09:30:02.609000,612341,1,295836,9.44,NQNX,12640
AMCR,20250717 09:30:02.649000,613274,1,295837,9.43,NQNX,12659
AMCR,20250717 09:30:02.772000,616316,1,295838,9.44,NQNX,12640
AMCR,20250717 09:30:02.930000,619489,130,295968,9.44,BATS,12544
AMCR,20250717 09:30:02.984000,620587,1,295969,9.44,NQNX,12640
AMCR,20250717 09:30:03.013000,621126,1,295970,9.44,NQNX,12659
AMCR,20250717 09:30:03.133000,623812,1,295972,9.43,NQNX,12640
AMCR,20250717 09:30:03.133000,623809,1,295971,9.43,NQNX,12659
AMCR,20250717 09:30:03.436000,629427,130,296172,9.44,NQEX,12544
AMCR,20250717 09:30:03.436000,629425,70,296042,9.44,NQEX,12659
AMCR,20250717 09:30:04.209000,640711,700,296872,9.44,NYSE,12544
AMCR,20250717 09:30:04.743000,644523,1,296873,9.44,NQNX,12659
AMCR,20250717 09:30:05.083000,646366,100,296973,9.44,NYSE,12639
AMCR,20250717 09:30:05.084000,646369,200,297273,9.44,IEX,12544
AMCR,20250717 09:30:05.084000,646368,100,297073,9.44,IEX,12544
AMCR,20250717 09:30:05.112000,646484,400,302075,9.44,BATS,12639
AMCR,20250717 09:30:05.112000,646482,4002,301475,9.44,NYSE,12639
AMCR,20250717 09:30:05.112000,646486,2555,304653,9.44,MEMX,12639
AMCR,20250717 09:30:05.112000,646485,23,302098,9.44,EDGX,12659
AMCR,20250717 09:30:05.112000,646483,200,301675,9.44,EDGX,12639
AMCR,20250717 09:30:05.112000,646481,200,297473,9.44,PACF,12639
