SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
AMCR, 20250717 07:00:23.000000,33365,1,9.46,9.46,9.44,9.44,11,9.44
AMCR, 20250717 07:00:40.000000,37359,1,9.43,9.44,9.43,9.43,25,9.43
AMCR, 20250717 07:20:47.000000,39284,1,9.46,9.46,9.46,9.46,1,9.46
AMCR, 20250717 07:32:06.000000,41677,1,9.43,9.43,9.42,9.43,26,9.43
AMCR, 20250717 07:46:14.000000,43090,1,9.44,9.44,9.44,9.44,55,9.44
AMCR, 20250717 07:54:31.000000,44262,1,9.46,9.46,9.46,9.46,36,9.46
AMCR, 20250717 08:00:06.000000,44347,1,9.44,9.44,9.44,9.44,15,9.44
AMCR, 20250717 08:00:09.000000,44395,1,9.44,9.44,9.44,9.44,18,9.44
AMCR, 20250717 08:00:10.000000,44974,1,9.48,9.48,9.48,9.48,1,9.48
AMCR, 20250717 08:00:35.000000,46116,1,9.46,9.46,9.46,9.46,1,9.46
AMCR, 20250717 08:02:22.000000,52915,1,9.46,9.46,9.46,9.46,1,9.46
AMCR, 20250717 08:16:33.000000,54593,1,9.46,9.46,9.46,9.46,3,9.46
AMCR, 20250717 08:20:01.000000,54696,1,9.44,9.44,9.44,9.44,31,9.44
AMCR, 20250717 08:20:11.000000,55042,1,9.44,9.44,9.44,9.44,40,9.44
AMCR, 20250717 08:20:56.000000,73172,1,9.44,9.44,9.44,9.44,16,9.44
AMCR, 20250717 08:51:44.000000,74728,1,9.47,9.47,9.47,9.47,1,9.47
AMCR, 20250717 08:54:12.000000,75544,1,9.46,9.46,9.46,9.46,100,9.46
AMCR, 20250717 08:55:24.000000,77655,1,9.47,9.47,9.47,9.47,5,9.47
AMCR, 20250717 08:58:32.000000,83045,1,9.47,9.47,9.47,9.47,20,9.47
AMCR, 20250717 09:06:04.000000,86010,1,9.46,9.47,9.46,9.47,489,9.47
AMCR, 20250717 09:10:19.000000,86403,1,9.44,9.44,9.44,9.44,100,9.44
