SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AMD,20250717 04:01:01.000000,0,161.79,161.79,12882,12882,12882,12882,12882,1.37,0.85,1.37,0.85,1.37,0.85,1.37,0.85,1.37,0.85,1.37,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.62,160.62,162,162,160.62,162
AMD,20250717 04:02:02.000000,0,161.86,161.82,5472,18354,18354,18354,18354,1.53,0.94,1.53,0.94,1.53,0.94,1.53,0.94,1.53,0.94,1.53,0.94,0.37,0.22,0.37,0.22,0.37,0.22,0.37,0.22,0.37,0.22,0.37,0.22,0.37,0.22,161.72,160.62,162.16,162.16,160.62,162.16
AMD,20250717 04:03:01.000000,0,161.91,161.85,8420,26774,26774,26774,26774,0.53,0.33,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.06,-0.03,0.31,0.19,0.31,0.19,0.31,0.19,0.31,0.19,0.31,0.19,0.31,0.19,162.09,161.72,162.26,162.26,160.62,162.26
AMD,20250717 04:04:01.000000,0,161.91,161.85,8468,35242,35242,35242,35242,0.38,0.24,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.16,-0.1,0.14,0.08,0.14,0.08,0.14,0.08,0.14,0.08,0.14,0.08,0.14,0.08,161.87,161.87,162.13,162.26,160.62,162.26
AMD,20250717 04:05:01.000000,0,161.91,161.86,5306,40548,40548,40548,40548,0.25,0.16,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.03,-0.01,0.11,0.06,0.11,0.06,0.11,0.06,0.11,0.06,0.11,0.06,0.11,0.06,161.88,161.87,161.99,162.13,160.62,162.26
AMD,20250717 04:06:01.000000,0,161.88,161.85,8406,36072,48954,48954,48954,0.27,0.16,0.53,0.33,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.09,-0.06,-0.35,-0.22,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,161.72,161.72,161.88,161.99,161.72,162.26
AMD,20250717 04:07:01.000000,0,161.87,161.85,2614,33214,51568,51568,51568,0.16,0.1,0.54,0.33,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,0,0,-0.29,-0.18,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,161.71,161.71,161.87,161.88,161.71,162.26
AMD,20250717 04:08:04.000000,0,161.82,161.83,7782,32576,59350,59350,59350,0.21,0.12,0.46,0.29,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.14,-0.08,-0.27,-0.16,-0.12,-0.08,-0.12,-0.08,-0.12,-0.08,-0.12,-0.08,-0.12,-0.08,161.66,161.66,161.81,161.87,161.66,162.13
AMD,20250717 04:09:01.000000,0,161.81,161.82,945,25053,60295,60295,60295,0.18,0.11,0.36,0.22,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,0.09,0.05,-0.15,-0.09,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,161.63,161.63,161.82,161.82,161.63,161.99
AMD,20250717 04:10:03.000000,0,161.8,161.82,444,20191,60739,60739,60739,0.2,0.12,0.25,0.15,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,0.03,0.02,-0.01,0,0,0,0,0,0,0,0,0,0,0,161.75,161.63,161.83,161.83,161.63,161.88
AMD,20250717 04:11:06.000000,0,161.79,161.81,6883,18668,54740,67622,67622,0.11,0.06,0.24,0.14,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.03,-0.02,-0.05,-0.03,-0.4,-0.25,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,-0.03,-0.02,161.72,161.72,161.81,161.83,161.63,161.87
AMD,20250717 04:12:01.000000,0,161.78,161.8,2742,18796,52010,70364,70364,0.19,0.12,0.21,0.13,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,0,0,0.08,0.04,-0.35,-0.22,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,161.61,161.61,161.76,161.81,161.61,161.83
AMD,20250717 04:13:01.000000,0,161.75,161.79,1506,12520,45096,71870,71870,0.19,0.12,0.27,0.16,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.12,-0.07,-0.12,-0.08,-0.31,-0.19,-0.16,-0.1,-0.16,-0.1,-0.16,-0.1,-0.16,-0.1,161.56,161.56,161.69,161.76,161.56,161.83
AMD,20250717 04:14:06.000000,0,161.7,161.76,1975,13550,38603,73845,73845,0.18,0.11,0.32,0.19,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.11,-0.06,-0.28,-0.17,-0.39,-0.24,-0.28,-0.17,-0.28,-0.17,-0.28,-0.17,-0.28,-0.17,161.51,161.51,161.69,161.69,161.51,161.83
AMD,20250717 04:15:01.000000,0,161.62,161.71,3741,16847,37038,77586,77586,0.38,0.24,0.5,0.31,1.63,1.01,1.63,1.01,1.63,1.01,1.63,1.01,-0.2,-0.13,-0.44,-0.27,-0.5,-0.3,-0.48,-0.3,-0.48,-0.3,-0.48,-0.3,-0.48,-0.3,161.3,161.3,161.54,161.69,161.3,161.81
AMD,20250717 04:16:06.000000,0,161.59,161.69,1946,11910,30578,66650,79532,0.23,0.14,0.45,0.28,0.95,0.59,1.63,1.01,1.63,1.01,1.63,1.01,0.19,0.12,-0.24,-0.14,-0.3,-0.18,-0.65,-0.4,-0.28,-0.17,-0.28,-0.17,-0.28,-0.17,161.3,161.3,161.51,161.54,161.3,161.76
AMD,20250717 04:17:07.000000,0,161.59,161.68,629,9797,28593,61807,80161,0.28,0.17,0.38,0.24,0.95,0.59,1.63,1.01,1.63,1.01,1.63,1.01,0.09,0.05,-0.03,-0.01,-0.06,-0.04,-0.5,-0.31,-0.19,-0.12,-0.19,-0.12,-0.19,-0.12,161.44,161.3,161.59,161.59,161.3,161.69
AMD,20250717 04:18:05.000000,0,161.56,161.66,924,9215,21735,54311,81085,0.15,0.09,0.38,0.24,0.82,0.51,1.63,1.01,1.63,1.01,1.63,1.01,-0.15,-0.09,-0.06,-0.04,-0.31,-0.19,-0.49,-0.3,-0.34,-0.21,-0.34,-0.21,-0.34,-0.21,161.44,161.44,161.59,161.59,161.3,161.69
AMD,20250717 04:19:09.000000,0,161.51,161.63,4953,12193,25743,50796,86038,0.33,0.2,0.33,0.2,0.73,0.45,1.63,1.01,1.63,1.01,1.63,1.01,-0.1,-0.06,0.03,0.01,-0.45,-0.28,-0.56,-0.35,-0.45,-0.28,-0.45,-0.28,-0.45,-0.28,161.26,161.26,161.5,161.59,161.26,161.59
AMD,20250717 04:20:06.000000,0,161.46,161.59,820,9272,26119,46310,86858,0.24,0.14,0.33,0.2,0.62,0.38,1.63,1.01,1.63,1.01,1.63,1.01,-0.06,-0.03,-0.22,-0.14,-0.47,-0.29,-0.53,-0.32,-0.51,-0.32,-0.51,-0.32,-0.51,-0.32,161.26,161.26,161.36,161.5,161.26,161.59
AMD,20250717 04:21:02.000000,0,161.43,161.56,3381,10707,22617,41285,90239,0.17,0.1,0.4,0.24,0.68,0.42,1.63,1.01,1.63,1.01,1.63,1.01,0.03,0.01,-0.28,-0.17,-0.43,-0.27,-0.5,-0.3,-0.48,-0.3,-0.48,-0.3,-0.48,-0.3,161.19,161.19,161.35,161.36,161.19,161.59
AMD,20250717 04:22:06.000000,0,161.4,161.54,3837,13915,23712,42508,94076,0.21,0.13,0.43,0.26,0.67,0.41,1.63,1.01,1.63,1.01,1.63,1.01,-0.03,-0.01,-0.16,-0.1,-0.34,-0.21,-0.38,-0.24,-0.51,-0.32,-0.51,-0.32,-0.51,-0.32,161.16,161.16,161.38,161.38,161.16,161.59
AMD,20250717 04:23:04.000000,0,161.42,161.54,5987,18978,28193,40713,100063,0.37,0.22,0.37,0.22,0.67,0.41,1.63,1.01,1.63,1.01,1.63,1.01,0.25,0.16,0.19,0.12,0.02,0.01,-0.21,-0.13,-0.25,-0.16,-0.25,-0.16,-0.25,-0.16,161.27,161.16,161.53,161.53,161.16,161.53
AMD,20250717 04:24:01.000000,0,161.45,161.54,1589,15614,27807,41357,101652,0.28,0.17,0.4,0.24,0.67,0.41,1.63,1.01,1.63,1.01,1.63,1.01,0.03,0.01,0.28,0.17,0.25,0.16,-0.22,-0.14,-0.22,-0.14,-0.22,-0.14,-0.22,-0.14,161.44,161.27,161.56,161.56,161.16,161.56
AMD,20250717 04:25:04.000000,0,161.46,161.54,957,15751,25023,41870,102609,0.15,0.09,0.43,0.26,0.65,0.4,1.63,1.01,1.63,1.01,1.63,1.01,-0.03,-0.01,0.22,0.14,0.03,0.01,-0.21,-0.13,-0.25,-0.16,-0.25,-0.16,-0.25,-0.16,161.47,161.44,161.59,161.59,161.16,161.59
AMD,20250717 04:26:03.000000,0,161.47,161.53,283,12653,23360,35270,102892,0.12,0.08,0.43,0.26,0.59,0.37,1.63,1.01,1.63,1.01,1.63,1.01,-0.03,-0.01,0.22,0.14,-0.09,-0.05,-0.24,-0.14,-0.28,-0.17,-0.28,-0.17,-0.28,-0.17,161.46,161.46,161.54,161.59,161.16,161.59
AMD,20250717 04:27:02.000000,0,161.47,161.53,1519,10335,24250,34047,104411,0.13,0.08,0.31,0.19,0.53,0.32,1.63,1.01,1.63,1.01,1.63,1.01,0,0,-0.03,-0.02,0.05,0.03,-0.12,-0.08,-0.29,-0.18,-0.29,-0.18,-0.29,-0.18,161.4,161.4,161.54,161.54,161.27,161.59
AMD,20250717 04:28:02.000000,0,161.47,161.52,895,5243,24221,33436,105306,0.13,0.08,0.18,0.11,0.53,0.32,1.63,1.01,1.63,1.01,1.63,1.01,-0.05,-0.03,-0.12,-0.07,0.1,0.06,-0.06,-0.04,-0.34,-0.21,-0.34,-0.21,-0.34,-0.21,161.43,161.4,161.53,161.54,161.4,161.59
AMD,20250717 04:29:02.000000,0,161.48,161.52,415,4069,19683,31876,105721,0.09,0.06,0.18,0.11,0.43,0.26,1.63,1.01,1.63,1.01,1.63,1.01,0.09,0.05,0,0,0.25,0.16,0.22,0.14,-0.25,-0.16,-0.25,-0.16,-0.25,-0.16,161.43,161.43,161.53,161.53,161.4,161.59
AMD,20250717 04:30:01.000000,0,161.49,161.52,437,3549,19300,28572,106158,0.09,0.06,0.13,0.08,0.43,0.26,1.63,1.01,1.63,1.01,1.63,1.01,0,0,0.03,0.01,0.22,0.14,0.03,0.01,-0.25,-0.16,-0.25,-0.16,-0.25,-0.16,161.47,161.43,161.53,161.53,161.4,161.54
AMD,20250717 04:31:02.000000,0,161.5,161.52,1723,4989,17642,28349,94999,0.12,0.08,0.19,0.12,0.43,0.27,1.09,0.68,1.63,1.01,1.63,1.01,0.03,0.01,0.06,0.04,0.28,0.17,-0.03,-0.01,-0.59,-0.37,-0.22,-0.14,-0.22,-0.14,161.49,161.47,161.6,161.6,161.4,161.6
AMD,20250717 04:32:04.000000,0,161.51,161.53,1226,4696,15031,28946,90753,0.13,0.08,0.19,0.12,0.46,0.29,1.09,0.68,1.63,1.01,1.63,1.01,0,0,0.12,0.08,0.03,0.02,0.12,0.08,-0.53,-0.32,-0.21,-0.13,-0.21,-0.13,161.55,161.49,161.63,161.63,161.43,161.63
AMD,20250717 04:33:01.000000,0,161.5,161.52,2273,6074,11317,30295,84606,0.18,0.11,0.19,0.12,0.46,0.29,0.96,0.6,1.63,1.01,1.63,1.01,-0.09,-0.06,-0.06,-0.03,-0.09,-0.05,0.13,0.08,-0.46,-0.28,-0.31,-0.19,-0.31,-0.19,161.44,161.44,161.62,161.63,161.43,161.63
AMD,20250717 04:34:01.000000,0,161.49,161.51,1907,7566,11635,27249,78045,0.18,0.11,0.18,0.11,0.46,0.29,0.83,0.51,1.63,1.01,1.63,1.01,-0.03,-0.01,-0.09,-0.05,-0.09,-0.05,0.16,0.1,-0.46,-0.28,-0.34,-0.21,-0.34,-0.21,161.44,161.44,161.56,161.62,161.44,161.63
AMD,20250717 04:35:07.000000,0,161.47,161.5,2070,9199,12748,28499,74809,0.21,0.13,0.28,0.17,0.46,0.29,0.71,0.44,1.63,1.01,1.63,1.01,-0.03,-0.02,-0.15,-0.09,-0.09,-0.06,0.09,0.06,-0.4,-0.24,-0.38,-0.24,-0.38,-0.24,161.34,161.34,161.47,161.56,161.34,161.63
AMD,20250717 04:36:08.000000,0,161.45,161.49,474,7950,12939,25592,66877,0.12,0.08,0.28,0.17,0.46,0.29,0.71,0.43,1.63,1.01,1.63,1.01,-0.02,-0.01,-0.18,-0.11,-0.11,-0.06,0.1,0.06,-0.42,-0.26,-0.4,-0.25,-0.4,-0.25,161.38,161.34,161.47,161.47,161.34,161.63
AMD,20250717 04:37:04.000000,0,161.42,161.47,2715,9439,14135,24470,66978,0.15,0.09,0.3,0.18,0.35,0.22,0.67,0.41,1.63,1.01,1.63,1.01,-0.06,-0.03,-0.15,-0.09,-0.12,-0.07,-0.21,-0.13,-0.34,-0.21,-0.46,-0.29,-0.46,-0.29,161.32,161.32,161.46,161.47,161.32,161.62
AMD,20250717 04:38:09.000000,0,161.43,161.47,382,7548,13622,18865,59578,0.17,0.1,0.24,0.14,0.31,0.19,0.67,0.41,1.63,1.01,1.63,1.01,0.15,0.09,0.03,0.01,-0.06,-0.03,-0.09,-0.05,-0.28,-0.17,-0.31,-0.19,-0.31,-0.19,161.35,161.32,161.49,161.49,161.32,161.56
AMD,20250717 04:39:05.000000,0,161.45,161.48,2694,8335,15901,19970,61327,0.18,0.11,0.21,0.13,0.31,0.19,0.67,0.41,1.63,1.01,1.63,1.01,0.06,0.04,0.13,0.08,0,0,0,0,-0.25,-0.15,-0.25,-0.15,-0.25,-0.15,161.38,161.35,161.54,161.54,161.32,161.54
AMD,20250717 04:40:11.000000,0,161.46,161.48,4334,10599,19798,23347,65217,0.18,0.11,0.24,0.14,0.31,0.19,0.65,0.4,1.63,1.01,1.63,1.01,-0.04,-0.03,0.11,0.06,-0.06,-0.04,0,0,-0.25,-0.16,-0.29,-0.18,-0.29,-0.18,161.47,161.38,161.56,161.56,161.32,161.56
AMD,20250717 04:41:01.000000,0,161.45,161.47,390,10515,18465,23454,58724,0.15,0.09,0.24,0.14,0.31,0.19,0.59,0.37,1.63,1.01,1.63,1.01,-0.09,-0.05,0.08,0.04,-0.16,-0.1,-0.09,-0.05,-0.34,-0.21,-0.38,-0.24,-0.38,-0.24,161.4,161.4,161.56,161.56,161.32,161.56
AMD,20250717 04:42:03.000000,0,161.44,161.46,702,8502,17941,22637,56684,0.18,0.11,0.21,0.13,0.31,0.19,0.53,0.32,1.63,1.01,1.63,1.01,0,0,-0.06,-0.03,-0.06,-0.03,-0.03,-0.01,-0.21,-0.13,-0.37,-0.23,-0.37,-0.23,161.37,161.37,161.44,161.56,161.35,161.56
AMD,20250717 04:43:02.000000,0,161.42,161.45,803,8923,16471,22545,55981,0.12,0.07,0.24,0.14,0.31,0.19,0.53,0.32,1.63,1.01,1.63,1.01,-0.06,-0.03,-0.18,-0.11,-0.09,-0.05,-0.18,-0.11,-0.15,-0.09,-0.43,-0.27,-0.43,-0.27,161.32,161.32,161.41,161.44,161.32,161.56
AMD,20250717 04:44:05.000000,0,161.42,161.45,767,6996,15331,22897,54773,0.14,0.08,0.24,0.14,0.31,0.19,0.46,0.29,1.63,1.01,1.63,1.01,0.09,0.05,-0.05,-0.03,0.03,0.02,-0.09,-0.05,0.13,0.08,-0.34,-0.21,-0.34,-0.21,161.36,161.32,161.46,161.46,161.32,161.56
AMD,20250717 04:45:09.000000,0,161.42,161.45,213,2875,13474,22673,51245,0.1,0.06,0.24,0.14,0.31,0.19,0.46,0.29,1.63,1.01,1.63,1.01,-0.03,-0.02,0,0,0.02,0.01,-0.15,-0.09,-0.09,-0.06,-0.38,-0.24,-0.38,-0.24,161.4,161.36,161.47,161.47,161.32,161.56
AMD,20250717 04:46:03.000000,0,161.4,161.44,420,2905,13420,21370,49719,0.12,0.07,0.15,0.09,0.31,0.19,0.46,0.29,1.63,1.01,1.63,1.01,-0.05,-0.03,-0.06,-0.03,0.03,0.01,-0.21,-0.13,-0.24,-0.14,-0.43,-0.27,-0.43,-0.27,161.35,161.35,161.43,161.47,161.32,161.47
AMD,20250717 04:47:01.000000,0,161.39,161.43,1352,3555,12057,21496,50442,0.12,0.08,0.16,0.1,0.31,0.19,0.46,0.29,1.63,1.01,1.63,1.01,0.01,0,0.01,0,-0.1,-0.06,-0.1,-0.06,-0.07,-0.04,-0.42,-0.26,-0.42,-0.26,161.3,161.3,161.37,161.43,161.3,161.47
AMD,20250717 04:48:05.000000,0,161.39,161.42,1724,4476,13399,20947,51242,0.09,0.06,0.16,0.1,0.25,0.16,0.46,0.29,1.63,1.01,1.63,1.01,0.01,0.01,-0.06,-0.03,-0.15,-0.09,-0.06,-0.03,0.04,0.03,-0.4,-0.25,-0.4,-0.25,161.37,161.3,161.4,161.4,161.3,161.47
AMD,20250717 04:49:11.000000,0,161.39,161.42,363,4072,11068,19403,46652,0.06,0.04,0.16,0.1,0.25,0.16,0.46,0.29,1.63,1.01,1.63,1.01,0.02,0.01,0,0,-0.09,-0.05,0,0,0.12,0.08,-0.38,-0.24,-0.38,-0.24,161.38,161.37,161.44,161.44,161.3,161.47
AMD,20250717 04:50:03.000000,0,161.39,161.42,929,4788,7663,18262,46761,0.06,0.03,0.13,0.08,0.25,0.16,0.46,0.29,1.63,1.01,1.63,1.01,-0.02,-0.01,0.03,0.01,-0.02,-0.01,0,0,0.07,0.04,-0.4,-0.25,-0.4,-0.25,161.38,161.38,161.41,161.44,161.3,161.44
