SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AMZN,20250717 04:01:01.000000,0,223.82,223.82,2169,2169,2169,2169,2169,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.18,223.18,223.93,223.93,223.18,223.93
AMZN,20250717 04:02:03.000000,0,223.79,223.8,3288,5457,5457,5457,5457,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,-0.12,-0.05,-0.12,-0.05,-0.12,-0.05,-0.12,-0.05,-0.12,-0.05,-0.12,-0.05,-0.12,-0.05,223.7,223.18,223.89,223.93,223.18,223.93
AMZN,20250717 04:03:01.000000,0,223.77,223.79,1521,6978,6978,6978,6978,0.18,0.08,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.01,0,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,-0.1,-0.04,223.7,223.7,223.78,223.89,223.18,223.93
AMZN,20250717 04:04:04.000000,0,223.78,223.79,197,7175,7175,7175,7175,0.1,0.04,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.09,0.04,-0.01,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,223.7,223.7,223.8,223.8,223.18,223.93
AMZN,20250717 04:05:03.000000,0,223.78,223.79,435,7610,7610,7610,7610,0.13,0.05,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,-0.01,0,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,223.72,223.7,223.83,223.83,223.18,223.93
AMZN,20250717 04:06:01.000000,0,223.77,223.79,1553,6994,9163,9163,9163,0.2,0.08,0.25,0.11,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,-0.06,-0.02,0.03,0.01,-0.09,-0.04,-0.09,-0.04,-0.09,-0.04,-0.09,-0.04,-0.09,-0.04,223.63,223.63,223.77,223.83,223.63,223.89
AMZN,20250717 04:07:06.000000,0,223.78,223.79,361,4067,9524,9524,9524,0.25,0.11,0.25,0.11,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.08,0.03,0.09,0.04,0,0,0,0,0,0,0,0,0,0,223.72,223.63,223.89,223.89,223.63,223.89
AMZN,20250717 04:08:04.000000,0,223.78,223.79,1484,4030,11008,11008,11008,0.16,0.07,0.25,0.11,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0,0,0,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,223.8,223.72,223.89,223.89,223.63,223.89
AMZN,20250717 04:09:18.000000,0,223.79,223.79,181,4014,11189,11189,11189,0.08,0.04,0.25,0.11,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,0.03,0.01,0.04,0.01,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,223.8,223.8,223.87,223.89,223.63,223.89
AMZN,20250717 04:10:25.000000,0,223.79,223.79,251,3830,11440,11440,11440,0.06,0.03,0.25,0.11,0.75,0.33,0.75,0.33,0.75,0.33,0.75,0.33,-0.02,0,0.08,0.03,0,0,0,0,0,0,0,0,0,0,223.8,223.8,223.85,223.87,223.63,223.89
