SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
AVGO,20250717 04:01:04.000000,0,283.25,283.25,560,560,560,560,560,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281.93,281.93,283.86,283.86,281.93,283.86
AVGO,20250717 04:02:01.000000,0,283.22,283.23,497,1057,1057,1057,1057,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,-0.12,-0.04,283.06,281.93,283.5,283.86,281.93,283.86
AVGO,20250717 04:03:02.000000,0,283.17,283.21,205,1262,1262,1262,1262,0.75,0.26,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,-0.13,-0.04,-0.26,-0.09,-0.26,-0.09,-0.26,-0.09,-0.26,-0.09,-0.26,-0.09,-0.26,-0.09,282.75,282.75,283.31,283.5,281.93,283.86
AVGO,20250717 04:04:02.000000,0,283.12,283.18,493,1755,1755,1755,1755,0.62,0.21,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,-0.06,-0.02,-0.33,-0.12,-0.33,-0.12,-0.33,-0.12,-0.33,-0.12,-0.33,-0.12,-0.33,-0.12,282.69,282.69,282.95,283.31,281.93,283.86
AVGO,20250717 04:05:09.000000,0,283.03,283.13,976,2731,2731,2731,2731,0.31,0.11,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,-0.22,-0.07,-0.56,-0.19,-0.56,-0.19,-0.56,-0.19,-0.56,-0.19,-0.56,-0.19,-0.56,-0.19,282.68,282.68,283,283,281.93,283.86
AVGO,20250717 04:06:05.000000,0,282.96,283.09,119,2290,2850,2850,2850,0.31,0.11,0.81,0.29,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0,0,-0.42,-0.14,-0.55,-0.19,-0.55,-0.19,-0.55,-0.19,-0.55,-0.19,-0.55,-0.19,282.68,282.68,282.77,283,282.68,283.5
AVGO,20250717 04:07:02.000000,0,282.92,283.06,168,1961,3018,3018,3018,0.17,0.06,0.62,0.22,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0.03,0.01,-0.25,-0.08,-0.51,-0.18,-0.51,-0.18,-0.51,-0.18,-0.51,-0.18,-0.51,-0.18,282.72,282.68,282.85,282.85,282.68,283.31
AVGO,20250717 04:08:01.000000,0,282.89,283.03,799,2555,3817,3817,3817,0.13,0.04,0.31,0.11,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0.07,0.02,-0.1,-0.03,-0.43,-0.15,-0.43,-0.15,-0.43,-0.15,-0.43,-0.15,-0.43,-0.15,282.74,282.72,282.86,282.86,282.68,283
AVGO,20250717 04:09:01.000000,0,282.9,283.02,308,2370,4125,4125,4125,0.26,0.09,0.31,0.11,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0.13,0.04,0.25,0.09,-0.3,-0.1,-0.3,-0.1,-0.3,-0.1,-0.3,-0.1,-0.3,-0.1,282.68,282.68,282.95,282.95,282.68,283
AVGO,20250717 04:10:01.000000,0,282.92,283.02,566,1960,4691,4691,4691,0.42,0.14,0.42,0.14,1.93,0.68,1.93,0.68,1.93,0.68,1.93,0.68,0.02,0,0.27,0.09,-0.27,-0.09,-0.27,-0.09,-0.27,-0.09,-0.27,-0.09,-0.27,-0.09,282.89,282.68,283.1,283.1,282.68,283.1
