SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
AVGO, 20250717 04:00:00.000000,16,1,283.86,283.86,281.93,283,373,282.83
AVGO, 20250717 04:00:01.000000,21,1,283.02,283.02,283.02,283.02,3,283.02
AVGO, 20250717 04:00:02.000000,47,1,283,283.06,283,283.06,16,283.01
AVGO, 20250717 04:00:04.000000,57,1,283.13,283.13,283.11,283.11,32,283.13
AVGO, 20250717 04:00:05.000000,164,1,283.06,283.06,283.06,283.06,10,283.06
AVGO, 20250717 04:00:20.000000,207,1,283.08,283.08,283.08,283.08,3,283.08
AVGO, 20250717 04:00:26.000000,234,1,283.1,283.1,283.1,283.1,5,283.1
AVGO, 20250717 04:00:29.000000,255,1,283.1,283.11,283.1,283.1,12,283.1
AVGO, 20250717 04:00:32.000000,265,1,283.11,283.11,283.11,283.11,36,283.11
AVGO, 20250717 04:00:34.000000,301,1,283.35,283.35,283.14,283.14,9,283.26
AVGO, 20250717 04:00:39.000000,331,1,283.14,283.14,283.1,283.11,40,283.13
AVGO, 20250717 04:00:43.000000,421,1,283.11,283.11,283.11,283.11,2,283.11
AVGO, 20250717 04:00:53.000000,507,1,283.11,283.25,283.11,283.25,19,283.22
AVGO, 20250717 04:01:03.000000,516,1,283.14,283.14,283.14,283.14,5,283.14
AVGO, 20250717 04:01:04.000000,636,1,283.38,283.5,283.38,283.38,157,283.45
AVGO, 20250717 04:01:15.000000,702,1,283.14,283.14,283.14,283.14,9,283.14
AVGO, 20250717 04:01:20.000000,738,1,283.14,283.14,283.14,283.14,1,283.14
AVGO, 20250717 04:01:23.000000,803,1,283.14,283.14,283.14,283.14,10,283.14
AVGO, 20250717 04:01:28.000000,950,1,283.14,283.14,283.14,283.14,2,283.14
AVGO, 20250717 04:01:40.000000,966,1,283.14,283.14,283.06,283.14,146,283.08
AVGO, 20250717 04:01:42.000000,987,1,283.14,283.14,283.14,283.14,1,283.14
AVGO, 20250717 04:01:43.000000,1058,1,283.36,283.36,283.36,283.36,39,283.36
AVGO, 20250717 04:01:51.000000,1066,1,283.19,283.19,283.18,283.18,88,283.19
AVGO, 20250717 04:01:52.000000,1079,1,283.18,283.18,283.18,283.18,1,283.18
AVGO, 20250717 04:01:54.000000,1107,1,283.18,283.35,283.18,283.35,11,283.33
AVGO, 20250717 04:01:56.000000,1112,1,283.36,283.36,283.36,283.36,10,283.36
AVGO, 20250717 04:01:57.000000,1137,1,283.12,283.12,283.11,283.11,6,283.11
AVGO, 20250717 04:01:59.000000,1149,1,283.32,283.32,283.12,283.12,11,283.3
AVGO, 20250717 04:02:00.000000,1165,1,283.11,283.11,283.1,283.1,7,283.11
AVGO, 20250717 04:02:01.000000,1214,1,283.31,283.31,283.31,283.31,10,283.31
AVGO, 20250717 04:02:06.000000,1227,1,283.05,283.1,283.05,283.05,40,283.06
AVGO, 20250717 04:02:07.000000,1257,1,283.1,283.1,283.08,283.08,2,283.08
