SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
BAC,20250717 04:01:20.000000,0,46.13,46.13,54,54,54,54,54,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.78,45.78,46.13,46.13,45.78,46.13
BAC,20250717 04:02:01.000000,0,46.12,46.12,575,629,629,629,629,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,46.1,45.78,46.1,46.13,45.78,46.13
BAC,20250717 04:03:17.000000,0,46.11,46.12,1,630,630,630,630,0,0.02,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,-0.02,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,46.09,46.09,46.09,46.1,45.78,46.13
BAC,20250717 04:04:36.000000,0,46.1,46.11,43,673,673,673,673,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,-0.02,-0.04,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,46.06,46.06,46.1,46.1,45.78,46.13
BAC,20250717 04:06:41.000000,0,46.1,46.11,1,674,674,674,674,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0.02,0.04,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,46.09,46.06,46.09,46.1,45.78,46.13
BAC,20250717 04:07:51.000000,0,46.1,46.11,200,245,874,874,874,0,0,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,46.09,46.09,46.09,46.09,46.06,46.1
BAC,20250717 04:08:21.000000,0,46.09,46.11,30,274,904,904,904,0,0,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0.02,0.04,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,46.09,46.09,46.09,46.09,46.06,46.1
BAC,20250717 04:11:52.000000,0,46.09,46.1,25,256,929,929,929,0,0,0,0,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,-0.03,-0.08,46.09,46.09,46.09,46.09,46.09,46.09
BAC,20250717 04:12:14.000000,0,46.09,46.1,5,60,305,934,934,0,0,0,0.02,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0.02,0,0.02,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,46.1,46.1,46.1,46.1,46.09,46.1
BAC,20250717 04:13:24.000000,0,46.09,46.1,8,38,312,942,942,0,0.02,0.01,0.04,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0.02,0.03,0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,46.1,46.1,46.11,46.11,46.09,46.11
BAC,20250717 04:17:05.000000,0,46.09,46.1,1,14,270,943,943,0,0.02,0,0.02,0.35,0.75,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0,0,0.02,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,46.1,46.1,46.1,46.11,46.1,46.11
BAC,20250717 04:20:08.000000,0,46.09,46.1,200,201,239,513,1143,0,0.02,0.03,0.06,0.04,0.1,0.35,0.75,0.35,0.75,0.35,0.75,0,0,-0.03,-0.06,-0.02,-0.04,0,0,-0.06,-0.13,-0.06,-0.13,-0.06,-0.13,46.07,46.07,46.08,46.08,46.07,46.1
BAC,20250717 04:22:31.000000,0,46.09,46.1,5,205,219,474,1148,0,0,0,0.02,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0,0.02,-0.02,-0.04,-0.01,-0.02,-0.05,-0.1,-0.05,-0.1,-0.05,-0.1,46.08,46.08,46.08,46.08,46.07,46.08
BAC,20250717 04:23:49.000000,0,46.09,46.1,3,8,209,247,1151,0,0,0.02,0.04,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,0,0,0.02,0.04,0,0,0,0.02,-0.03,-0.06,-0.03,-0.06,-0.03,-0.06,46.1,46.1,46.1,46.1,46.08,46.1
BAC,20250717 04:27:23.000000,0,46.08,46.09,1,9,209,223,1152,0.02,0.04,0.02,0.04,0.03,0.08,0.35,0.75,0.35,0.75,0.35,0.75,-0.02,-0.04,0,0,0,0.02,-0.02,-0.04,-0.05,-0.1,-0.05,-0.1,-0.05,-0.1,46.08,46.08,46.08,46.1,46.08,46.1
