SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
BAC, 20250717 04:00:01.000000,203,1,45.78,45.78,45.78,45.78,2,45.78
BAC, 20250717 04:00:25.000000,205,1,46.1,46.1,46.1,46.1,40,46.1
BAC, 20250717 04:00:26.000000,690,1,46.13,46.13,46.13,46.13,12,46.13
BAC, 20250717 04:01:19.000000,776,1,46.1,46.1,46.1,46.1,20,46.1
BAC, 20250717 04:01:26.000000,832,1,46.1,46.1,46.1,46.1,10,46.1
BAC, 20250717 04:01:30.000000,925,1,46.1,46.1,46.1,46.1,113,46.1
BAC, 20250717 04:01:38.000000,983,1,46.1,46.1,46.1,46.1,16,46.1
BAC, 20250717 04:01:43.000000,1146,1,46.1,46.1,46.1,46.1,416,46.1
BAC, 20250717 04:02:00.000000,1955,1,46.09,46.09,46.09,46.09,1,46.09
BAC, 20250717 04:03:16.000000,1964,1,46.06,46.06,46.06,46.06,16,46.06
BAC, 20250717 04:03:17.000000,1997,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:03:20.000000,2088,1,46.09,46.09,46.09,46.09,25,46.09
BAC, 20250717 04:03:28.000000,2788,1,46.07,46.07,46.07,46.07,1,46.07
BAC, 20250717 04:04:35.000000,3597,1,46.09,46.09,46.09,46.09,1,46.09
BAC, 20250717 04:06:40.000000,3982,1,46.09,46.09,46.09,46.09,200,46.09
BAC, 20250717 04:07:50.000000,3996,1,46.09,46.09,46.09,46.09,5,46.09
BAC, 20250717 04:07:51.000000,4185,1,46.09,46.09,46.09,46.09,25,46.09
BAC, 20250717 04:08:20.000000,5200,1,46.09,46.09,46.09,46.09,25,46.09
BAC, 20250717 04:11:51.000000,5314,1,46.1,46.1,46.1,46.1,5,46.1
BAC, 20250717 04:12:13.000000,5476,1,46.11,46.11,46.11,46.11,1,46.11
BAC, 20250717 04:12:51.000000,5628,1,46.1,46.1,46.1,46.1,7,46.1
BAC, 20250717 04:13:23.000000,6549,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:17:04.000000,7296,1,46.08,46.08,46.07,46.07,200,46.07
BAC, 20250717 04:20:07.000000,7811,1,46.08,46.08,46.08,46.08,5,46.08
BAC, 20250717 04:22:30.000000,7874,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:22:49.000000,7900,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:22:56.000000,8074,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:23:48.000000,8818,1,46.08,46.08,46.08,46.08,1,46.08
BAC, 20250717 04:27:22.000000,8929,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:27:58.000000,8990,1,46.1,46.1,46.1,46.1,2,46.1
BAC, 20250717 04:28:19.000000,9884,1,46.1,46.12,46.1,46.1,156,46.11
BAC, 20250717 04:32:38.000000,10193,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 04:34:11.000000,10357,1,46.1,46.1,46.1,46.1,6,46.1
BAC, 20250717 04:35:01.000000,11909,1,46.1,46.1,46.1,46.1,10,46.1
BAC, 20250717 04:42:42.000000,11932,1,46.1,46.11,46.1,46.1,597,46.1
BAC, 20250717 04:42:48.000000,12414,1,46.09,46.09,46.09,46.09,31,46.09
BAC, 20250717 04:45:10.000000,12491,1,46.07,46.08,46.06,46.08,95,46.08
BAC, 20250717 04:45:35.000000,12550,1,46.05,46.05,46.03,46.03,318,46.03
BAC, 20250717 04:45:51.000000,12575,1,46.03,46.03,46.03,46.03,5,46.03
BAC, 20250717 04:45:59.000000,13179,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 04:49:00.000000,13183,1,46.01,46.01,46.01,46.01,87,46.01
BAC, 20250717 04:49:02.000000,13235,1,46.02,46.02,46.02,46.02,10,46.02
BAC, 20250717 04:49:16.000000,13293,1,46.01,46.01,46.01,46.01,2,46.01
BAC, 20250717 04:49:34.000000,13493,1,46.02,46.02,46.02,46.02,3,46.02
BAC, 20250717 04:50:47.000000,13789,1,46.02,46.02,46.02,46.02,1,46.02
BAC, 20250717 04:52:28.000000,14215,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 04:54:59.000000,14415,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 04:56:16.000000,14599,1,46.01,46.01,46.01,46.01,5,46.01
BAC, 20250717 04:57:16.000000,14778,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 04:58:18.000000,15062,1,46.03,46.03,46.03,46.03,2,46.03
BAC, 20250717 04:59:56.000000,15430,1,46.01,46.01,46.01,46.01,124,46.01
BAC, 20250717 05:02:09.000000,15469,1,46.01,46.01,46.01,46.01,7,46.01
BAC, 20250717 05:02:25.000000,15643,1,46.03,46.03,46.03,46.03,2,46.03
BAC, 20250717 05:03:31.000000,15664,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 05:03:40.000000,15990,1,46.01,46.01,46.01,46.01,1,46.01
BAC, 20250717 05:05:30.000000,16053,1,46.03,46.03,46.03,46.03,100,46.03
BAC, 20250717 05:05:55.000000,16073,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 05:06:01.000000,16094,1,46.01,46.01,46.01,46.01,1,46.01
BAC, 20250717 05:06:09.000000,16711,1,46.01,46.01,46.01,46.01,13,46.01
BAC, 20250717 05:09:58.000000,16752,1,46.03,46.03,46.03,46.03,63,46.03
BAC, 20250717 05:10:13.000000,16760,1,46.03,46.03,46.03,46.03,20,46.03
BAC, 20250717 05:10:14.000000,16835,1,46.04,46.04,46.04,46.04,55,46.04
BAC, 20250717 05:10:41.000000,17031,1,46.03,46.03,46.03,46.03,100,46.03
BAC, 20250717 05:11:54.000000,17196,1,46.03,46.03,46.03,46.03,40,46.03
BAC, 20250717 05:12:53.000000,17216,1,46.03,46.03,46.03,46.03,100,46.03
BAC, 20250717 05:12:59.000000,17218,1,46.02,46.02,46.02,46.02,13,46.02
BAC, 20250717 05:13:01.000000,17232,1,46.01,46.01,46.01,46.01,2,46.01
BAC, 20250717 05:13:06.000000,17280,1,46.02,46.02,46.02,46.02,3,46.02
BAC, 20250717 05:13:22.000000,18118,1,46.02,46.02,46.02,46.02,2,46.02
BAC, 20250717 05:18:24.000000,18300,1,46.02,46.02,46.02,46.02,2,46.02
BAC, 20250717 05:19:32.000000,19015,1,46.06,46.06,46.06,46.06,16,46.06
BAC, 20250717 05:23:38.000000,19247,1,46.05,46.05,46.05,46.05,20,46.05
BAC, 20250717 05:24:54.000000,19927,1,46.03,46.03,46.03,46.03,28,46.03
BAC, 20250717 05:28:50.000000,20310,1,46.06,46.06,46.06,46.06,2,46.06
BAC, 20250717 05:30:58.000000,20749,1,46.04,46.04,46.04,46.04,3,46.04
BAC, 20250717 05:33:46.000000,20915,1,46.06,46.06,46.06,46.06,14,46.06
BAC, 20250717 05:34:44.000000,21201,1,46.05,46.05,46.05,46.05,1,46.05
BAC, 20250717 05:36:40.000000,21674,1,46.04,46.04,46.04,46.04,4,46.04
BAC, 20250717 05:39:47.000000,21920,1,46.08,46.09,46.06,46.09,600,46.07
BAC, 20250717 05:41:20.000000,22313,1,46.09,46.09,46.09,46.09,1,46.09
BAC, 20250717 05:44:01.000000,22343,1,46.06,46.06,46.06,46.06,25,46.06
BAC, 20250717 05:44:13.000000,22549,1,46.08,46.08,46.08,46.08,3,46.08
BAC, 20250717 05:45:42.000000,22670,1,46.08,46.08,46.08,46.08,1,46.08
BAC, 20250717 05:46:26.000000,23131,1,46.04,46.04,46.04,46.04,1,46.04
BAC, 20250717 05:49:29.000000,23398,1,46.05,46.05,46.05,46.05,60,46.05
BAC, 20250717 05:51:20.000000,23446,1,46.06,46.06,46.06,46.06,8,46.06
BAC, 20250717 05:51:34.000000,23995,1,46.08,46.08,46.08,46.08,2,46.08
BAC, 20250717 05:54:58.000000,24118,1,46.05,46.05,46.05,46.05,2,46.05
BAC, 20250717 05:55:52.000000,24150,1,46.04,46.04,46.04,46.04,6,46.04
BAC, 20250717 05:56:05.000000,24285,1,46.05,46.05,46.05,46.05,20,46.05
BAC, 20250717 05:57:03.000000,24552,1,46.04,46.04,46.04,46.04,1,46.04
BAC, 20250717 05:59:05.000000,24648,1,46.07,46.07,46.07,46.07,1,46.07
BAC, 20250717 05:59:50.000000,24918,1,46.07,46.07,46.07,46.07,20,46.07
BAC, 20250717 06:01:53.000000,25419,1,46.07,46.07,46.07,46.07,1,46.07
BAC, 20250717 06:05:29.000000,25942,1,46.07,46.07,46.07,46.07,4,46.07
BAC, 20250717 06:09:22.000000,25995,1,46.07,46.07,46.07,46.07,10,46.07
BAC, 20250717 06:09:52.000000,26091,1,46.09,46.09,46.09,46.09,50,46.09
BAC, 20250717 06:10:31.000000,26246,1,46.08,46.08,46.08,46.08,2,46.08
BAC, 20250717 06:11:50.000000,26284,1,46.1,46.1,46.1,46.1,15,46.1
BAC, 20250717 06:12:01.000000,26511,1,46.07,46.07,46.07,46.07,90,46.07
BAC, 20250717 06:13:54.000000,26705,1,46.08,46.08,46.08,46.08,14,46.08
BAC, 20250717 06:15:27.000000,26721,1,46.08,46.08,46.08,46.08,1,46.08
BAC, 20250717 06:15:32.000000,26919,1,46.09,46.09,46.09,46.09,1,46.09
BAC, 20250717 06:17:02.000000,26983,1,46.08,46.08,46.08,46.08,21,46.08
BAC, 20250717 06:17:33.000000,27239,1,46.08,46.08,46.08,46.08,10,46.08
BAC, 20250717 06:19:30.000000,27367,1,46.09,46.09,46.09,46.09,100,46.09
BAC, 20250717 06:20:32.000000,27382,1,46.08,46.08,46.08,46.08,100,46.08
BAC, 20250717 06:20:37.000000,27397,1,46.09,46.09,46.09,46.09,13,46.09
BAC, 20250717 06:20:42.000000,27446,1,46.09,46.09,46.09,46.09,20,46.09
BAC, 20250717 06:21:07.000000,27494,1,46.09,46.09,46.09,46.09,67,46.09
BAC, 20250717 06:21:29.000000,27710,1,46.07,46.07,46.06,46.07,356,46.07
BAC, 20250717 06:23:17.000000,27759,1,46.04,46.04,46.04,46.04,14,46.04
BAC, 20250717 06:23:38.000000,28265,1,46.06,46.06,46.06,46.06,25,46.06
BAC, 20250717 06:27:30.000000,28446,1,46.07,46.07,46.07,46.07,1,46.07
BAC, 20250717 06:28:48.000000,28650,1,46.07,46.07,46.07,46.07,41,46.07
BAC, 20250717 06:30:15.000000,28735,1,46.07,46.07,46.07,46.07,2,46.07
BAC, 20250717 06:30:54.000000,28742,1,46.09,46.09,46.08,46.08,98,46.09
BAC, 20250717 06:30:56.000000,29129,1,46.08,46.08,46.08,46.08,1,46.08
BAC, 20250717 06:33:28.000000,29172,1,46.06,46.07,46.06,46.06,106,46.07
BAC, 20250717 06:33:47.000000,29370,1,46.06,46.06,46.03,46.03,75,46.04
BAC, 20250717 06:35:24.000000,29482,1,46.06,46.06,46.06,46.06,3,46.06
BAC, 20250717 06:36:16.000000,30068,1,46.07,46.07,46.07,46.07,30,46.07
BAC, 20250717 06:40:36.000000,30544,1,46.09,46.09,46.09,46.09,1,46.09
BAC, 20250717 06:43:42.000000,30921,1,46.06,46.06,46.06,46.06,61,46.06
BAC, 20250717 06:45:56.000000,31747,1,46.07,46.07,46.07,46.07,20,46.07
BAC, 20250717 06:51:31.000000,31785,1,46.07,46.07,46.07,46.07,2,46.07
BAC, 20250717 06:51:46.000000,31819,1,46.09,46.09,46.09,46.09,10,46.09
BAC, 20250717 06:52:01.000000,31825,1,46.09,46.09,46.09,46.09,100,46.09
BAC, 20250717 06:52:02.000000,32679,1,46.1,46.1,46.1,46.1,1,46.1
BAC, 20250717 06:57:25.000000,32726,1,46.06,46.06,46.06,46.06,93,46.06
BAC, 20250717 06:57:38.000000,32767,1,46.06,46.06,46.06,46.06,5,46.06
BAC, 20250717 06:57:53.000000,33236,1,46.06,46.06,46.06,46.06,2,46.06
BAC, 20250717 07:00:13.000000,33261,1,46.07,46.07,46.07,46.07,50,46.07
BAC, 20250717 07:00:18.000000,33295,1,46.05,46.05,46.05,46.05,119,46.05
BAC, 20250717 07:00:23.000000,33366,1,46.03,46.03,46.02,46.02,202,46.03
BAC, 20250717 07:00:40.000000,33618,1,46.01,46.01,46,46,30,46.01
BAC, 20250717 07:01:29.000000,33791,1,46.02,46.02,46.02,46.02,334,46.02
BAC, 20250717 07:02:16.000000,34235,1,46,46.01,46,46,2111,46
BAC, 20250717 07:04:21.000000,34523,1,46,46,46,46,1,46
BAC, 20250717 07:05:35.000000,34733,1,45.99,45.99,45.99,45.99,70,45.99
BAC, 20250717 07:06:37.000000,35359,1,45.98,45.98,45.98,45.98,78,45.98
BAC, 20250717 07:10:03.000000,35521,1,45.96,45.96,45.95,45.95,367,45.96
BAC, 20250717 07:11:00.000000,35575,1,45.94,45.94,45.94,45.94,50,45.94
BAC, 20250717 07:11:17.000000,35624,1,45.93,45.93,45.92,45.92,130,45.93
BAC, 20250717 07:11:29.000000,35856,1,45.94,45.94,45.94,45.94,2,45.94
BAC, 20250717 07:12:37.000000,35917,1,45.94,45.94,45.94,45.94,1,45.94
BAC, 20250717 07:12:51.000000,37075,1,45.95,45.95,45.95,45.95,1,45.95
BAC, 20250717 07:19:15.000000,37154,1,45.94,45.94,45.94,45.94,1,45.94
BAC, 20250717 07:19:41.000000,37745,1,45.92,45.92,45.92,45.92,1,45.92
BAC, 20250717 07:23:04.000000,38022,1,45.92,45.92,45.9,45.9,1185,45.91
BAC, 20250717 07:24:48.000000,38052,1,45.91,45.91,45.91,45.91,20,45.91
BAC, 20250717 07:25:00.000000,38129,1,45.91,45.91,45.91,45.91,80,45.91
BAC, 20250717 07:25:24.000000,38229,1,45.92,45.92,45.92,45.92,10,45.92
BAC, 20250717 07:25:59.000000,38708,1,45.91,45.91,45.91,45.91,65,45.91
BAC, 20250717 07:28:45.000000,38722,1,45.93,45.93,45.93,45.93,131,45.93
BAC, 20250717 07:28:49.000000,38734,1,45.95,45.95,45.95,45.95,1346,45.95
BAC, 20250717 07:28:52.000000,38761,1,45.95,45.95,45.95,45.95,1000,45.95
BAC, 20250717 07:29:03.000000,39006,1,45.96,45.96,45.96,45.96,120,45.96
BAC, 20250717 07:30:42.000000,39193,1,45.96,45.96,45.96,45.96,3,45.96
BAC, 20250717 07:31:40.000000,39276,1,45.97,45.97,45.97,45.97,20,45.97
BAC, 20250717 07:32:06.000000,39657,1,45.94,45.94,45.94,45.94,40,45.94
BAC, 20250717 07:34:15.000000,39742,1,45.95,45.95,45.95,45.95,1,45.95
BAC, 20250717 07:34:49.000000,39757,1,45.98,45.98,45.98,45.98,2,45.98
BAC, 20250717 07:34:55.000000,41286,1,45.96,45.96,45.93,45.93,4,45.94
BAC, 20250717 07:43:54.000000,41302,1,45.97,45.97,45.97,45.97,1,45.97
BAC, 20250717 07:44:00.000000,41327,1,45.96,45.96,45.96,45.96,7,45.96
BAC, 20250717 07:44:08.000000,41344,1,45.97,45.97,45.97,45.97,1,45.97
BAC, 20250717 07:44:14.000000,41605,1,45.95,45.95,45.95,45.95,1,45.95
BAC, 20250717 07:45:43.000000,41627,1,45.97,45.97,45.97,45.97,1,45.97
BAC, 20250717 07:45:53.000000,42118,1,45.94,45.94,45.94,45.94,2,45.94
BAC, 20250717 07:48:32.000000,42139,1,45.94,45.94,45.94,45.94,17,45.94
BAC, 20250717 07:48:42.000000,42234,1,45.94,45.94,45.94,45.94,83,45.94
BAC, 20250717 07:49:18.000000,42239,1,45.94,45.94,45.94,45.94,300,45.94
BAC, 20250717 07:49:20.000000,42263,1,45.93,45.93,45.93,45.93,214,45.93
BAC, 20250717 07:49:28.000000,42378,1,45.94,45.94,45.94,45.94,10,45.94
BAC, 20250717 07:50:06.000000,42541,1,45.94,45.94,45.94,45.94,1,45.94
BAC, 20250717 07:51:03.000000,42693,1,45.94,45.94,45.94,45.94,1,45.94
BAC, 20250717 07:52:01.000000,43421,1,45.94,45.94,45.94,45.94,17,45.94
BAC, 20250717 07:56:19.000000,43713,1,45.95,45.95,45.95,45.95,130,45.95
BAC, 20250717 07:58:16.000000,43727,1,45.97,45.97,45.97,45.97,2,45.97
BAC, 20250717 07:58:23.000000,44003,1,45.97,45.97,45.97,45.97,1,45.97
BAC, 20250717 08:00:00.000000,44065,1,45.78,46.1,45.78,45.92,197,46
BAC, 20250717 08:00:01.000000,44096,1,46.06,46.1,45.9,46.03,1448,45.94
BAC, 20250717 08:00:02.000000,44151,1,45.91,45.92,45.9,45.92,56,45.91
BAC, 20250717 08:00:03.000000,44223,1,46.06,46.1,46.06,46.1,111,46.06
BAC, 20250717 08:00:05.000000,44264,1,46.06,46.1,46,46.05,127,46.05
BAC, 20250717 08:00:06.000000,44297,1,45.95,46.06,45.9,45.96,1266,45.94
BAC, 20250717 08:00:07.000000,44312,1,46.03,46.13,45.94,45.95,63,46.11
BAC, 20250717 08:00:08.000000,44346,1,45.97,46.09,45.9,45.95,1462,45.93
BAC, 20250717 08:00:09.000000,44415,1,46,46.03,45.9,45.95,333,45.99
BAC, 20250717 08:00:11.000000,44435,1,46.01,46.05,46.01,46.05,78,46.01
BAC, 20250717 08:00:12.000000,44479,1,46.01,46.01,46.01,46.01,204,46.01
BAC, 20250717 08:00:13.000000,44533,1,46.06,46.06,46.06,46.06,100,46.06
BAC, 20250717 08:00:15.000000,44551,1,46.09,46.09,46,46,17,46.01
BAC, 20250717 08:00:16.000000,44583,1,46,46.05,45.9,46.05,800,45.97
BAC, 20250717 08:00:17.000000,44615,1,45.91,46.1,45.91,46.1,530,46.04
BAC, 20250717 08:00:18.000000,44635,1,46.1,46.11,45.97,46.07,1101,46.03
BAC, 20250717 08:00:19.000000,44715,1,46.07,46.08,46.07,46.08,472,46.08
BAC, 20250717 08:00:21.000000,44780,1,46.01,46.01,46.01,46.01,2,46.01
BAC, 20250717 08:00:23.000000,44799,1,46.01,46.01,46.01,46.01,46,46.01
BAC, 20250717 08:00:24.000000,44814,1,45.91,46.03,45.91,46.03,251,46.01
BAC, 20250717 08:00:25.000000,44854,1,46,46,46,46,244,46
BAC, 20250717 08:00:26.000000,44903,1,46,46,46,46,1,46
BAC, 20250717 08:00:30.000000,44970,1,46.03,46.03,46.03,46.03,2,46.03
BAC, 20250717 08:00:35.000000,45094,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 08:00:47.000000,45115,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 08:00:49.000000,45131,1,45.96,45.96,45.96,45.96,200,45.96
BAC, 20250717 08:00:51.000000,45234,1,45.94,45.94,45.94,45.94,1,45.94
BAC, 20250717 08:01:01.000000,45303,1,45.97,45.97,45.97,45.97,1,45.97
BAC, 20250717 08:01:08.000000,45360,1,45.93,45.98,45.93,45.96,14,45.95
BAC, 20250717 08:01:11.000000,45387,1,45.93,45.96,45.91,45.96,3,45.93
BAC, 20250717 08:01:12.000000,45425,1,45.93,45.96,45.93,45.96,8,45.96
BAC, 20250717 08:01:14.000000,45440,1,45.96,45.99,45.9,45.99,4,45.95
BAC, 20250717 08:01:15.000000,45554,1,45.92,45.93,45.92,45.93,2,45.92
BAC, 20250717 08:01:26.000000,45806,1,46.06,46.06,46.06,46.06,50,46.06
BAC, 20250717 08:01:52.000000,45917,1,45.96,45.96,45.96,45.96,23,45.96
BAC, 20250717 08:02:02.000000,45973,1,46.03,46.03,46.03,46.03,4,46.03
BAC, 20250717 08:02:07.000000,46025,1,46.03,46.03,46.03,46.03,1,46.03
BAC, 20250717 08:02:13.000000,46042,1,46.03,46.03,46.03,46.03,2,46.03
