SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
BBAI, 20250717 04:00:00.000000,7,1,7.15,7.17,7.13,7.13,427,7.15
BBAI, 20250717 04:00:01.000000,80,1,7.18,7.18,7.16,7.16,98,7.17
BBAI, 20250717 04:00:07.000000,104,1,7.16,7.16,7.16,7.16,50,7.16
BBAI, 20250717 04:00:10.000000,194,1,7.13,7.15,7.12,7.12,811,7.14
BBAI, 20250717 04:00:24.000000,226,1,7.14,7.14,7.14,7.14,326,7.14
BBAI, 20250717 04:00:28.000000,233,1,7.13,7.13,7.13,7.13,6,7.13
BBAI, 20250717 04:00:29.000000,343,1,7.13,7.13,7.13,7.13,100,7.13
BBAI, 20250717 04:00:44.000000,364,1,7.15,7.15,7.15,7.15,10,7.15
BBAI, 20250717 04:00:46.000000,368,1,7.13,7.13,7.13,7.13,100,7.13
BBAI, 20250717 04:00:47.000000,400,1,7.13,7.13,7.13,7.13,6,7.13
BBAI, 20250717 04:00:50.000000,479,1,7.13,7.13,7.13,7.13,167,7.13
BBAI, 20250717 04:01:00.000000,486,1,7.13,7.13,7.13,7.13,14,7.13
BBAI, 20250717 04:01:01.000000,524,1,7.14,7.14,7.14,7.14,1,7.14
BBAI, 20250717 04:01:04.000000,545,1,7.14,7.14,7.14,7.14,50,7.14
BBAI, 20250717 04:01:06.000000,557,1,7.14,7.14,7.14,7.14,1,7.14
BBAI, 20250717 04:01:07.000000,572,1,7.13,7.13,7.13,7.13,500,7.13
BBAI, 20250717 04:01:08.000000,578,1,7.13,7.13,7.13,7.13,100,7.13
BBAI, 20250717 04:01:09.000000,661,1,7.14,7.14,7.14,7.14,1,7.14
BBAI, 20250717 04:01:17.000000,689,1,7.14,7.14,7.14,7.14,40,7.14
BBAI, 20250717 04:01:19.000000,736,1,7.13,7.13,7.13,7.13,1,7.13
BBAI, 20250717 04:01:23.000000,775,1,7.14,7.14,7.14,7.14,50,7.14
BBAI, 20250717 04:01:26.000000,792,1,7.14,7.14,7.14,7.14,11,7.14
BBAI, 20250717 04:01:27.000000,799,1,7.14,7.14,7.14,7.14,2,7.14
BBAI, 20250717 04:01:28.000000,813,1,7.14,7.14,7.14,7.14,185,7.14
BBAI, 20250717 04:01:29.000000,841,1,7.15,7.15,7.15,7.15,100,7.15
BBAI, 20250717 04:01:31.000000,856,1,7.14,7.14,7.14,7.14,90,7.14
BBAI, 20250717 04:01:32.000000,868,1,7.14,7.14,7.14,7.14,1341,7.14
BBAI, 20250717 04:01:33.000000,880,1,7.13,7.13,7.11,7.11,1477,7.13
BBAI, 20250717 04:01:34.000000,952,1,7.1,7.1,7.1,7.1,20,7.1
BBAI, 20250717 04:01:40.000000,958,1,7.12,7.12,7.12,7.12,10,7.12
BBAI, 20250717 04:01:41.000000,978,1,7.12,7.12,7.12,7.12,18,7.12
BBAI, 20250717 04:01:43.000000,1097,1,7.1,7.12,7.1,7.1,144,7.11
BBAI, 20250717 04:01:55.000000,1153,1,7.12,7.12,7.12,7.12,11,7.12
BBAI, 20250717 04:02:01.000000,1169,1,7.12,7.12,7.12,7.12,5,7.12
BBAI, 20250717 04:02:02.000000,1308,1,7.12,7.12,7.12,7.12,5,7.12
BBAI, 20250717 04:02:15.000000,1348,1,7.12,7.12,7.12,7.12,1,7.12
BBAI, 20250717 04:02:18.000000,1374,1,7.12,7.12,7.12,7.12,10,7.12
BBAI, 20250717 04:02:20.000000,1384,1,7.1,7.11,7.06,7.06,23926,7.09
BBAI, 20250717 04:02:21.000000,1403,1,7.07,7.07,7.07,7.07,150,7.07
BBAI, 20250717 04:02:23.000000,1425,1,7.07,7.07,7.07,7.07,8,7.07
BBAI, 20250717 04:02:25.000000,1431,1,7.07,7.07,7.07,7.07,100,7.07
BBAI, 20250717 04:02:26.000000,1472,1,7.07,7.09,7.07,7.09,12719,7.09
BBAI, 20250717 04:02:30.000000,1482,1,7.1,7.1,7.1,7.1,500,7.1
BBAI, 20250717 04:02:31.000000,1541,1,7.1,7.1,7.1,7.1,400,7.1
BBAI, 20250717 04:02:36.000000,1612,1,7.12,7.12,7.12,7.12,10,7.12
BBAI, 20250717 04:02:43.000000,1632,1,7.12,7.12,7.12,7.12,10,7.12
BBAI, 20250717 04:02:44.000000,1683,1,7.1,7.1,7.1,7.1,169,7.1
BBAI, 20250717 04:02:49.000000,1702,1,7.1,7.1,7.1,7.1,85,7.1
BBAI, 20250717 04:02:50.000000,1755,1,7.12,7.12,7.1,7.1,402,7.1
BBAI, 20250717 04:02:56.000000,1776,1,7.12,7.12,7.12,7.12,1,7.12
BBAI, 20250717 04:02:58.000000,1816,1,7.12,7.12,7.12,7.12,11,7.12
