SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
BTE,20250717 04:59:16.000000,0,1.84,1.84,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 07:00:36.000000,0,1.83,1.83,161,161,161,161,161,0,0,0,0,0,0,0,0,0.03,1.65,0.03,1.65,0,0,0,0,0,0,0,0,0,0,-0.03,-1.65,-0.03,-1.65,1.81,1.81,1.81,1.81,1.81,1.81
BTE,20250717 07:20:50.000000,0,1.83,1.83,300,300,300,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 07:47:23.000000,0,1.83,1.83,102,102,102,102,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 07:49:04.000000,0,1.83,1.83,905,905,905,905,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 07:56:12.000000,0,1.83,1.83,200,1105,1105,1105,1207,0,0,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0,0,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,1.82,1.82,1.82,1.82,1.82,1.84
BTE,20250717 08:00:01.000000,0,1.83,1.83,1,1,1106,1106,1106,0,0,0,0,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0,0,0,0,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,1.82,1.82,1.82,1.82,1.82,1.82
BTE,20250717 08:02:23.000000,0,1.83,1.83,4221,4222,4222,5327,5327,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0,0,0.03,1.62,0.03,1.62,0.01,0.54,0.01,0.54,0.01,0.54,0.01,0.54,1.82,1.82,1.85,1.85,1.82,1.85
BTE,20250717 08:04:44.000000,0,1.83,1.83,1,4222,4223,4423,5328,0,0,0.03,1.63,0.03,1.63,0.03,1.63,0.03,1.63,0.03,1.63,0,0,-0.01,-0.54,0.02,1.08,0.02,1.08,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.82,1.85
BTE,20250717 08:41:18.000000,0,1.83,1.83,6799,11021,11022,11022,12127,0,0,0.03,1.64,0.03,1.64,0.03,1.64,0.03,1.64,0.03,1.64,0,0,-0.03,-1.64,0,0,0,0,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,1.82,1.82,1.82,1.82,1.82,1.85
BTE,20250717 08:58:08.000000,0,1.83,1.83,90,90,90,90,90,0,0,0,0,0,0,0,0,0.03,1.63,0.03,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 09:01:00.000000,0,1.83,1.83,434,434,434,434,524,0,0,0,0,0,0,0,0,0.03,1.63,0.03,1.63,0,0,0,0,0,0,0,0,0,0,-0.01,-0.54,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 09:09:02.000000,0,1.83,1.83,500,934,934,934,1024,0,0,0,0,0,0,0,0,0.02,1.08,0.03,1.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,1.84,1.84,1.84,1.84,1.84
BTE,20250717 09:30:01.000000,0,1.83,1.83,70,70,570,1004,1094,0,0,0,0,0.01,0.54,0.01,0.54,0.01,0.54,0.03,1.63,0,0,0,0,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,1.83,1.83,1.83,1.83,1.83,1.83
BTE,20250717 09:31:03.000000,0,1.83,1.83,9525,9525,9525,9525,9595,0.02,1.08,0.02,1.08,0.02,1.08,0.02,1.08,0.02,1.08,0.03,1.63,0,0,0,0,0,0,0,0,0.01,0.54,0,0,0,0,1.82,1.82,1.84,1.84,1.82,1.84
BTE,20250717 09:32:08.000000,0,1.83,1.83,27153,36678,36678,36678,36748,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.03,1.64,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.02,-1.09,-0.01,-0.54,-0.02,-1.09,-0.02,-1.09,1.82,1.82,1.83,1.84,1.82,1.84
BTE,20250717 09:33:03.000000,0,1.83,1.83,68331,105009,105009,105009,105079,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.03,1.63,0.01,0.54,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,0,0,-0.01,-0.54,-0.01,-0.54,1.82,1.82,1.84,1.84,1.82,1.84
BTE,20250717 09:34:12.000000,0,1.83,1.83,5522,110531,110531,110531,110601,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.03,1.63,0,0,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,0,0,-0.01,-0.54,-0.01,-0.54,1.83,1.82,1.84,1.84,1.82,1.84
BTE,20250717 09:35:20.000000,0,1.83,1.83,14168,124699,124699,124699,124769,0.01,0.54,0.02,1.09,0.02,1.09,0.02,1.09,0.02,1.09,0.03,1.63,0,0,-0.01,-0.54,-0.01,-0.54,-0.01,-0.54,0,0,-0.01,-0.54,-0.01,-0.54,1.83,1.83,1.84,1.84,1.82,1.84
BTE,20250717 09:36:04.000000,0,1.83,1.83,67309,182483,192008,192008,192078,0.02,1.08,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0.02,1.08,0.03,1.62,0.01,0.54,0.01,0.54,0.02,1.08,0.01,0.54,0.01,0.54,1.84,1.83,1.85,1.85,1.82,1.85
BTE,20250717 09:37:02.000000,0,1.83,1.83,67110,222440,259118,259118,259188,0.01,0.54,0.03,1.63,0.03,1.63,0.03,1.63,0.03,1.63,0.03,1.63,-0.01,-0.54,0.01,0.54,0,0,0,0,0.01,0.54,0,0,0,0,1.84,1.84,1.85,1.85,1.82,1.85
BTE,20250717 09:38:08.000000,0,1.83,1.83,24889,178998,284007,284007,284077,0.01,0.54,0.02,1.08,0.03,1.62,0.03,1.62,0.03,1.62,0.03,1.62,0.01,0.54,0.02,1.08,0.01,0.54,0.01,0.54,0.02,1.08,0.01,0.54,0.01,0.54,1.84,1.84,1.85,1.85,1.83,1.85
BTE,20250717 09:39:07.000000,0,1.84,1.83,133779,307255,417786,417786,417856,0.02,1.08,0.03,1.62,0.04,2.16,0.04,2.16,0.04,2.16,0.04,2.16,0,0,0.02,1.08,0.01,0.54,0.01,0.54,0.02,1.08,0.01,0.54,0.01,0.54,1.84,1.84,1.86,1.86,1.83,1.86
BTE,20250717 09:40:09.000000,0,1.84,1.84,58290,351377,476076,476076,476076,0.02,1.07,0.02,1.07,0.04,2.15,0.04,2.15,0.04,2.15,0.04,2.15,0.01,0.53,0.01,0.53,0.02,1.07,0.02,1.07,0.02,1.07,0.02,1.07,0.02,1.07,1.85,1.84,1.86,1.86,1.84,1.86
BTE,20250717 09:41:03.000000,0,1.84,1.84,186031,470099,652582,662107,662107,0.01,0.54,0.02,1.08,0.04,2.16,0.04,2.16,0.04,2.16,0.04,2.16,-0.01,-0.54,0.01,0.54,0.03,1.62,0.01,0.54,0.01,0.54,0.01,0.54,0.01,0.54,1.85,1.85,1.86,1.86,1.84,1.86
BTE,20250717 09:42:01.000000,0,1.84,1.84,228320,631309,853749,890427,890427,0.01,0.54,0.02,1.08,0.04,2.16,0.04,2.16,0.04,2.16,0.04,2.16,0,0,0,0,0.02,1.08,0.01,0.54,0.01,0.54,0.01,0.54,0.01,0.54,1.85,1.85,1.86,1.86,1.84,1.86
BTE,20250717 09:43:02.000000,0,1.84,1.84,17001,623421,802419,907428,907428,0.01,0.54,0.02,1.08,0.04,2.16,0.04,2.16,0.04,2.16,0.04,2.16,0,0,0,0,0.02,1.08,0.01,0.54,0.01,0.54,0.01,0.54,0.01,0.54,1.85,1.85,1.86,1.86,1.84,1.86
BTE,20250717 09:44:02.000000,0,1.84,1.84,8600,498242,805497,916028,916028,0.01,0.54,0.01,0.54,0.04,2.16,0.04,2.16,0.04,2.16,0.04,2.16,0,0,-0.01,-0.54,0.02,1.08,0.01,0.54,0.01,0.54,0.01,0.54,0.01,0.54,1.85,1.85,1.86,1.86,1.85,1.86
BTE,20250717 09:45:18.000000,0,1.85,1.84,189854,629806,981183,1105882,1105882,0.02,1.07,0.02,1.07,0.05,2.68,0.05,2.68,0.05,2.68,0.05,2.68,0.01,0.53,0.01,0.53,0.01,0.53,0.02,1.07,0.02,1.07,0.02,1.07,0.02,1.07,1.85,1.85,1.87,1.87,1.85,1.87
BTE,20250717 09:46:15.000000,0,1.85,1.84,11617,455392,925491,1107974,1117499,0.02,1.07,0.02,1.07,0.05,2.68,0.05,2.68,0.05,2.68,0.05,2.68,0,0,0.01,0.53,0.02,1.07,0.04,2.15,0.02,1.07,0.02,1.07,0.02,1.07,1.86,1.85,1.87,1.87,1.85,1.87
BTE,20250717 09:47:01.000000,0,1.85,1.84,103343,330415,961724,1184164,1220842,0.01,0.53,0.02,1.07,0.05,2.68,0.05,2.68,0.05,2.68,0.05,2.68,0,0,0.01,0.53,0.01,0.53,0.03,1.61,0.02,1.07,0.02,1.07,0.02,1.07,1.86,1.86,1.87,1.87,1.85,1.87
BTE,20250717 09:48:01.000000,0,1.85,1.84,27890,341304,964725,1143723,1248732,0.01,0.53,0.02,1.07,0.04,2.15,0.05,2.68,0.05,2.68,0.05,2.68,0,0,0.01,0.53,0.01,0.53,0.03,1.61,0.02,1.07,0.02,1.07,0.04,2.15,1.86,1.86,1.86,1.87,1.85,1.87
BTE,20250717 09:49:01.000000,0,1.85,1.85,55703,388407,886649,1193904,1304435,0.01,0.53,0.02,1.06,0.04,2.13,0.05,2.67,0.05,2.67,0.05,2.67,0.01,0.53,0.01,0.53,0.01,0.53,0.04,2.13,0.03,1.6,0.03,1.6,0.05,2.67,1.86,1.86,1.87,1.87,1.85,1.87
BTE,20250717 09:50:01.000000,0,1.86,1.85,117943,316496,946302,1297679,1422378,0.01,0.53,0.01,0.53,0.03,1.6,0.05,2.67,0.05,2.67,0.05,2.67,0,0,0.01,0.53,0.02,1.06,0.02,1.06,0.03,1.6,0.03,1.6,0.05,2.67,1.86,1.86,1.87,1.87,1.86,1.87
BTE,20250717 09:51:06.000000,0,1.86,1.85,429632,734511,1189903,1660002,1852010,0.01,1.06,0.01,1.06,0.03,2.13,0.05,3.2,0.05,3.2,0.05,3.2,0,0,0.01,0.53,0.02,1.06,0.03,1.6,0.03,1.6,0.03,1.6,0.05,2.67,1.86,1.86,1.88,1.88,1.86,1.88
