SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
BTE,20250717 04:17:13.300000,30220,1,1,1.84,MEMX,12545
BTE,20250717 04:59:15.018000,66022,161,162,1.81,PACF,12545
BTE,20250717 07:00:35.323000,155147,200,362,1.84,PACF,12545
BTE,20250717 07:00:35.324000,155149,100,462,1.84,EDGX,12545
BTE,20250717 07:20:49.541000,177192,99,561,1.84,MEMX,12545
BTE,20250717 07:20:49.546000,177193,3,564,1.84,PACF,12545
BTE,20250717 07:47:22.375000,201060,898,1462,1.84,PACF,12545
BTE,20250717 07:47:22.375000,201061,7,1469,1.84,BATS,12545
BTE,20250717 07:49:03.295000,202843,200,1669,1.82,EDGX,12545
BTE,20250717 07:56:11.059000,209852,1,1670,1.82,PACF,12545
BTE,20250717 08:00:00.299000,216657,300,1970,1.82,NQNX,12545
BTE,20250717 08:00:00.300000,216683,800,2770,1.82,NQNX,12545
BTE,20250717 08:00:00.302000,216724,500,3270,1.82,NQNX,12545
BTE,20250717 08:00:00.307000,216815,500,3770,1.82,NQNX,12545
BTE,20250717 08:00:00.849000,220431,100,3870,1.82,NTRF,12545
BTE,20250717 08:00:01.286000,223896,1000,4870,1.84,NQNX,12545
BTE,20250717 08:00:11.168000,252970,21,4891,1.82,NQNX,12545
BTE,20250717 08:00:22.383000,263507,1000,5891,1.85,NQNX,12545
BTE,20250717 08:02:22.433000,290027,1,5892,1.84,NQNX,12545
BTE,20250717 08:04:43.103000,295113,6799,12691,1.82,PACF,12545
BTE,20250717 08:41:17.630000,386445,90,12781,1.84,BATS,12545
BTE,20250717 08:58:07.207000,433152,434,13215,1.84,NQNX,12545
BTE,20250717 09:00:59.014000,440066,500,13715,1.84,PACF,12545
BTE,20250717 09:09:01.104000,463942,70,13785,1.83,NTRF,12545
BTE,20250717 09:30:00.877000,555897,3517,20819,1.83,NYSE,12610
BTE,20250717 09:30:00.877000,555896,3517,17302,1.83,NYSE,12606
BTE,20250717 09:30:00.908000,556964,28,20875,1.84,PACF,12610
BTE,20250717 09:30:00.908000,556963,28,20847,1.84,PACF,12659
BTE,20250717 09:30:01.362000,572681,4,20879,1.83,NTRF,12640
BTE,20250717 09:30:01.434000,574867,24,20903,1.83,NQNX,12640
