SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
BTE, 20250717 04:17:13.000000,14944,1,1.84,1.84,1.84,1.84,1,1.84
BTE, 20250717 04:59:15.000000,33339,1,1.81,1.81,1.81,1.81,161,1.81
BTE, 20250717 07:00:35.000000,37366,1,1.84,1.84,1.84,1.84,300,1.84
BTE, 20250717 07:20:49.000000,41906,1,1.84,1.84,1.84,1.84,102,1.84
BTE, 20250717 07:47:22.000000,42191,1,1.84,1.84,1.84,1.84,905,1.84
BTE, 20250717 07:49:03.000000,43385,1,1.82,1.82,1.82,1.82,200,1.82
BTE, 20250717 07:56:11.000000,44034,1,1.82,1.82,1.82,1.82,1,1.82
BTE, 20250717 08:00:00.000000,44076,1,1.82,1.82,1.82,1.82,2200,1.82
BTE, 20250717 08:00:01.000000,44416,1,1.84,1.84,1.84,1.84,1000,1.84
BTE, 20250717 08:00:11.000000,44740,1,1.82,1.82,1.82,1.82,21,1.82
BTE, 20250717 08:00:22.000000,46113,1,1.85,1.85,1.85,1.85,1000,1.85
BTE, 20250717 08:02:22.000000,47299,1,1.84,1.84,1.84,1.84,1,1.84
BTE, 20250717 08:04:43.000000,66544,1,1.82,1.82,1.82,1.82,6799,1.82
BTE, 20250717 08:41:17.000000,77368,1,1.84,1.84,1.84,1.84,90,1.84
BTE, 20250717 08:58:07.000000,79353,1,1.84,1.84,1.84,1.84,434,1.84
BTE, 20250717 09:00:59.000000,85098,1,1.84,1.84,1.84,1.84,500,1.84
BTE, 20250717 09:09:01.000000,100448,1,1.83,1.83,1.83,1.83,70,1.83
BTE, 20250717 09:30:00.000000,100488,1,1.83,1.84,1.83,1.84,7090,1.83
BTE, 20250717 09:30:01.000000,100528,1,1.83,1.83,1.82,1.82,1429,1.82
BTE, 20250717 09:30:02.000000,100566,1,1.83,1.83,1.83,1.83,1,1.83
BTE, 20250717 09:30:03.000000,100584,1,1.83,1.83,1.83,1.83,1,1.83
BTE, 20250717 09:30:04.000000,100636,1,1.82,1.82,1.82,1.82,1,1.82
BTE, 20250717 09:30:05.000000,101938,1,1.82,1.82,1.82,1.82,1,1.82
BTE, 20250717 09:30:46.000000,102136,1,1.83,1.83,1.83,1.83,500,1.83
BTE, 20250717 09:30:52.000000,102340,1,1.83,1.83,1.83,1.83,2,1.83
BTE, 20250717 09:30:59.000000,102418,1,1.84,1.84,1.84,1.84,500,1.84
BTE, 20250717 09:31:02.000000,102477,1,1.83,1.83,1.83,1.83,24602,1.83
BTE, 20250717 09:31:03.000000,102694,1,1.82,1.82,1.82,1.82,1150,1.82
BTE, 20250717 09:31:10.000000,102735,1,1.82,1.82,1.82,1.82,100,1.82
BTE, 20250717 09:31:11.000000,103189,1,1.82,1.82,1.82,1.82,100,1.82
BTE, 20250717 09:31:26.000000,103490,1,1.82,1.82,1.82,1.82,600,1.82
BTE, 20250717 09:31:35.000000,104094,1,1.83,1.83,1.83,1.83,600,1.83
BTE, 20250717 09:31:54.000000,104505,1,1.82,1.82,1.82,1.82,1,1.82
BTE, 20250717 09:32:07.000000,104705,1,1.83,1.83,1.83,1.83,628,1.83
BTE, 20250717 09:32:13.000000,104741,1,1.82,1.82,1.82,1.82,100,1.82
BTE, 20250717 09:32:14.000000,104934,1,1.82,1.82,1.82,1.82,100,1.82
