SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
BTG,20250717 04:01:55.000000,0,3.43,3.43,721,721,721,721,721,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,3.43,3.47,3.47,3.43,3.47
BTG,20250717 04:04:44.000000,0,3.43,3.43,200,921,921,921,921,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,3.43,3.43,3.47,3.43,3.47
BTG,20250717 04:15:14.000000,0,3.43,3.43,10,931,931,931,931,0,0,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0.04,1.16,0,0,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,0,0.29,3.44,3.44,3.44,3.44,3.43,3.47
BTG,20250717 04:19:54.000000,0,3.43,3.43,1,1,1,211,932,0,0,0,0,0,0.29,0.04,1.16,0.04,1.16,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,3.43,3.43,3.43,3.43,3.43
BTG,20250717 05:13:52.000000,0,3.43,3.43,50,51,51,51,982,0,0,0,0,0,0,0.04,1.16,0.04,1.16,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,3.43,3.43,3.43,3.43,3.43
BTG,20250717 05:54:02.000000,0,3.43,3.43,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0.29,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,3.44,3.44,3.44,3.44,3.44,3.44
BTG,20250717 06:25:38.000000,0,3.43,3.43,1048,1048,1048,1048,1048,0,0,0,0,0,0,0,0,0,0.29,0.04,1.16,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,0,3.43,3.43,3.43,3.43,3.43,3.43
BTG,20250717 06:55:00.000000,0,3.43,3.43,155,155,155,155,155,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,3.44,3.44,3.44,3.44,3.44,3.44
BTG,20250717 07:00:01.000000,0,3.43,3.43,10,10,10,10,165,0,0,0,0,0,0,0,0.29,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0,-0.29,0,-0.29,0,-0.29,3.43,3.43,3.43,3.43,3.43,3.43
BTG,20250717 07:02:34.000000,0,3.43,3.43,1207,1207,1217,1217,1217,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0,0,0,0,0,0,0,0,0,0,0,-0.29,0,-0.29,3.43,3.43,3.43,3.43,3.43,3.43
