SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
BTG,20250717 04:00:01.065000,759,720,720,3.47,EDGX,12545
BTG,20250717 04:00:17.494000,2560,1,730,3.43,PACF,12545
BTG,20250717 04:01:54.280000,9262,200,930,3.43,PACF,12545
BTG,20250717 04:04:43.571000,22261,10,940,3.44,EDGX,12545
BTG,20250717 04:15:13.375000,40799,1,941,3.43,PACF,12545
BTG,20250717 04:19:53.657000,47232,50,991,3.43,PACF,12545
BTG,20250717 05:13:51.167000,99528,2,993,3.44,EDGX,12545
BTG,20250717 05:54:01.343000,131472,6,2041,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131471,39,2035,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131465,1,1039,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131466,904,1943,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131467,7,1950,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131470,1,1996,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131468,39,1989,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131469,6,1995,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131464,6,1038,3.43,PACF,12545
BTG,20250717 05:54:01.343000,131463,39,1032,3.43,PACF,12545
BTG,20250717 06:25:37.830000,152700,155,2196,3.44,EDGX,12545
BTG,20250717 06:54:59.919000,174628,10,2206,3.43,PACF,12545
BTG,20250717 07:00:00.229000,181213,30,2236,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183256,134,2370,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183262,20,2568,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183260,134,2528,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183261,20,2548,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183259,1,2394,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183258,3,2393,3.43,PACF,12545
BTG,20250717 07:00:18.819000,183257,20,2390,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183270,600,3413,3.43,MEMX,12545
BTG,20250717 07:00:18.820000,183269,10,2813,3.43,MEMX,12545
BTG,20250717 07:00:18.820000,183268,91,2803,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183267,86,2712,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183266,49,2626,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183265,3,2577,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183264,3,2574,3.43,PACF,12545
BTG,20250717 07:00:18.820000,183263,3,2571,3.43,PACF,12545
BTG,20250717 07:02:33.795000,188596,100,3513,3.42,PACF,12545
BTG,20250717 07:08:50.853000,196217,500,4013,3.43,PACF,12545
BTG,20250717 07:23:52.054000,211981,2,4015,3.43,EDGX,12545
BTG,20250717 07:26:15.698000,214107,10,4025,3.43,MEMX,12545
BTG,20250717 07:38:45.855000,227263,100,4125,3.43,PACF,12545
BTG,20250717 08:00:00.018000,248411,100,4225,3.42,NQNX,12545
BTG,20250717 08:00:00.183000,250077,1000,5225,3.44,NQNX,12545
BTG,20250717 08:00:00.223000,250630,250,5475,3.44,NQNX,12545
BTG,20250717 08:00:00.429000,252448,10,5485,3.42,NQNX,12545
BTG,20250717 08:00:00.429000,252449,2,5487,3.42,NQNX,12545
BTG,20250717 08:00:00.554000,253167,2000,7487,3.43,NQNX,12545
BTG,20250717 08:00:01.600000,259962,2,7489,3.44,NTRF,12545
BTG,20250717 08:00:01.727000,261040,40,7529,3.43,NQNX,12545
BTG,20250717 08:00:01.882000,262225,110,7639,3.44,NQNX,12545
BTG,20250717 08:00:02.181000,263293,1,7640,3.42,NQNX,12545
BTG,20250717 08:00:08.430000,284911,880,8520,3.44,NQNX,12545
BTG,20250717 08:00:08.513000,285249,50,8570,3.42,NQNX,12545
BTG,20250717 08:00:08.571000,285486,17,8587,3.45,NQNX,12545
BTG,20250717 08:00:09.324000,287874,89,8676,3.44,NQNX,12545
BTG,20250717 08:00:09.717000,288890,88,8764,3.42,NQNX,12545
BTG,20250717 08:00:20.054000,299924,50,8814,3.47,NTRF,12545
BTG,20250717 08:00:26.619000,304390,55,8869,3.5,NTRF,12545
BTG,20250717 08:00:26.623000,304398,47,8916,3.5,NTRF,12545
BTG,20250717 08:00:26.633000,304405,55,8971,3.49,NTRF,12545
BTG,20250717 08:03:54.653000,328105,3,8974,3.43,NQNX,12545
BTG,20250717 08:05:01.480000,330103,31,9005,3.43,PACF,12545
BTG,20250717 08:05:17.482000,330847,50,9055,3.42,NQEX,12545
BTG,20250717 08:12:29.798000,345389,26,9081,3.43,NQNX,12545
BTG,20250717 08:15:42.343000,350138,10,9091,3.43,NTRF,12545
BTG,20250717 08:20:51.074000,359015,50,9141,3.44,NQNX,12545
BTG,20250717 08:24:03.275000,365255,10,17829,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365242,700,9841,3.44,BATS,12545
BTG,20250717 08:24:03.275000,365243,500,10341,3.44,EDGX,12545
BTG,20250717 08:24:03.275000,365244,600,10941,3.44,EDGX,12545
BTG,20250717 08:24:03.275000,365245,1000,11941,3.44,EDGX,12545
BTG,20250717 08:24:03.275000,365246,1000,12941,3.44,NQEX,12545
BTG,20250717 08:24:03.275000,365247,300,13241,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365253,76,17667,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365248,38,13279,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365249,150,13429,3.44,EDGX,12545
BTG,20250717 08:24:03.275000,365250,3400,16829,3.44,NQEX,12545
BTG,20250717 08:24:03.275000,365251,662,17491,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365252,100,17591,3.44,PACF,12545
BTG,20250717 08:24:03.275000,365254,152,17819,3.44,PACF,12545
BTG,20250717 08:24:03.287000,365258,100,18729,3.44,EDGX,12545
BTG,20250717 08:24:03.287000,365257,100,18629,3.44,EDGX,12545
BTG,20250717 08:24:03.287000,365256,700,18529,3.44,BATS,12545
BTG,20250717 08:24:03.287000,365259,1000,19729,3.44,PACF,12545
BTG,20250717 08:24:03.287000,365265,1500,26326,3.44,NQEX,12545
BTG,20250717 08:24:03.287000,365264,3400,24826,3.44,NQEX,12545
BTG,20250717 08:24:03.287000,365262,443,21131,3.44,NQEX,12545
BTG,20250717 08:24:03.287000,365263,295,21426,3.44,NQEX,12545
BTG,20250717 08:24:03.287000,365260,150,19879,3.44,NYSE,12545
BTG,20250717 08:24:03.287000,365261,809,20688,3.44,NYSE,12545
BTG,20250717 08:24:03.288000,365270,3400,31057,3.44,NQEX,12545
BTG,20250717 08:24:03.288000,365267,443,26919,3.44,NQEX,12545
BTG,20250717 08:24:03.288000,365271,295,31352,3.44,NQEX,12545
BTG,20250717 08:24:03.288000,365266,150,26476,3.44,EDGX,12545
BTG,20250717 08:24:03.288000,365268,295,27214,3.44,NQEX,12545
BTG,20250717 08:24:03.288000,365269,443,27657,3.44,NQEX,12545
BTG,20250717 08:24:03.293000,365272,100,31452,3.44,EDGX,12545
BTG,20250717 08:24:03.293000,365273,100,31552,3.44,EDGX,12545
BTG,20250717 08:24:03.293000,365274,443,31995,3.44,NQEX,12545
BTG,20250717 08:24:03.293000,365275,295,32290,3.44,NQEX,12545
BTG,20250717 08:24:03.293000,365276,443,32733,3.44,NQEX,12545
BTG,20250717 08:24:03.293000,365277,295,33028,3.44,NQEX,12545
BTG,20250717 08:24:03.293000,365278,3400,36428,3.44,NQEX,12545
BTG,20250717 08:24:24.298000,365743,10,36438,3.45,PHIL,12545
BTG,20250717 08:24:27.615000,365811,290,36728,3.45,NYSE,12545
BTG,20250717 08:26:11.549000,368595,200,37130,3.45,EDGX,12545
BTG,20250717 08:26:11.549000,368594,200,36930,3.45,EDGX,12545
BTG,20250717 08:26:11.549000,368593,2,36730,3.45,EDGX,12545
BTG,20250717 08:30:34.605000,379230,1000,38130,3.44,BATY,12545
BTG,20250717 08:30:34.605000,379235,30192,94302,3.44,PACF,12545
BTG,20250717 08:30:34.605000,379234,22394,64110,3.44,PACF,12545
BTG,20250717 08:30:34.605000,379231,2896,41026,3.44,EDGX,12545
BTG,20250717 08:30:34.605000,379233,190,41716,3.44,PACF,12545
BTG,20250717 08:30:34.605000,379232,500,41526,3.44,BATY,12545
