SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
BTG, 20250717 04:00:01.000000,145,1,3.47,3.47,3.47,3.47,720,3.47
BTG, 20250717 04:00:17.000000,1081,1,3.43,3.43,3.43,3.43,1,3.43
BTG, 20250717 04:01:54.000000,2888,1,3.43,3.43,3.43,3.43,200,3.43
BTG, 20250717 04:04:43.000000,6083,1,3.44,3.44,3.44,3.44,10,3.44
BTG, 20250717 04:15:13.000000,7243,1,3.43,3.43,3.43,3.43,1,3.43
BTG, 20250717 04:19:53.000000,17357,1,3.43,3.43,3.43,3.43,50,3.43
BTG, 20250717 05:13:51.000000,23820,1,3.44,3.44,3.44,3.44,2,3.44
BTG, 20250717 05:54:01.000000,28032,1,3.43,3.43,3.43,3.43,1048,3.43
BTG, 20250717 06:25:37.000000,32272,1,3.44,3.44,3.44,3.44,155,3.44
BTG, 20250717 06:54:59.000000,33140,1,3.43,3.43,3.43,3.43,10,3.43
BTG, 20250717 07:00:00.000000,33262,1,3.43,3.43,3.43,3.43,30,3.43
BTG, 20250717 07:00:18.000000,33858,1,3.43,3.43,3.43,3.43,1177,3.43
BTG, 20250717 07:02:33.000000,35154,1,3.42,3.42,3.42,3.42,100,3.42
BTG, 20250717 07:08:50.000000,37872,1,3.43,3.43,3.43,3.43,500,3.43
BTG, 20250717 07:23:52.000000,38270,1,3.43,3.43,3.43,3.43,2,3.43
BTG, 20250717 07:26:15.000000,40461,1,3.43,3.43,3.43,3.43,10,3.43
BTG, 20250717 07:38:45.000000,44004,1,3.43,3.43,3.43,3.43,100,3.43
BTG, 20250717 08:00:00.000000,44078,1,3.42,3.44,3.42,3.43,3362,3.43
BTG, 20250717 08:00:01.000000,44111,1,3.44,3.44,3.43,3.44,152,3.44
BTG, 20250717 08:00:02.000000,44335,1,3.42,3.42,3.42,3.42,1,3.42
BTG, 20250717 08:00:08.000000,44365,1,3.44,3.45,3.42,3.45,947,3.44
BTG, 20250717 08:00:09.000000,44675,1,3.44,3.44,3.42,3.42,177,3.43
BTG, 20250717 08:00:20.000000,44851,1,3.47,3.47,3.47,3.47,50,3.47
BTG, 20250717 08:00:26.000000,46920,1,3.5,3.5,3.49,3.49,157,3.5
BTG, 20250717 08:03:54.000000,47445,1,3.43,3.43,3.43,3.43,3,3.43
BTG, 20250717 08:05:01.000000,47579,1,3.43,3.43,3.43,3.43,31,3.43
BTG, 20250717 08:05:17.000000,50976,1,3.42,3.42,3.42,3.42,50,3.42
BTG, 20250717 08:12:29.000000,52526,1,3.43,3.43,3.43,3.43,26,3.43
BTG, 20250717 08:15:42.000000,54979,1,3.43,3.43,3.43,3.43,10,3.43
BTG, 20250717 08:20:51.000000,56549,1,3.44,3.44,3.44,3.44,50,3.44
BTG, 20250717 08:24:03.000000,56718,1,3.44,3.44,3.44,3.44,27287,3.44
BTG, 20250717 08:24:24.000000,56739,1,3.45,3.45,3.45,3.45,10,3.45
BTG, 20250717 08:24:27.000000,57566,1,3.45,3.45,3.45,3.45,290,3.45
BTG, 20250717 08:26:11.000000,59791,1,3.45,3.45,3.45,3.45,402,3.45
BTG, 20250717 08:30:34.000000,59887,1,3.44,3.44,3.44,3.44,57310,3.44
BTG, 20250717 08:30:45.000000,59960,1,3.43,3.43,3.43,3.43,111,3.43
BTG, 20250717 08:30:51.000000,61272,1,3.42,3.42,3.42,3.42,2223,3.42
BTG, 20250717 08:32:56.000000,61344,1,3.42,3.42,3.42,3.42,90,3.42
BTG, 20250717 08:33:02.000000,63384,1,3.43,3.43,3.43,3.43,13,3.43
BTG, 20250717 08:36:26.000000,64674,1,3.41,3.41,3.41,3.41,1,3.41
BTG, 20250717 08:38:24.000000,65192,1,3.43,3.43,3.43,3.43,50,3.43
BTG, 20250717 08:39:13.000000,66084,1,3.43,3.43,3.43,3.43,3,3.43
BTG, 20250717 08:40:35.000000,67202,1,3.41,3.41,3.41,3.41,2965,3.41
BTG, 20250717 08:42:17.000000,67335,1,3.42,3.42,3.42,3.42,3000,3.42
BTG, 20250717 08:42:28.000000,68182,1,3.42,3.42,3.42,3.42,500,3.42
BTG, 20250717 08:43:51.000000,68936,1,3.41,3.41,3.41,3.41,1000,3.41
BTG, 20250717 08:45:03.000000,68988,1,3.43,3.43,3.43,3.43,10,3.43
BTG, 20250717 08:45:08.000000,70724,1,3.41,3.41,3.41,3.41,600,3.41
BTG, 20250717 08:47:59.000000,71315,1,3.41,3.41,3.41,3.41,1000,3.41
BTG, 20250717 08:48:53.000000,72282,1,3.41,3.41,3.41,3.41,1000,3.41
BTG, 20250717 08:50:24.000000,73310,1,3.41,3.41,3.41,3.41,10000,3.41
BTG, 20250717 08:51:58.000000,73846,1,3.41,3.41,3.41,3.41,500,3.41
BTG, 20250717 08:52:47.000000,73910,1,3.42,3.42,3.42,3.42,3,3.42
BTG, 20250717 08:52:53.000000,74210,1,3.41,3.41,3.41,3.41,10000,3.41
BTG, 20250717 08:53:25.000000,74236,1,3.41,3.41,3.41,3.41,8000,3.41
BTG, 20250717 08:53:27.000000,76257,1,3.41,3.41,3.41,3.41,5,3.41
BTG, 20250717 08:56:28.000000,76266,1,3.41,3.41,3.41,3.41,200,3.41
BTG, 20250717 08:56:29.000000,77147,1,3.41,3.41,3.41,3.41,10000,3.41
BTG, 20250717 08:57:47.000000,77310,1,3.41,3.41,3.41,3.41,11078,3.41
BTG, 20250717 08:58:02.000000,78757,1,3.4,3.4,3.4,3.4,60,3.4
BTG, 20250717 09:00:08.000000,78782,1,3.41,3.41,3.41,3.41,500,3.41
BTG, 20250717 09:00:10.000000,78810,1,3.41,3.41,3.4,3.4,400,3.4
BTG, 20250717 09:00:12.000000,79225,1,3.4,3.4,3.4,3.4,20000,3.4
BTG, 20250717 09:00:48.000000,79893,1,3.4,3.4,3.4,3.4,2,3.4
BTG, 20250717 09:01:40.000000,80372,1,3.41,3.41,3.41,3.41,4,3.41
BTG, 20250717 09:02:19.000000,80532,1,3.4,3.4,3.4,3.4,415,3.4
BTG, 20250717 09:02:33.000000,82778,1,3.4,3.4,3.4,3.4,300,3.4
BTG, 20250717 09:05:40.000000,83712,1,3.4,3.4,3.4,3.4,6,3.4
BTG, 20250717 09:07:01.000000,83805,1,3.4,3.4,3.4,3.4,1,3.4
BTG, 20250717 09:07:09.000000,85256,1,3.4,3.4,3.4,3.4,1,3.4
BTG, 20250717 09:09:14.000000,86986,1,3.41,3.41,3.41,3.41,1000,3.41
BTG, 20250717 09:11:41.000000,88853,1,3.4,3.4,3.4,3.4,24,3.4
BTG, 20250717 09:14:21.000000,89154,1,3.4,3.4,3.4,3.4,100,3.4
BTG, 20250717 09:14:45.000000,89559,1,3.41,3.41,3.41,3.41,1000,3.41
