SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
BTOG,20250717 04:01:08.000000,0,0.33,0.33,21918,21918,21918,21918,21918,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.35,0.35,0.33,0.35
BTOG,20250717 04:02:19.000000,0,0.33,0.33,4573,26491,26491,26491,26491,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.35,0.33,0.35
BTOG,20250717 04:03:11.000000,0,0.33,0.33,125,26616,26616,26616,26616,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.35
BTOG,20250717 04:04:05.000000,0,0.33,0.33,376,26992,26992,26992,26992,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.35
BTOG,20250717 04:05:01.000000,0,0.33,0.33,41421,68413,68413,68413,68413,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.35
BTOG,20250717 04:06:12.000000,0,0.33,0.33,23440,69935,91853,91853,91853,0,0,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33
BTOG,20250717 04:07:03.000000,0,0.33,0.33,363,65725,92216,92216,92216,0,0,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33
BTOG,20250717 04:08:04.000000,0,0.33,0.33,3127,68727,95343,95343,95343,0,0,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33
BTOG,20250717 04:09:32.000000,0,0.33,0.33,338,68689,95681,95681,95681,0,0,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33
BTOG,20250717 04:10:04.000000,0,0.33,0.33,4821,32089,100502,100502,100502,0,0,0,0,0.01,6.06,0.01,6.06,0.01,6.06,0.01,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0.33,0.33,0.33,0.33,0.33
