SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
BTOG, 20250717 04:00:01.000000,38,1,0.34,0.35,0.34,0.34,8376,0.35
BTOG, 20250717 04:00:03.000000,43,1,0.35,0.35,0.35,0.35,2751,0.35
BTOG, 20250717 04:00:04.000000,245,1,0.33,0.34,0.33,0.33,9400,0.33
BTOG, 20250717 04:00:31.000000,254,1,0.34,0.34,0.34,0.34,200,0.34
BTOG, 20250717 04:00:32.000000,323,1,0.34,0.34,0.34,0.34,72,0.34
BTOG, 20250717 04:00:41.000000,344,1,0.33,0.33,0.33,0.33,98,0.33
BTOG, 20250717 04:00:44.000000,406,1,0.33,0.33,0.33,0.33,549,0.33
BTOG, 20250717 04:00:51.000000,455,1,0.33,0.33,0.33,0.33,417,0.33
BTOG, 20250717 04:00:58.000000,561,1,0.33,0.33,0.33,0.33,55,0.33
BTOG, 20250717 04:01:07.000000,716,1,0.33,0.33,0.33,0.33,2100,0.33
BTOG, 20250717 04:01:21.000000,831,1,0.33,0.33,0.33,0.33,1000,0.33
BTOG, 20250717 04:01:30.000000,894,1,0.33,0.33,0.33,0.33,1000,0.33
BTOG, 20250717 04:01:36.000000,1007,1,0.33,0.33,0.33,0.33,467,0.33
BTOG, 20250717 04:01:45.000000,1349,1,0.33,0.33,0.33,0.33,6,0.33
BTOG, 20250717 04:02:18.000000,1450,1,0.33,0.33,0.33,0.33,1,0.33
BTOG, 20250717 04:02:28.000000,1567,1,0.33,0.33,0.33,0.33,73,0.33
BTOG, 20250717 04:02:39.000000,1712,1,0.33,0.33,0.33,0.33,40,0.33
BTOG, 20250717 04:02:51.000000,1763,1,0.33,0.33,0.33,0.33,2,0.33
BTOG, 20250717 04:02:57.000000,1889,1,0.33,0.33,0.33,0.33,9,0.33
BTOG, 20250717 04:03:10.000000,1933,1,0.33,0.33,0.33,0.33,10,0.33
BTOG, 20250717 04:03:14.000000,2054,1,0.33,0.33,0.33,0.33,25,0.33
BTOG, 20250717 04:03:25.000000,2176,1,0.33,0.33,0.33,0.33,140,0.33
BTOG, 20250717 04:03:36.000000,2275,1,0.33,0.33,0.33,0.33,100,0.33
BTOG, 20250717 04:03:44.000000,2387,1,0.33,0.33,0.33,0.33,1,0.33
BTOG, 20250717 04:03:55.000000,2478,1,0.33,0.33,0.33,0.33,100,0.33
BTOG, 20250717 04:04:04.000000,2568,1,0.33,0.33,0.33,0.33,161,0.33
BTOG, 20250717 04:04:13.000000,2680,1,0.33,0.33,0.33,0.33,30,0.33
BTOG, 20250717 04:04:25.000000,2727,1,0.33,0.33,0.33,0.33,2973,0.33
BTOG, 20250717 04:04:29.000000,2751,1,0.33,0.33,0.33,0.33,1,0.33
BTOG, 20250717 04:04:32.000000,2803,1,0.33,0.33,0.33,0.33,1550,0.33
BTOG, 20250717 04:04:36.000000,2835,1,0.33,0.33,0.33,0.33,35102,0.33
BTOG, 20250717 04:04:39.000000,2913,1,0.33,0.33,0.33,0.33,108,0.33
BTOG, 20250717 04:04:46.000000,2928,1,0.33,0.33,0.33,0.33,978,0.33
BTOG, 20250717 04:04:49.000000,3001,1,0.33,0.33,0.33,0.33,120,0.33
BTOG, 20250717 04:04:59.000000,3009,1,0.33,0.33,0.33,0.33,398,0.33
BTOG, 20250717 04:05:00.000000,3081,1,0.33,0.33,0.33,0.33,2094,0.33
BTOG, 20250717 04:05:13.000000,3088,1,0.33,0.33,0.33,0.33,11345,0.33
BTOG, 20250717 04:05:14.000000,3326,1,0.33,0.33,0.33,0.33,10000,0.33
BTOG, 20250717 04:05:53.000000,3439,1,0.33,0.33,0.33,0.33,1,0.33
BTOG, 20250717 04:06:11.000000,3453,1,0.33,0.33,0.33,0.33,10,0.33
BTOG, 20250717 04:06:14.000000,3645,1,0.33,0.33,0.33,0.33,343,0.33
BTOG, 20250717 04:06:50.000000,3698,1,0.33,0.33,0.33,0.33,10,0.33
BTOG, 20250717 04:07:02.000000,3774,1,0.33,0.33,0.33,0.33,579,0.33
BTOG, 20250717 04:07:13.000000,3890,1,0.33,0.33,0.33,0.33,1636,0.33
BTOG, 20250717 04:07:33.000000,3938,1,0.33,0.33,0.33,0.33,1,0.33
