SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
CCL,20250717 04:01:02.000000,0,29.1,29.1,697,697,697,697,697,0.08,0.27,0.08,0.27,0.08,0.27,0.08,0.27,0.08,0.27,0.08,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.02,29.02,29.1,29.1,29.02,29.1
CCL,20250717 04:02:27.000000,0,29.09,29.09,1420,2117,2117,2117,2117,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,-0.03,-0.1,-0.03,-0.1,-0.03,-0.1,-0.03,-0.1,-0.03,-0.1,-0.03,-0.1,-0.03,-0.1,29.07,29.02,29.13,29.13,29.02,29.13
CCL,20250717 04:03:07.000000,0,29.08,29.09,1,2118,2118,2118,2118,0.07,0.24,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,-0.01,-0.03,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,29.06,29.06,29.06,29.13,29.02,29.13
CCL,20250717 04:04:23.000000,0,29.08,29.09,100,2218,2218,2218,2218,0.04,0.13,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.04,0.13,0,0,0,0,0,0,0,0,0,0,0,0,29.1,29.06,29.1,29.1,29.02,29.13
CCL,20250717 04:05:16.000000,0,29.08,29.09,27,2245,2245,2245,2245,0.06,0.2,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,29.06,29.06,29.12,29.12,29.02,29.13
CCL,20250717 04:07:16.000000,0,29.07,29.08,130,1678,2375,2375,2375,0.06,0.2,0.07,0.24,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0,0,-0.01,-0.03,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,29.06,29.06,29.06,29.12,29.06,29.13
CCL,20250717 04:10:04.000000,0,29.07,29.08,11,268,2386,2386,2386,0,0,0.06,0.2,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0,0,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,-0.04,-0.13,29.06,29.06,29.06,29.06,29.06,29.12
CCL,20250717 04:11:53.000000,0,29.07,29.08,24,35,1713,2410,2410,0,0,0,0.03,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0,0,0,-0.03,-0.01,-0.06,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,29.05,29.05,29.05,29.05,29.05,29.06
CCL,20250717 04:12:48.000000,0,29.06,29.07,500,535,793,2910,2910,0,0,0,0.03,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0,0,0,-0.03,0,-0.03,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,29.05,29.05,29.05,29.05,29.05,29.06
CCL,20250717 04:22:23.000000,0,29.06,29.07,500,1024,1292,3410,3410,0,0,0,0,0.1,0.37,0.1,0.37,0.1,0.37,0.1,0.37,0,0,0,0,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,-0.05,-0.17,29.05,29.05,29.05,29.05,29.05,29.05
