SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
CYCU,20250717 04:03:43.000000,0,0.37,0.37,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.37
CYCU,20250717 04:08:31.000000,0,0.37,0.37,143,283,283,283,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.37
CYCU,20250717 04:10:53.000000,0,0.37,0.37,1,1,284,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.37
CYCU,20250717 04:11:12.000000,0,0.36,0.36,1040,1041,1324,1324,1324,0,0,0.01,2.77,0.01,2.77,0.01,2.77,0.01,2.77,0.01,2.77,0,0,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,0.36,0.36,0.36,0.36,0.36,0.37
CYCU,20250717 04:13:07.000000,0,0.36,0.36,2,1043,1326,1326,1326,0.01,2.7,0.01,2.7,0.01,2.7,0.01,2.7,0.01,2.7,0.01,2.7,0.01,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.36,0.37,0.37,0.36,0.37
CYCU,20250717 04:14:12.000000,0,0.36,0.36,5001,6043,6044,6327,6327,0.02,5.4,0.02,5.4,0.02,5.4,0.02,5.4,0.02,5.4,0.02,5.4,0,0,0.01,2.7,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0.37,0.37,0.35,0.37
CYCU,20250717 04:16:43.000000,0,0.36,0.36,1,6044,6045,6328,6328,0.02,5.55,0.02,5.55,0.02,5.55,0.02,5.55,0.02,5.55,0.02,5.55,-0.01,-2.77,0,0,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,0.36,0.35,0.36,0.37,0.35,0.37
CYCU,20250717 04:17:37.000000,0,0.36,0.36,26605,31607,32650,32933,32933,0.01,2.77,0.02,5.55,0.02,5.55,0.02,5.55,0.02,5.55,0.02,5.55,0,0,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,-0.01,-2.77,0.35,0.35,0.36,0.36,0.35,0.37
CYCU,20250717 04:18:34.000000,0,0.36,0.36,30,31637,32680,32823,32963,0.01,2.85,0.02,5.71,0.02,5.71,0.02,5.71,0.02,5.71,0.02,5.71,-0.01,-2.85,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,0.35,0.35,0.35,0.36,0.35,0.37
CYCU,20250717 04:19:02.000000,0,0.35,0.36,2531,29167,35210,35211,35494,0,0,0.01,2.85,0.02,5.71,0.02,5.71,0.02,5.71,0.02,5.71,0,0,-0.01,-2.85,-0.01,-2.85,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,-0.02,-5.71,0.35,0.35,0.35,0.35,0.35,0.36
