SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
CYCU,20250717 04:02:08.467000,38133,134,354,0.37,EDGX,12545
CYCU,20250717 04:02:18.266000,40714,1,355,0.37,EDGX,12545
CYCU,20250717 04:02:45.328000,48240,5,360,0.37,EDGX,12545
CYCU,20250717 04:03:42.180000,63550,143,503,0.37,BATS,12545
CYCU,20250717 04:08:30.315000,121924,1,504,0.37,EDGX,12545
CYCU,20250717 04:10:52.109000,144049,103,607,0.36,PACF,12545
CYCU,20250717 04:10:52.109000,144050,300,907,0.36,EDGX,12545
CYCU,20250717 04:10:52.109000,144051,437,1344,0.36,EDGX,12545
CYCU,20250717 04:10:52.109000,144052,200,1544,0.36,BATS,12545
CYCU,20250717 04:11:11.053000,147397,1,1545,0.36,BATS,12545
CYCU,20250717 04:11:31.534000,151157,1,1546,0.37,EDGX,12545
CYCU,20250717 04:13:06.445000,167085,47,1910,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167081,16,1562,0.36,PACF,12545
CYCU,20250717 04:13:06.445000,167082,1,1563,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167083,200,1763,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167090,100,4271,0.36,MEMX,12545
CYCU,20250717 04:13:06.445000,167084,100,1863,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167086,20,1930,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167087,1000,2930,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167088,835,3765,0.36,NQEX,12545
CYCU,20250717 04:13:06.445000,167097,406,5248,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167091,199,4470,0.36,BATS,12545
CYCU,20250717 04:13:06.445000,167095,1,4841,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167096,1,4842,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167093,300,4831,0.36,EDGX,12545
CYCU,20250717 04:13:06.445000,167092,61,4531,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167094,9,4840,0.35,PACF,12545
CYCU,20250717 04:13:06.445000,167089,406,4171,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167098,61,5309,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167099,61,5370,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167114,61,6038,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167134,19,6488,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167143,2,6533,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167142,1,6531,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167141,1,6530,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167140,1,6529,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167139,12,6528,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167138,3,6516,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167137,4,6513,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167136,1,6509,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167135,20,6508,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167100,9,5379,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167101,15,5394,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167118,9,6064,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167119,15,6079,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167120,5,6084,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167121,125,6209,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167122,2,6211,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167123,125,6336,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167124,9,6345,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167126,1,6370,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167127,45,6415,0.35,PACF,12545
CYCU,20250717 04:13:06.446000,167128,30,6445,0.35,PACF,12545
