SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
CYCU, 20250717 04:02:08.000000,1342,1,0.37,0.37,0.37,0.37,134,0.37
CYCU, 20250717 04:02:18.000000,1640,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:02:45.000000,2244,1,0.37,0.37,0.37,0.37,5,0.37
CYCU, 20250717 04:03:42.000000,4254,1,0.37,0.37,0.37,0.37,143,0.37
CYCU, 20250717 04:08:30.000000,4955,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:10:52.000000,5027,1,0.36,0.36,0.36,0.36,1040,0.36
CYCU, 20250717 04:11:11.000000,5114,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 04:11:31.000000,5544,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:13:06.000000,5780,1,0.35,0.36,0.35,0.35,5000,0.35
CYCU, 20250717 04:13:57.000000,5831,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:14:11.000000,6451,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 04:16:42.000000,6700,1,0.36,0.36,0.35,0.36,26605,0.36
CYCU, 20250717 04:17:36.000000,6932,1,0.35,0.35,0.35,0.35,30,0.35
CYCU, 20250717 04:18:33.000000,6986,1,0.35,0.35,0.35,0.35,2478,0.35
CYCU, 20250717 04:18:48.000000,7028,1,0.35,0.35,0.35,0.35,53,0.35
CYCU, 20250717 04:19:01.000000,7038,1,0.35,0.36,0.35,0.36,900,0.36
CYCU, 20250717 04:19:03.000000,7098,1,0.36,0.36,0.36,0.36,228,0.36
CYCU, 20250717 04:19:17.000000,7126,1,0.35,0.35,0.35,0.35,1,0.35
CYCU, 20250717 04:19:24.000000,7292,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 04:20:06.000000,7337,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 04:20:16.000000,7390,1,0.36,0.36,0.36,0.36,6000,0.36
CYCU, 20250717 04:20:31.000000,7550,1,0.36,0.36,0.36,0.36,60,0.36
CYCU, 20250717 04:21:15.000000,8032,1,0.36,0.36,0.36,0.36,7,0.36
CYCU, 20250717 04:23:38.000000,8094,1,0.36,0.36,0.36,0.36,439,0.36
CYCU, 20250717 04:23:54.000000,8125,1,0.36,0.36,0.36,0.36,10,0.36
CYCU, 20250717 04:24:02.000000,8149,1,0.36,0.36,0.36,0.36,9035,0.36
CYCU, 20250717 04:24:10.000000,8414,1,0.36,0.36,0.36,0.36,21,0.36
CYCU, 20250717 04:25:18.000000,8441,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:25:25.000000,8803,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:27:17.000000,9159,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:29:14.000000,9250,1,0.36,0.36,0.36,0.36,153,0.36
CYCU, 20250717 04:29:44.000000,9257,1,0.37,0.37,0.37,0.37,400,0.37
CYCU, 20250717 04:29:45.000000,9433,1,0.37,0.37,0.37,0.37,3,0.37
CYCU, 20250717 04:30:37.000000,9703,1,0.37,0.37,0.37,0.37,200,0.37
CYCU, 20250717 04:31:45.000000,11921,1,0.36,0.36,0.36,0.36,920,0.36
CYCU, 20250717 04:42:45.000000,12255,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:44:24.000000,12567,1,0.37,0.37,0.37,0.37,1,0.37
CYCU, 20250717 04:45:56.000000,13364,1,0.36,0.36,0.36,0.36,200,0.36
CYCU, 20250717 04:49:58.000000,14274,1,0.36,0.36,0.36,0.36,2282,0.36
CYCU, 20250717 04:55:23.000000,14985,1,0.36,0.36,0.36,0.36,16,0.36
CYCU, 20250717 04:59:27.000000,15008,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 04:59:36.000000,15122,1,0.36,0.36,0.36,0.36,815,0.36
CYCU, 20250717 05:00:18.000000,19613,1,0.36,0.36,0.36,0.36,400,0.36
CYCU, 20250717 05:27:00.000000,20498,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 05:32:06.000000,21234,1,0.36,0.36,0.36,0.36,444,0.36
CYCU, 20250717 05:36:52.000000,21261,1,0.37,0.37,0.37,0.37,117,0.37
CYCU, 20250717 05:37:03.000000,21289,1,0.37,0.37,0.37,0.37,300,0.37
CYCU, 20250717 05:37:12.000000,21743,1,0.37,0.37,0.37,0.37,100,0.37
CYCU, 20250717 05:40:17.000000,21909,1,0.36,0.36,0.36,0.36,4369,0.36
CYCU, 20250717 05:41:17.000000,22103,1,0.36,0.36,0.36,0.36,1189,0.36
CYCU, 20250717 05:42:24.000000,22496,1,0.36,0.36,0.36,0.36,4082,0.36
CYCU, 20250717 05:45:15.000000,22515,1,0.36,0.36,0.36,0.36,140,0.36
CYCU, 20250717 05:45:26.000000,22673,1,0.36,0.36,0.36,0.36,260,0.36
CYCU, 20250717 05:46:28.000000,22748,1,0.36,0.36,0.35,0.36,685,0.36
CYCU, 20250717 05:46:57.000000,22963,1,0.36,0.36,0.36,0.36,8,0.36
CYCU, 20250717 05:48:18.000000,23669,1,0.35,0.35,0.35,0.35,327,0.35
CYCU, 20250717 05:53:02.000000,23757,1,0.35,0.35,0.35,0.35,100,0.35
CYCU, 20250717 05:53:31.000000,23837,1,0.36,0.36,0.35,0.35,7922,0.36
CYCU, 20250717 05:54:07.000000,25010,1,0.36,0.36,0.36,0.36,10000,0.36
CYCU, 20250717 06:02:25.000000,25282,1,0.36,0.36,0.36,0.36,78,0.36
CYCU, 20250717 06:04:30.000000,25347,1,0.35,0.35,0.35,0.35,1,0.35
CYCU, 20250717 06:04:57.000000,25813,1,0.35,0.35,0.35,0.35,709,0.35
CYCU, 20250717 06:08:19.000000,26077,1,0.36,0.36,0.36,0.36,800,0.36
CYCU, 20250717 06:10:26.000000,26643,1,0.36,0.36,0.36,0.36,50,0.36
CYCU, 20250717 06:14:58.000000,26659,1,0.36,0.36,0.36,0.36,1,0.36
CYCU, 20250717 06:15:04.000000,27042,1,0.35,0.35,0.35,0.35,1,0.35
CYCU, 20250717 06:17:57.000000,27073,1,0.36,0.36,0.36,0.36,1000,0.36
CYCU, 20250717 06:18:14.000000,27323,1,0.36,0.36,0.36,0.36,1774,0.36
CYCU, 20250717 06:20:11.000000,28093,1,0.35,0.35,0.35,0.35,1925,0.35
CYCU, 20250717 06:26:11.000000,28895,1,0.35,0.35,0.35,0.35,6,0.35
CYCU, 20250717 06:32:03.000000,29122,1,0.36,0.36,0.36,0.36,2,0.36
