SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
DNB,20250717 09:30:01.000000,0,9.11,9.11,15772,15772,15772,15772,15772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:31:01.000000,0,9.11,9.11,273166,273166,288938,288938,288938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:32:02.000000,0,9.11,9.11,6085,279251,295023,295023,295023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:33:08.000000,0,9.11,9.11,16762,296013,296013,311785,311785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:34:02.000000,0,9.11,9.11,5511,301524,301524,317296,317296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:35:01.000000,0,9.11,9.11,5666,307190,307190,322962,322962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:36:02.000000,0,9.11,9.11,164762,198786,471952,487724,487724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:37:29.000000,0,9.11,9.11,320,193021,472272,488044,488044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:38:17.000000,0,9.11,9.11,59,176318,472331,472331,488103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:39:32.000000,0,9.11,9.11,254879,425686,727210,727210,742982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.11,9.11,9.11,9.11,9.11,9.11
DNB,20250717 09:40:01.000000,0,9.1,9.1,120074,540094,847284,847284,863056,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,9.1,9.1,9.11,9.11,9.1,9.11
DNB,20250717 09:41:03.000000,0,9.1,9.1,11051,386383,585169,858335,874107,0.01,0.22,0.01,0.22,0.01,0.22,0.01,0.22,0.01,0.22,0.01,0.22,0,-0.11,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,9.09,9.09,9.1,9.11,9.09,9.11
DNB,20250717 09:42:01.000000,0,9.1,9.1,7143,393206,586227,865478,881250,0,0.11,0.01,0.22,0.01,0.22,0.01,0.22,0.01,0.22,0.01,0.22,0,0,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,-0.01,-0.22,9.09,9.09,9.09,9.1,9.09,9.11
DNB,20250717 09:43:13.000000,0,9.1,9.1,186980,580127,756445,1052458,1068230,0,0.1,0.01,0.21,0.01,0.21,0.01,0.21,0.01,0.21,0.01,0.21,0,0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,0,-0.1,9.09,9.09,9.1,9.1,9.09,9.11
