SymbolId,CurrentTime,Index,CurrentPrice,VWAP,ReportedVolume,PreMarketVolume,AllExchangesVolume,DollarVolume,TodaysHigh,TodaysLow,PreMarketOpen,PreMarketHigh,PreMarketLow,PreMarketClose,PreMarketOpenGap,PreMarketOpenGapPerc,PreMarketMaxGapUp,PreMarketMaxGapUpPerc,PreMarketMaxGapDn,PreMarketMaxGapDnPerc,PreMarketHighTime,PreMarketLowTime,PreMarketCurrentGap,PreMarketCurrentGapPerc,IntradayMarketOpen,IntradayMarketHigh,IntradayMarketLow,IntradayMarketClose,IntradayOpenGap,IntradayOpenGapPerc,IntradayCurrentMarketGap,IntradayCurrentMarketGapPerc,P_IntradayCurrentMarketGapPerc,IntradayMarketMaxGapUp,IntradayMarketMaxGapUpPerc,IntradayMarketMaxGapDn,IntradayMarketMaxGapDnPerc,IntradayMarketHighTime,IntradayMarketLowTime,AllExchangesVolume_FloatShares_Ratio,RVol,YRVol,R_YRV_Ratio,RVolDayOffset,Vol1Min_AEV_Ratio,Vol5Min_AEV_Ratio,VolumeRank,MktType,RollingAverageBidAskSpread,BidAskSpread,Quartile_PMHL,Quartile_PDHL,GapDnPercRank,GapUpPerc,RankPmhDistance,PmlDistance,PdhDistance,PdlDistance,PdcDistance,VwapDistance,CurrentMarketGapPerc,TodayMaxGapDnPercentage,TodayMaxGapUpPercentage,PreMarketGapDownCushionRatio,PreMarketGapPotentialRatio,TodayGapDownCushionRatio,TodayGapPotentialRatio
DNB,20250717 09:22:09.000000,0,9.11,9.11,15772,15772,15772,143682,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,16.35,4.72,3.46,22.95,0,0,0,Bull250,0,0,Q4,Q4,0,0,-21474836.48,-21474836.48,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:01.000000,0,9.11,9.11,15778,15772,15778,143737,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,1.08,0.47,2.29,0.61,99.96,99.96,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:02.000000,0,9.11,9.11,283673,15772,283673,2584261,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.36,0.47,41.19,10.96,5.55,5.55,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:03.000000,0,9.11,9.11,284673,15772,284673,2593371,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.43,0.47,41.34,11,5.54,5.54,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:04.000000,0,9.11,9.11,284886,15772,284886,2595311,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.44,0.47,41.36,11.01,5.53,5.53,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:06.000000,0,9.11,9.11,285186,15772,285186,2598044,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.46,0.47,41.4,11.02,5.53,5.53,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:08.000000,0,9.11,9.11,285486,15772,285486,2600777,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.48,0.47,41.47,11.03,5.52,5.52,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:10.000000,0,9.11,9.11,285786,15772,285786,2603510,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.51,0.47,41.51,11.05,5.51,5.51,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:12.000000,0,9.11,9.11,286086,15772,286086,2606243,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.53,0.47,41.55,11.06,5.51,5.51,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:14.000000,0,9.11,9.11,286835,15772,286835,2613066,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.57,0.47,41.66,11.09,5.49,5.49,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:16.000000,0,9.11,9.11,287584,15772,287584,2619890,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.63,0.47,41.77,11.11,5.48,5.48,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:19.000000,0,9.11,9.11,287806,15772,287806,2621912,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.64,0.47,41.79,11.12,5.48,5.48,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:20.000000,0,9.11,9.11,287807,15772,287807,2621921,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.64,0.47,41.79,11.12,5.48,5.48,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:32.000000,0,9.11,9.11,287808,15772,287808,2621930,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.64,0.47,41.79,11.12,5.48,5.48,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:34.000000,0,9.11,9.11,288173,15772,288173,2625256,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.67,0.47,41.85,11.14,5.47,5.47,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:42.000000,0,9.11,9.11,288559,15772,288559,2628772,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.7,0.47,41.91,11.15,5.46,5.46,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:50.000000,0,9.11,9.11,288745,15772,288745,2630466,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.71,0.47,41.94,11.16,5.46,5.46,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
DNB,20250717 09:30:56.000000,0,9.11,9.11,288938,15772,288938,2632225,9.11,9.11,9.11,9.11,9.11,9.11,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:22:09,07/17/2025 09:22:09,0,0,9.11,9.11,9.11,9.11,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:01,07/17/2025 09:30:01,0,19.72,0.47,41.96,11.17,5.45,5.45,0,Bull250,0,0,Q4,Q4,0,0,0,0,0,0,0,0,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48
