SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
DNN,20250717 04:00:00.052000,430,5,14,2.08,PACF,12545
DNN,20250717 04:00:01.282000,794,110,139,2.06,PACF,12545
DNN,20250717 04:00:03.950000,1196,2,141,2.04,EDGX,12545
DNN,20250717 04:00:45.694000,4224,48,241,2.04,PACF,12545
DNN,20250717 04:00:45.694000,4223,52,193,2.04,PACF,12545
DNN,20250717 04:02:32.306000,12211,40,281,2.04,PACF,12545
DNN,20250717 04:03:59.348000,18971,280,2293,2.04,PACF,12545
DNN,20250717 04:03:59.348000,18970,1732,2013,2.04,PACF,12545
DNN,20250717 04:03:59.349000,18974,1,2572,2.04,PACF,12545
DNN,20250717 04:03:59.349000,18973,212,2571,2.04,PACF,12545
DNN,20250717 04:03:59.349000,18975,1,2573,2.04,PACF,12545
DNN,20250717 04:03:59.349000,18972,66,2359,2.04,PACF,12545
DNN,20250717 04:03:59.349000,18976,2,2575,2.04,NQEX,12545
DNN,20250717 04:05:51.776000,24770,50,2625,2.04,PACF,12545
DNN,20250717 04:06:16.238000,25600,35,2660,2.04,PACF,12545
DNN,20250717 04:07:54.262000,28953,2,2664,2.04,PACF,12545
DNN,20250717 04:07:54.262000,28952,2,2662,2.04,PACF,12545
DNN,20250717 04:10:32.400000,33401,54,2718,2.04,PACF,12545
DNN,20250717 04:12:23.796000,36591,3,2721,2.04,PACF,12545
DNN,20250717 04:15:30.268000,41132,40,2761,2.04,PACF,12545
DNN,20250717 04:19:05.158000,46515,27,2788,2.04,PACF,12545
DNN,20250717 04:19:09.232000,46566,500,3288,2.04,EDGX,12545
DNN,20250717 04:19:29.409000,46909,27,3315,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48864,1,5479,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48870,8,5596,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48865,1,5480,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48866,51,5531,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48867,20,5551,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48868,2,5553,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48869,35,5588,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48863,1,5478,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48860,3,5469,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48862,5,5477,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48848,1198,4513,2.04,EDGX,12545
DNN,20250717 04:21:14.751000,48849,100,4613,2.04,EDGX,12545
DNN,20250717 04:21:14.751000,48850,339,4952,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48851,134,5086,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48852,15,5101,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48854,51,5386,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48856,20,5421,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48857,3,5424,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48858,35,5459,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48859,7,5466,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48861,3,5472,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48855,15,5401,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48871,8,5604,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48853,234,5335,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48872,3,5607,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48879,1,5620,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48883,8,5685,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48877,1,5618,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48876,1,5617,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48875,1,5616,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48881,2,5642,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48882,35,5677,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48874,6,5615,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48873,2,5609,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48880,20,5640,2.04,PACF,12545
DNN,20250717 04:21:14.751000,48878,1,5619,2.04,PACF,12545
DNN,20250717 04:21:14.752000,48884,2,5687,2.04,PACF,12545
DNN,20250717 04:21:14.752000,48885,3,5690,2.04,PACF,12545
DNN,20250717 04:21:14.752000,48886,6,5696,2.04,PACF,12545
DNN,20250717 04:21:14.752000,48887,1,5697,2.04,PACF,12545
DNN,20250717 04:21:14.769000,48888,100,5797,2.04,PACF,12545
DNN,20250717 04:21:14.769000,48889,226,6023,2.04,EDGX,12545
DNN,20250717 04:21:14.769000,48890,226,6249,2.04,EDGX,12545
DNN,20250717 04:22:11.447000,49874,10,6259,2.04,EDGX,12545
DNN,20250717 04:25:13.315000,52944,55,6314,2.04,PACF,12545
DNN,20250717 04:25:47.942000,53541,400,6714,2.04,NQEX,12545
DNN,20250717 04:26:07.676000,53941,1000,7714,2.04,NQEX,12545
DNN,20250717 04:27:01.088000,55016,287,8001,2.04,PACF,12545
DNN,20250717 04:29:55.958000,58414,1,8002,2.04,EDGX,12545
DNN,20250717 04:30:30.931000,58915,1000,9002,2.04,NQEX,12545
DNN,20250717 04:34:37.290000,62581,2,9004,2.04,PACF,12545
DNN,20250717 04:38:52.461000,66965,892,9904,2.04,EDGX,12545
DNN,20250717 04:38:52.461000,66964,8,9012,2.04,EDGX,12545
DNN,20250717 04:40:04.470000,67821,43,9947,2.04,EDGX,12545
DNN,20250717 04:40:07.165000,67896,400,10347,2.04,NQEX,12545
DNN,20250717 04:44:21.517000,71878,200,10547,2.04,NQEX,12545
DNN,20250717 04:46:10.342000,73893,100,10647,2.04,PACF,12545
DNN,20250717 04:46:10.342000,73894,100,10747,2.04,EDGX,12545
DNN,20250717 04:46:10.344000,73895,100,10847,2.04,EDGX,12545
DNN,20250717 04:54:05.750000,80325,2,10849,2.04,EDGX,12545
DNN,20250717 04:54:05.750000,80326,69,10918,2.04,EDGX,12545
DNN,20250717 05:01:54.487000,88051,1,10919,2.04,PACF,12545
DNN,20250717 05:01:54.488000,88052,500,11419,2.04,MEMX,12545
DNN,20250717 05:01:59.300000,88095,2,11421,2.02,EDGX,12545
DNN,20250717 05:02:14.325000,88304,554,11975,2.02,PACF,12545
DNN,20250717 05:05:00.532000,91014,1,11976,2.04,MEMX,12545
DNN,20250717 05:10:17.018000,96438,349,12325,2.02,PACF,12545
DNN,20250717 05:22:50.723000,106954,1150,13475,2.02,PACF,12545
DNN,20250717 05:23:24.143000,107655,1000,14475,2.02,NQEX,12545
DNN,20250717 05:30:29.395000,113916,700,16175,2.02,EDGX,12545
DNN,20250717 05:30:29.395000,113915,1000,15475,2.02,EDGX,12545
DNN,20250717 05:31:07.588000,114536,38,16213,2.02,PACF,12545
DNN,20250717 05:35:08.255000,118378,490,16703,2.02,PACF,12545
DNN,20250717 05:35:08.255000,118379,200,16903,2.02,MEMX,12545
DNN,20250717 05:35:08.255000,118380,100,17003,2.02,EDGX,12545
DNN,20250717 05:35:08.255000,118381,210,17213,2.02,PACF,12545
DNN,20250717 05:35:08.269000,118382,162,17375,2.02,EDGX,12545
DNN,20250717 05:56:01.102000,132968,34,17409,2.04,PACF,12545
DNN,20250717 05:57:17.795000,134191,2,21200,2.02,BATS,12545
DNN,20250717 05:57:17.795000,134190,2000,21198,2.02,NQEX,12545
DNN,20250717 05:57:17.795000,134189,1,19198,2.02,PACF,12545
DNN,20250717 05:57:17.795000,134188,1,19197,2.02,PACF,12545
DNN,20250717 05:57:17.795000,134187,1,19196,2.02,PACF,12545
DNN,20250717 05:57:17.795000,134186,1,19195,2.02,PACF,12545
DNN,20250717 05:57:17.795000,134182,300,17709,2.02,EDGX,12545
DNN,20250717 05:57:17.795000,134183,1300,19009,2.02,EDGX,12545
DNN,20250717 05:57:17.795000,134184,10,19019,2.02,PACF,12545
DNN,20250717 05:57:17.795000,134185,175,19194,2.02,PACF,12545
DNN,20250717 05:57:20.020000,134258,10,23758,2,EDGX,12545
DNN,20250717 05:57:20.020000,134251,3,21203,2,BATS,12545
DNN,20250717 05:57:20.020000,134252,616,21819,2,PACF,12545
DNN,20250717 05:57:20.020000,134253,535,22354,2,PACF,12545
DNN,20250717 05:57:20.020000,134254,40,22394,2,MEMX,12545
DNN,20250717 05:57:20.020000,134255,5,22399,2,EDGX,12545
DNN,20250717 05:57:20.020000,134256,349,22748,2,PACF,12545
DNN,20250717 05:57:20.020000,134259,65,23823,2,EDGX,12545
DNN,20250717 05:57:20.020000,134257,1000,23748,2,PACF,12545
DNN,20250717 05:57:20.020000,134260,500,24323,2,EDGX,12545
DNN,20250717 05:57:20.021000,134261,200,24523,2,EDGX,12545
DNN,20250717 05:58:47.709000,135276,734,25323,2,PACF,12545
DNN,20250717 05:58:47.709000,135275,66,24589,2,PACF,12545
DNN,20250717 06:02:53.746000,138296,12,25335,2,EDGX,12545
DNN,20250717 06:08:11.202000,141842,500,25835,2,EDGX,12545
DNN,20250717 06:33:21.889000,157452,60,25895,2,PACF,12545
DNN,20250717 06:34:52.174000,158239,165,26060,2,PACF,12545
DNN,20250717 06:35:29.588000,158622,300,26360,2,PACF,12545
DNN,20250717 06:38:12.119000,160477,599,26959,2,NQEX,12545
DNN,20250717 06:42:11.760000,163124,800,27759,1.99,NQEX,12545
DNN,20250717 06:43:59.663000,164733,200,27959,1.99,PACF,12545
DNN,20250717 06:44:38.767000,165246,1358,30558,2,EDGX,12545
DNN,20250717 06:44:38.767000,165245,1241,29200,2,PACF,12545
DNN,20250717 06:44:38.767000,165247,2401,32959,2,NQEX,12545
DNN,20250717 06:45:35.790000,166147,220,36209,2,EDGX,12545
DNN,20250717 06:45:35.790000,166145,2900,35859,2,BATS,12545
DNN,20250717 06:45:35.790000,166146,130,35989,2,EDGX,12545
DNN,20250717 06:45:35.790000,166148,125,36334,2,EDGX,12545
DNN,20250717 06:45:38.674000,166201,43,36377,2.02,MEMX,12545
DNN,20250717 06:45:38.676000,166202,32,36409,2.02,PACF,12545
DNN,20250717 06:47:42.336000,167400,165,36574,2,PACF,12545
DNN,20250717 06:48:28.834000,168036,60,36634,2.02,PACF,12545
DNN,20250717 06:49:50.650000,169705,1460,38094,2,PACF,12545
DNN,20250717 06:49:50.650000,169706,100,38194,2,MEMX,12545
DNN,20250717 06:49:50.655000,169707,1440,39634,2,PACF,12545
DNN,20250717 06:51:42.572000,171731,10,39644,2.02,PACF,12545
DNN,20250717 06:57:30.183000,177012,2500,42144,2,PACF,12545
DNN,20250717 06:57:30.183000,177013,500,42644,2,EDGX,12545
DNN,20250717 07:00:00.069000,180272,100,42744,2.02,EDGX,12545
DNN,20250717 07:00:00.072000,180293,500,43244,2.02,EDGX,12545
DNN,20250717 07:03:39.464000,190291,100,43344,2,EDGX,12545
DNN,20250717 07:03:57.677000,190927,5000,48344,2.02,PACF,12545
DNN,20250717 07:03:57.678000,190929,2,50506,2.02,NQEX,12545
DNN,20250717 07:03:57.678000,190928,2160,50504,2.02,PACF,12545
DNN,20250717 07:05:05.031000,192737,2000,52506,2.02,PACF,12545
DNN,20250717 07:05:15.406000,192997,250,52756,2.02,PACF,12545
DNN,20250717 07:18:06.456000,204274,90,52846,2.02,EDGX,12545
DNN,20250717 07:20:13.579000,206141,736,53582,2.02,EDGX,12545
DNN,20250717 07:21:02.945000,206758,2,53584,2.02,EDGX,12545
DNN,20250717 07:21:50.273000,207530,100,53684,2.02,MEMX,12545
DNN,20250717 07:21:50.273000,207531,178,53862,2.02,PACF,12545
DNN,20250717 07:21:50.273000,207533,172,54034,2.02,EDGX,12545
DNN,20250717 07:21:50.274000,207534,100,54134,2.02,NQEX,12545
DNN,20250717 07:21:50.278000,207535,100,54234,2.02,PACF,12545
DNN,20250717 07:21:52.548000,207608,1,54235,2.02,PACF,12545
DNN,20250717 07:24:27.579000,212607,998,55235,2,EDGX,12545
DNN,20250717 07:24:27.579000,212606,2,54237,2,EDGX,12545
DNN,20250717 07:24:59.375000,213040,564,55799,2.02,EDGX,12545
DNN,20250717 07:25:15.533000,213233,800,56599,2.02,PACF,12545
DNN,20250717 07:27:12.865000,215324,1,56600,2.02,PACF,12545
DNN,20250717 07:30:17.316000,218022,100,56700,2.02,MEMX,12545
DNN,20250717 07:30:17.316000,218023,666,57366,2.02,PACF,12545
DNN,20250717 07:31:26.084000,219321,28,57394,2,PACF,12545
DNN,20250717 07:33:06.369000,221736,100,57494,2.02,MEMX,12545
DNN,20250717 07:33:06.369000,221737,3200,60694,2.02,MEMX,12545
DNN,20250717 07:33:06.369000,221738,1700,62394,2.02,PACF,12545
DNN,20250717 07:33:39.595000,222223,1832,64226,2.02,PACF,12545
DNN,20250717 07:33:39.595000,222224,100,64326,2.02,PACF,12545
DNN,20250717 07:33:39.595000,222225,1500,65826,2.02,PACF,12545
DNN,20250717 07:33:39.595000,222226,100,65926,2.02,MEMX,12545
DNN,20250717 07:33:39.596000,222228,3500,69428,2.02,PACF,12545
DNN,20250717 07:33:39.596000,222227,2,65928,2.02,NQEX,12545
DNN,20250717 07:33:39.596000,222230,470,72864,2.02,NQEX,12545
DNN,20250717 07:33:39.596000,222229,2966,72394,2.02,PACF,12545
DNN,20250717 07:33:39.604000,222232,100,73064,2.02,PACF,12545
DNN,20250717 07:33:39.604000,222233,500,73564,2.02,PACF,12545
DNN,20250717 07:33:39.604000,222231,100,72964,2.02,PACF,12545
DNN,20250717 07:35:18.904000,223948,1893,75457,2,MEMX,12545
DNN,20250717 07:36:20.366000,224995,500,75957,2.02,PACF,12545
DNN,20250717 07:41:58.444000,229454,335,76292,2.02,PACF,12545
DNN,20250717 07:42:54.415000,230171,500,76792,2.02,PACF,12545
DNN,20250717 07:50:48.635000,239177,100,76892,2.02,PACF,12545
DNN,20250717 07:54:21.496000,242103,100,76992,2.02,PACF,12545
DNN,20250717 08:00:00.076000,248716,5000,81992,2.02,NQNX,12545
DNN,20250717 08:00:00.164000,249699,50,82042,2,NQNX,12545
DNN,20250717 08:00:00.207000,250432,50,82092,2,NQNX,12545
DNN,20250717 08:00:00.256000,250984,2,82094,2.02,NQNX,12545
DNN,20250717 08:00:00.261000,251050,270,82364,2.02,NQNX,12545
DNN,20250717 08:00:00.264000,251077,3,82367,2.02,NQNX,12545
DNN,20250717 08:00:00.285000,251306,1000,83367,2.02,NQNX,12545
DNN,20250717 08:00:00.324000,251806,4500,87867,2,NQNX,12545
DNN,20250717 08:00:00.539000,253098,12,87879,2,NQNX,12545
DNN,20250717 08:00:00.698000,253866,5,87884,2,NQNX,12545
DNN,20250717 08:00:00.712000,253949,10,87894,2,NQNX,12545
DNN,20250717 08:00:00.739000,254090,60,87954,2,NQNX,12545
DNN,20250717 08:00:00.823000,254532,45,87999,2.01,NQNX,12545
DNN,20250717 08:00:00.868000,254873,100,88099,2,NQNX,12545
DNN,20250717 08:00:00.962000,255524,250,88349,2.01,NQNX,12545
DNN,20250717 08:00:00.996000,255812,100,88449,2.01,NQNX,12545
DNN,20250717 08:00:01.027000,256117,2612,91449,2.01,NQNX,12545
DNN,20250717 08:00:01.027000,256116,388,88837,2,NQNX,12545
DNN,20250717 08:00:01.088000,256550,50,91499,2.04,NQNX,12545
DNN,20250717 08:00:01.122000,256799,25,91524,2.01,NQNX,12545
DNN,20250717 08:00:01.178000,257194,10,91534,2.01,NQNX,12545
DNN,20250717 08:00:01.191000,257295,1,91535,2.01,NQNX,12545
DNN,20250717 08:00:01.303000,258027,11,91546,2,NTRF,12545
DNN,20250717 08:00:01.348000,258301,79,91625,2.01,NQNX,12545
