SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
DNN, 20250717 04:00:00.000000,11,1,2.08,2.08,2.08,2.08,5,2.08
DNN, 20250717 04:00:01.000000,40,1,2.06,2.06,2.06,2.06,110,2.06
DNN, 20250717 04:00:03.000000,354,1,2.04,2.04,2.04,2.04,2,2.04
DNN, 20250717 04:00:45.000000,1501,1,2.04,2.04,2.04,2.04,100,2.04
DNN, 20250717 04:02:32.000000,2430,1,2.04,2.04,2.04,2.04,40,2.04
DNN, 20250717 04:03:59.000000,3314,1,2.04,2.04,2.04,2.04,2294,2.04
DNN, 20250717 04:05:51.000000,3469,1,2.04,2.04,2.04,2.04,50,2.04
DNN, 20250717 04:06:16.000000,4010,1,2.04,2.04,2.04,2.04,35,2.04
DNN, 20250717 04:07:54.000000,4864,1,2.04,2.04,2.04,2.04,4,2.04
DNN, 20250717 04:10:32.000000,5360,1,2.04,2.04,2.04,2.04,54,2.04
DNN, 20250717 04:12:23.000000,6154,1,2.04,2.04,2.04,2.04,3,2.04
DNN, 20250717 04:15:30.000000,7051,1,2.04,2.04,2.04,2.04,40,2.04
DNN, 20250717 04:19:05.000000,7064,1,2.04,2.04,2.04,2.04,27,2.04
DNN, 20250717 04:19:09.000000,7151,1,2.04,2.04,2.04,2.04,500,2.04
DNN, 20250717 04:19:29.000000,7546,1,2.04,2.04,2.04,2.04,27,2.04
DNN, 20250717 04:21:14.000000,7731,1,2.04,2.04,2.04,2.04,2934,2.04
DNN, 20250717 04:22:11.000000,8392,1,2.04,2.04,2.04,2.04,10,2.04
DNN, 20250717 04:25:13.000000,8506,1,2.04,2.04,2.04,2.04,55,2.04
DNN, 20250717 04:25:47.000000,8568,1,2.04,2.04,2.04,2.04,400,2.04
DNN, 20250717 04:26:07.000000,8751,1,2.04,2.04,2.04,2.04,1000,2.04
DNN, 20250717 04:27:01.000000,9284,1,2.04,2.04,2.04,2.04,287,2.04
DNN, 20250717 04:29:55.000000,9405,1,2.04,2.04,2.04,2.04,1,2.04
DNN, 20250717 04:30:30.000000,10271,1,2.04,2.04,2.04,2.04,1000,2.04
DNN, 20250717 04:34:37.000000,11116,1,2.04,2.04,2.04,2.04,2,2.04
DNN, 20250717 04:38:52.000000,11364,1,2.04,2.04,2.04,2.04,900,2.04
DNN, 20250717 04:40:04.000000,11373,1,2.04,2.04,2.04,2.04,43,2.04
DNN, 20250717 04:40:07.000000,12244,1,2.04,2.04,2.04,2.04,400,2.04
DNN, 20250717 04:44:21.000000,12625,1,2.04,2.04,2.04,2.04,200,2.04
DNN, 20250717 04:46:10.000000,14060,1,2.04,2.04,2.04,2.04,300,2.04
DNN, 20250717 04:54:05.000000,15396,1,2.04,2.04,2.04,2.04,71,2.04
DNN, 20250717 05:01:54.000000,15406,1,2.04,2.04,2.04,2.04,501,2.04
DNN, 20250717 05:01:59.000000,15442,1,2.02,2.02,2.02,2.02,2,2.02
DNN, 20250717 05:02:14.000000,15881,1,2.02,2.02,2.02,2.02,554,2.02
DNN, 20250717 05:05:00.000000,16770,1,2.04,2.04,2.04,2.04,1,2.04
DNN, 20250717 05:10:17.000000,18833,1,2.02,2.02,2.02,2.02,349,2.02
DNN, 20250717 05:22:50.000000,18956,1,2.02,2.02,2.02,2.02,1150,2.02
DNN, 20250717 05:23:24.000000,20225,1,2.02,2.02,2.02,2.02,1000,2.02
DNN, 20250717 05:30:29.000000,20341,1,2.02,2.02,2.02,2.02,1700,2.02
DNN, 20250717 05:31:07.000000,20992,1,2.02,2.02,2.02,2.02,38,2.02
DNN, 20250717 05:35:08.000000,24136,1,2.02,2.02,2.02,2.02,1162,2.02
DNN, 20250717 05:56:01.000000,24316,1,2.04,2.04,2.04,2.04,34,2.04
DNN, 20250717 05:57:17.000000,24320,1,2.02,2.02,2.02,2.02,3791,2.02
DNN, 20250717 05:57:20.000000,24511,1,2,2,2,2,3323,2
DNN, 20250717 05:58:47.000000,25078,1,2,2,2,2,800,2
DNN, 20250717 06:02:53.000000,25804,1,2,2,2,2,12,2
DNN, 20250717 06:08:11.000000,29112,1,2,2,2,2,500,2
DNN, 20250717 06:33:21.000000,29309,1,2,2,2,2,60,2
DNN, 20250717 06:34:52.000000,29382,1,2,2,2,2,165,2
DNN, 20250717 06:35:29.000000,29747,1,2,2,2,2,300,2
DNN, 20250717 06:38:12.000000,30292,1,2,2,2,2,599,2
DNN, 20250717 06:42:11.000000,30597,1,1.99,1.99,1.99,1.99,800,1.99
DNN, 20250717 06:43:59.000000,30719,1,1.99,1.99,1.99,1.99,200,1.99
DNN, 20250717 06:44:38.000000,30870,1,2,2,2,2,5000,2
DNN, 20250717 06:45:35.000000,30878,1,2,2,2,2,3375,2
DNN, 20250717 06:45:38.000000,31167,1,2.02,2.02,2.02,2.02,75,2.02
DNN, 20250717 06:47:42.000000,31302,1,2,2,2,2,165,2
DNN, 20250717 06:48:28.000000,31510,1,2.02,2.02,2.02,2.02,60,2.02
DNN, 20250717 06:49:50.000000,31774,1,2,2,2,2,3000,2
DNN, 20250717 06:51:42.000000,32694,1,2.02,2.02,2.02,2.02,10,2.02
DNN, 20250717 06:57:30.000000,33127,1,2,2,2,2,3000,2
DNN, 20250717 07:00:00.000000,34104,1,2.02,2.02,2.02,2.02,600,2.02
DNN, 20250717 07:03:39.000000,34160,1,2,2,2,2,100,2
DNN, 20250717 07:03:57.000000,34401,1,2.02,2.02,2.02,2.02,7162,2.02
