SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
F,20250717 04:01:28.000000,0,11.26,11.26,1000,1000,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,11.26,11.26,11.26,11.26,11.26
F,20250717 04:02:33.000000,0,11.26,11.26,41,1041,1041,1041,1041,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.25,11.25,11.26,11.26,11.25,11.26
F,20250717 04:03:12.000000,0,11.26,11.26,1,1042,1042,1042,1042,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,11.25,11.26,11.26,11.25,11.26
F,20250717 04:04:13.000000,0,11.26,11.26,50,1092,1092,1092,1092,0,0.08,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.26,11.27,11.27,11.25,11.27
F,20250717 04:05:40.000000,0,11.26,11.26,7,1099,1099,1099,1099,0,0,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0,0,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.27,11.27,11.27,11.25,11.27
F,20250717 04:07:35.000000,0,11.26,11.26,10,109,1109,1109,1109,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.27,11.28,11.28,11.25,11.28
F,20250717 04:08:11.000000,0,11.26,11.26,24,91,1133,1133,1133,0,0,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,0.08,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,11.28,11.28,11.28,11.28,11.27,11.28
F,20250717 04:12:10.000000,0,11.27,11.26,2,43,1135,1135,1135,0,0,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,0.08,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,11.28,11.28,11.28,11.28,11.27,11.28
F,20250717 04:13:28.000000,0,11.27,11.26,152,154,245,1287,1287,0,0.08,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,-0.08,0,0,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.27,11.28,11.28,11.27,11.28
F,20250717 04:14:01.000000,0,11.27,11.26,5,157,200,1292,1292,0,0.08,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0.08,0,0.08,0,0.08,0.01,0.17,0.01,0.17,0.01,0.17,0.01,0.17,11.27,11.27,11.28,11.28,11.27,11.28
F,20250717 04:15:13.000000,0,11.27,11.26,4,161,197,1296,1296,0,0.08,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,-0.08,0,0,0,0,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.27,11.27,11.28,11.27,11.28
F,20250717 04:17:37.000000,0,11.27,11.26,11,172,198,307,1307,0,0,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,0,0,-0.08,0,0.08,0,0.08,0,0.08,0,0.08,11.27,11.27,11.27,11.27,11.27,11.28
F,20250717 04:19:41.000000,0,11.27,11.26,2411,2431,2585,2676,3718,0,0.08,0,0.08,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,0,0,0,0,0,0,0,0.08,0.01,0.17,0.01,0.17,0.01,0.17,11.27,11.27,11.28,11.28,11.27,11.28
F,20250717 04:20:04.000000,0,11.28,11.27,2717,5139,5300,5336,6435,0.03,0.26,0.04,0.35,0.04,0.35,0.06,0.53,0.06,0.53,0.06,0.53,0,0,0.04,0.35,0.04,0.35,0.04,0.35,0.05,0.44,0.05,0.44,0.05,0.44,11.28,11.28,11.31,11.31,11.27,11.31
F,20250717 04:21:28.000000,0,11.28,11.27,1297,6425,6597,6623,7732,0.03,0.26,0.04,0.35,0.04,0.35,0.06,0.53,0.06,0.53,0.06,0.53,-0.02,-0.17,0,0.08,0.01,0.17,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,11.29,11.28,11.3,11.31,11.27,11.31
F,20250717 04:22:02.000000,0,11.28,11.27,372,6797,6969,6995,8104,0.02,0.17,0.04,0.35,0.04,0.35,0.06,0.53,0.06,0.53,0.06,0.53,0,0,0,0.08,0.01,0.17,0,0.08,0.02,0.26,0.02,0.26,0.02,0.26,11.28,11.28,11.29,11.3,11.27,11.31
F,20250717 04:23:29.000000,0,11.28,11.27,604,4990,7421,7575,8708,0.01,0.17,0.04,0.35,0.04,0.35,0.06,0.53,0.06,0.53,0.06,0.53,0,-0.08,-0.03,-0.26,0,0,0,0,0.01,0.17,0.01,0.17,0.01,0.17,11.27,11.27,11.29,11.29,11.27,11.31
F,20250717 04:24:11.000000,0,11.28,11.27,98,5088,7514,7671,8806,0.01,0.17,0.04,0.35,0.04,0.35,0.06,0.53,0.06,0.53,0.06,0.53,0,-0.08,-0.04,-0.35,0,0,0,0,0,0.08,0,0.08,0,0.08,11.27,11.27,11.28,11.29,11.27,11.31
