SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
F, 20250717 04:00:00.000000,783,1,11.26,11.26,11.26,11.26,1000,11.26
F, 20250717 04:01:27.000000,826,1,11.25,11.25,11.25,11.25,29,11.25
F, 20250717 04:01:30.000000,1057,1,11.25,11.25,11.25,11.25,9,11.25
F, 20250717 04:01:51.000000,1496,1,11.26,11.26,11.26,11.26,3,11.26
F, 20250717 04:02:32.000000,1900,1,11.26,11.26,11.26,11.26,1,11.26
F, 20250717 04:03:11.000000,2052,1,11.27,11.27,11.27,11.27,39,11.27
F, 20250717 04:03:25.000000,2277,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:03:44.000000,2561,1,11.27,11.27,11.27,11.27,10,11.27
F, 20250717 04:04:12.000000,3250,1,11.27,11.27,11.27,11.27,7,11.27
F, 20250717 04:05:39.000000,3893,1,11.28,11.28,11.27,11.27,10,11.28
F, 20250717 04:07:34.000000,3995,1,11.28,11.28,11.28,11.28,5,11.28
F, 20250717 04:07:51.000000,4123,1,11.28,11.28,11.28,11.28,19,11.28
F, 20250717 04:08:10.000000,4186,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:08:20.000000,5291,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:12:09.000000,5371,1,11.28,11.28,11.28,11.28,62,11.28
F, 20250717 04:12:26.000000,5415,1,11.28,11.28,11.28,11.28,88,11.28
F, 20250717 04:12:36.000000,5646,1,11.27,11.27,11.27,11.27,2,11.27
F, 20250717 04:13:27.000000,5678,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:13:33.000000,5759,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:13:52.000000,5789,1,11.28,11.28,11.28,11.28,3,11.28
F, 20250717 04:14:00.000000,5792,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 04:14:01.000000,6075,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:15:12.000000,6194,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:15:39.000000,6697,1,11.27,11.27,11.27,11.27,10,11.27
F, 20250717 04:17:36.000000,6743,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 04:17:47.000000,6793,1,11.27,11.27,11.27,11.27,2398,11.27
F, 20250717 04:17:58.000000,7205,1,11.28,11.28,11.28,11.28,9,11.28
F, 20250717 04:19:40.000000,7220,1,11.28,11.3,11.28,11.3,2716,11.3
F, 20250717 04:19:45.000000,7279,1,11.31,11.31,11.31,11.31,1,11.31
F, 20250717 04:20:03.000000,7497,1,11.3,11.3,11.3,11.3,1292,11.3
F, 20250717 04:20:59.000000,7595,1,11.29,11.29,11.29,11.29,5,11.29
F, 20250717 04:21:27.000000,7620,1,11.29,11.29,11.29,11.29,2,11.29
F, 20250717 04:21:37.000000,7668,1,11.28,11.28,11.28,11.28,2,11.28
F, 20250717 04:21:51.000000,7681,1,11.29,11.29,11.29,11.29,2,11.29
F, 20250717 04:21:57.000000,7684,1,11.29,11.29,11.28,11.28,3,11.28
F, 20250717 04:21:58.000000,7689,1,11.29,11.29,11.29,11.29,4,11.29
F, 20250717 04:21:59.000000,7695,1,11.29,11.29,11.29,11.29,359,11.29
F, 20250717 04:22:01.000000,7747,1,11.29,11.29,11.27,11.27,564,11.29
F, 20250717 04:22:14.000000,7801,1,11.28,11.28,11.28,11.28,34,11.28
F, 20250717 04:22:28.000000,7873,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:22:49.000000,8002,1,11.28,11.28,11.28,11.28,5,11.28
F, 20250717 04:23:28.000000,8010,1,11.28,11.28,11.28,11.28,80,11.28
F, 20250717 04:23:32.000000,8082,1,11.28,11.28,11.28,11.28,4,11.28
F, 20250717 04:23:50.000000,8108,1,11.28,11.28,11.28,11.28,10,11.28
F, 20250717 04:23:56.000000,8151,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 04:24:10.000000,8336,1,11.28,11.28,11.28,11.28,200,11.28
F, 20250717 04:24:58.000000,8535,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:25:56.000000,8547,1,11.28,11.28,11.28,11.28,2,11.28
F, 20250717 04:25:59.000000,8688,1,11.28,11.28,11.28,11.28,20,11.28
F, 20250717 04:26:44.000000,8792,1,11.28,11.28,11.28,11.28,20,11.28
F, 20250717 04:27:14.000000,8804,1,11.28,11.28,11.28,11.28,4,11.28
F, 20250717 04:27:18.000000,8813,1,11.27,11.27,11.27,11.27,14,11.27
F, 20250717 04:27:20.000000,8999,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:28:22.000000,9049,1,11.27,11.27,11.27,11.27,100,11.27
F, 20250717 04:28:38.000000,9311,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:30:01.000000,9637,1,11.27,11.27,11.27,11.27,15,11.27
F, 20250717 04:31:28.000000,9968,1,11.27,11.27,11.27,11.27,6,11.27
F, 20250717 04:33:05.000000,9981,1,11.28,11.28,11.28,11.28,3,11.28
F, 20250717 04:33:10.000000,9987,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 04:33:12.000000,10127,1,11.27,11.28,11.27,11.28,31,11.27
F, 20250717 04:33:55.000000,10891,1,11.28,11.28,11.28,11.28,132,11.28
F, 20250717 04:37:46.000000,11104,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:38:48.000000,11143,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:39:00.000000,11148,1,11.28,11.28,11.28,11.28,50,11.28
F, 20250717 04:39:02.000000,11187,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 04:39:14.000000,11564,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:40:56.000000,12715,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 04:46:32.000000,13343,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 04:49:51.000000,13767,1,11.28,11.28,11.28,11.28,47,11.28
F, 20250717 04:52:22.000000,13857,1,11.27,11.27,11.27,11.27,140,11.27
F, 20250717 04:52:53.000000,13862,1,11.27,11.27,11.27,11.27,200,11.27
F, 20250717 04:52:55.000000,13896,1,11.27,11.27,11.27,11.27,1028,11.27
F, 20250717 04:53:07.000000,14094,1,11.28,11.28,11.28,11.28,5,11.28
F, 20250717 04:54:16.000000,14193,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 04:54:50.000000,14558,1,11.28,11.28,11.28,11.28,10,11.28
F, 20250717 04:57:04.000000,14584,1,11.28,11.28,11.28,11.28,63,11.28
F, 20250717 04:57:11.000000,15489,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:02:32.000000,16013,1,11.28,11.28,11.28,11.28,5,11.28
F, 20250717 05:05:40.000000,16077,1,11.28,11.28,11.28,11.28,20,11.28
F, 20250717 05:06:03.000000,16379,1,11.28,11.28,11.28,11.28,3,11.28
F, 20250717 05:08:01.000000,16431,1,11.28,11.28,11.28,11.28,5,11.28
F, 20250717 05:08:16.000000,17495,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:14:47.000000,17622,1,11.28,11.28,11.28,11.28,3,11.28
F, 20250717 05:15:34.000000,17774,1,11.28,11.28,11.28,11.28,6,11.28
F, 20250717 05:16:30.000000,17945,1,11.28,11.28,11.28,11.28,2,11.28
F, 20250717 05:17:28.000000,17975,1,11.28,11.28,11.28,11.28,4,11.28
F, 20250717 05:17:39.000000,18057,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 05:18:07.000000,18413,1,11.28,11.28,11.28,11.28,10,11.28
F, 20250717 05:20:10.000000,18462,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:20:28.000000,18486,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:20:37.000000,18496,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:20:43.000000,18522,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:20:49.000000,18644,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:21:39.000000,18758,1,11.28,11.28,11.28,11.28,3,11.28
F, 20250717 05:22:20.000000,19063,1,11.27,11.27,11.27,11.27,5,11.27
F, 20250717 05:23:55.000000,19084,1,11.28,11.28,11.28,11.28,1,11.28
F, 20250717 05:24:02.000000,19442,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 05:25:57.000000,19486,1,11.28,11.28,11.28,11.28,10,11.28
F, 20250717 05:26:11.000000,19555,1,11.28,11.28,11.28,11.28,4,11.28
F, 20250717 05:26:36.000000,19728,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:27:43.000000,20151,1,11.28,11.28,11.28,11.28,10,11.28
F, 20250717 05:29:58.000000,20518,1,11.27,11.27,11.26,11.26,482,11.27
F, 20250717 05:32:13.000000,20629,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 05:32:58.000000,20810,1,11.27,11.27,11.27,11.27,32,11.27
F, 20250717 05:34:09.000000,20948,1,11.27,11.27,11.27,11.27,6,11.27
F, 20250717 05:34:54.000000,20995,1,11.27,11.27,11.27,11.27,7,11.27
F, 20250717 05:35:08.000000,21382,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 05:37:44.000000,21424,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:38:02.000000,21425,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:38:03.000000,21439,1,11.27,11.27,11.27,11.27,129,11.27
F, 20250717 05:38:11.000000,21468,1,11.26,11.26,11.26,11.26,4,11.26
F, 20250717 05:38:27.000000,21535,1,11.27,11.27,11.27,11.27,58,11.27
F, 20250717 05:38:57.000000,21929,1,11.27,11.27,11.27,11.27,8,11.27
F, 20250717 05:41:24.000000,21953,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:41:32.000000,22121,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:42:29.000000,22241,1,11.27,11.27,11.27,11.27,249,11.27
F, 20250717 05:43:27.000000,22701,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 05:46:41.000000,23052,1,11.26,11.26,11.26,11.26,4,11.26
F, 20250717 05:48:56.000000,23145,1,11.26,11.26,11.26,11.26,10,11.26
F, 20250717 05:49:34.000000,23318,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 05:50:43.000000,23784,1,11.27,11.27,11.27,11.27,30,11.27
F, 20250717 05:53:42.000000,23927,1,11.26,11.26,11.26,11.26,1,11.26
F, 20250717 05:54:41.000000,24467,1,11.27,11.27,11.27,11.27,155,11.27
F, 20250717 05:58:27.000000,25291,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:04:34.000000,25308,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 06:04:39.000000,25574,1,11.26,11.26,11.26,11.26,3,11.26
F, 20250717 06:06:37.000000,25579,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 06:06:39.000000,25591,1,11.26,11.26,11.26,11.26,3,11.26
F, 20250717 06:06:47.000000,25604,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:06:50.000000,25724,1,11.26,11.26,11.26,11.26,1,11.26
F, 20250717 06:07:34.000000,25950,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:09:25.000000,26156,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:11:05.000000,26178,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:11:18.000000,26244,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:11:49.000000,26303,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:12:10.000000,26321,1,11.27,11.27,11.27,11.27,5,11.27
F, 20250717 06:12:19.000000,26344,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:12:32.000000,26427,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:13:13.000000,26573,1,11.27,11.27,11.27,11.27,39,11.27
F, 20250717 06:14:29.000000,26596,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:14:38.000000,27092,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 06:18:24.000000,27105,1,11.27,11.27,11.27,11.27,4,11.27
F, 20250717 06:18:28.000000,27126,1,11.26,11.26,11.26,11.26,4,11.26
F, 20250717 06:18:39.000000,27132,1,11.27,11.27,11.27,11.27,2,11.27
F, 20250717 06:18:41.000000,27141,1,11.27,11.27,11.27,11.27,2,11.27
F, 20250717 06:18:44.000000,27149,1,11.26,11.26,11.26,11.26,2,11.26
F, 20250717 06:18:48.000000,27202,1,11.27,11.27,11.27,11.27,2,11.27
F, 20250717 06:19:16.000000,27315,1,11.26,11.26,11.26,11.26,2,11.26
F, 20250717 06:20:07.000000,27376,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:20:36.000000,27570,1,11.27,11.27,11.27,11.27,7,11.27
F, 20250717 06:22:05.000000,28086,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:26:06.000000,28109,1,11.27,11.27,11.27,11.27,40,11.27
F, 20250717 06:26:18.000000,28116,1,11.27,11.27,11.27,11.27,5,11.27
F, 20250717 06:26:22.000000,28196,1,11.27,11.27,11.27,11.27,9,11.27
F, 20250717 06:27:03.000000,28572,1,11.26,11.26,11.26,11.26,3,11.26
F, 20250717 06:29:39.000000,29497,1,11.27,11.27,11.27,11.27,3,11.27
F, 20250717 06:36:25.000000,29759,1,11.27,11.27,11.27,11.27,50,11.27
F, 20250717 06:38:20.000000,29770,1,11.27,11.27,11.27,11.27,5,11.27
F, 20250717 06:38:26.000000,30056,1,11.27,11.27,11.27,11.27,10,11.27
F, 20250717 06:40:32.000000,30594,1,11.26,11.26,11.26,11.26,2,11.26
F, 20250717 06:43:59.000000,31185,1,11.26,11.26,11.26,11.26,5,11.26
F, 20250717 06:47:50.000000,31658,1,11.26,11.26,11.26,11.26,32,11.26
F, 20250717 06:50:52.000000,32213,1,11.26,11.26,11.26,11.26,3,11.26
F, 20250717 06:54:25.000000,32589,1,11.27,11.27,11.27,11.27,40,11.27
F, 20250717 06:56:59.000000,32967,1,11.27,11.27,11.27,11.27,1,11.27
F, 20250717 06:59:14.000000,33044,1,11.26,11.26,11.26,11.26,1304,11.26
F, 20250717 06:59:41.000000,33117,1,11.26,11.26,11.26,11.26,1,11.26
F, 20250717 07:00:00.000000,33293,1,11.25,11.26,11.25,11.25,2764,11.25
F, 20250717 07:00:23.000000,33351,1,11.24,11.24,11.23,11.23,4929,11.24
F, 20250717 07:00:38.000000,33370,1,11.24,11.24,11.24,11.24,1,11.24
F, 20250717 07:00:40.000000,33510,1,11.23,11.23,11.23,11.23,45,11.23
F, 20250717 07:01:08.000000,33531,1,11.23,11.23,11.23,11.23,5,11.23
F, 20250717 07:01:12.000000,33542,1,11.23,11.23,11.23,11.23,248,11.23
F, 20250717 07:01:14.000000,33558,1,11.23,11.23,11.23,11.23,100,11.23
F, 20250717 07:01:17.000000,34390,1,11.23,11.23,11.23,11.23,311,11.23
F, 20250717 07:05:03.000000,34480,1,11.22,11.22,11.21,11.21,2777,11.22
F, 20250717 07:05:23.000000,34955,1,11.21,11.21,11.21,11.21,154,11.21
F, 20250717 07:07:51.000000,35668,1,11.22,11.22,11.22,11.22,4,11.22
F, 20250717 07:11:42.000000,35775,1,11.22,11.22,11.22,11.22,21,11.22
F, 20250717 07:12:12.000000,36180,1,11.21,11.21,11.21,11.21,1,11.21
F, 20250717 07:14:25.000000,36218,1,11.22,11.22,11.22,11.22,1,11.22
F, 20250717 07:14:39.000000,37063,1,11.22,11.22,11.22,11.22,100,11.22
F, 20250717 07:19:11.000000,37267,1,11.22,11.22,11.22,11.22,5,11.22
F, 20250717 07:20:18.000000,37283,1,11.22,11.22,11.22,11.22,200,11.22
F, 20250717 07:20:24.000000,37757,1,11.21,11.21,11.21,11.21,200,11.21
F, 20250717 07:23:09.000000,37982,1,11.21,11.21,11.21,11.21,400,11.21
F, 20250717 07:24:34.000000,38682,1,11.21,11.21,11.21,11.21,124,11.21
F, 20250717 07:28:36.000000,39192,1,11.22,11.22,11.22,11.22,1,11.22
F, 20250717 07:31:40.000000,39285,1,11.22,11.22,11.22,11.22,772,11.22
F, 20250717 07:32:06.000000,39827,1,11.22,11.22,11.22,11.22,50,11.22
F, 20250717 07:35:18.000000,40724,1,11.22,11.22,11.22,11.22,15,11.22
F, 20250717 07:40:16.000000,40842,1,11.23,11.23,11.23,11.23,30,11.23
F, 20250717 07:41:00.000000,40939,1,11.23,11.23,11.23,11.23,30,11.23
F, 20250717 07:41:47.000000,40950,1,11.22,11.22,11.2,11.2,16060,11.21
F, 20250717 07:41:50.000000,40954,1,11.2,11.2,11.2,11.2,28,11.2
F, 20250717 07:41:51.000000,41107,1,11.2,11.2,11.2,11.2,6691,11.2
F, 20250717 07:42:47.000000,41157,1,11.2,11.2,11.2,11.2,2,11.2
F, 20250717 07:43:08.000000,41190,1,11.2,11.2,11.2,11.2,1,11.2
F, 20250717 07:43:20.000000,41236,1,11.2,11.2,11.2,11.2,300,11.2
F, 20250717 07:43:40.000000,41829,1,11.2,11.2,11.2,11.2,3,11.2
F, 20250717 07:47:02.000000,41844,1,11.19,11.19,11.18,11.18,12071,11.18
F, 20250717 07:47:06.000000,41851,1,11.17,11.17,11.17,11.17,1,11.17
F, 20250717 07:47:07.000000,42221,1,11.17,11.17,11.17,11.17,119,11.17
F, 20250717 07:49:12.000000,42296,1,11.18,11.18,11.18,11.18,2,11.18
F, 20250717 07:49:38.000000,42548,1,11.18,11.18,11.18,11.18,10,11.18
F, 20250717 07:51:05.000000,42581,1,11.18,11.18,11.18,11.18,7,11.18
F, 20250717 07:51:16.000000,42641,1,11.18,11.18,11.18,11.18,5,11.18
F, 20250717 07:51:38.000000,43743,1,11.18,11.18,11.18,11.18,1,11.18
F, 20250717 07:58:28.000000,44029,1,11.18,11.18,11.18,11.18,100,11.18
F, 20250717 08:00:00.000000,44057,1,11.22,11.22,11.17,11.21,26601,11.2
F, 20250717 08:00:01.000000,44098,1,11.21,11.22,11.17,11.17,64552,11.19
F, 20250717 08:00:02.000000,44130,1,11.21,11.22,11.17,11.17,17488,11.19
F, 20250717 08:00:03.000000,44190,1,11.18,11.22,11.17,11.17,28254,11.17
F, 20250717 08:00:04.000000,44224,1,11.21,11.21,11.21,11.21,2,11.21
F, 20250717 08:00:05.000000,44252,1,11.17,11.22,11.17,11.2,172,11.2
F, 20250717 08:00:06.000000,44281,1,11.18,11.22,11.18,11.22,162,11.19
F, 20250717 08:00:07.000000,44325,1,11.18,11.18,11.17,11.17,46,11.17
F, 20250717 08:00:08.000000,44339,1,11.22,11.22,11.17,11.22,26053,11.19
F, 20250717 08:00:09.000000,44537,1,11.2,11.22,11.17,11.17,44694,11.17
F, 20250717 08:00:15.000000,44542,1,11.21,11.21,11.21,11.21,2,11.21
F, 20250717 08:00:16.000000,44657,1,11.21,11.21,11.21,11.21,5,11.21
F, 20250717 08:00:19.000000,44723,1,11.19,11.19,11.19,11.19,2,11.19
F, 20250717 08:00:22.000000,44758,1,11.22,11.22,11.21,11.21,53,11.22
