SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
FOXO,20250717 04:01:02.000000,0,0.13,0.13,7377,7377,7377,7377,7377,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.14,0.14,0.13,0.14
FOXO,20250717 04:02:28.000000,0,0.13,0.13,1649,9026,9026,9026,9026,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.14,0.13,0.14
FOXO,20250717 04:03:14.000000,0,0.13,0.13,2043,11069,11069,11069,11069,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.14
FOXO,20250717 04:04:02.000000,0,0.13,0.13,6859,17928,17928,17928,17928,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.14
FOXO,20250717 04:05:27.000000,0,0.13,0.13,9726,27654,27654,27654,27654,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.14
FOXO,20250717 04:06:18.000000,0,0.13,0.13,15403,35680,43057,43057,43057,0,0,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13
FOXO,20250717 04:07:12.000000,0,0.13,0.13,2385,36416,45442,45442,45442,0,0,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13
FOXO,20250717 04:08:10.000000,0,0.13,0.13,281,34654,45723,45723,45723,0,0,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13
FOXO,20250717 04:09:08.000000,0,0.13,0.13,9,27804,45732,45732,45732,0,0,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13
FOXO,20250717 04:10:12.000000,0,0.13,0.13,600,18678,46332,46332,46332,0,0,0,0,0.01,7.69,0.01,7.69,0.01,7.69,0.01,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.13,0.13,0.13,0.13,0.13
