SymbolId,CurrentTime,Index,Bid,BidSize,Ask,AskSize,BidCondition,AskCondition,BidExchange,AskExchange
FOXO,20250717 04:00:04.640000,0,0.14,42,0.14,1,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:00:04.640000,0,0.14,42,0.14,1,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:00:05.593000,0,0.14,42,0.14,1,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:00:06.525000,0,0.13,1,0.14,67,REGULAR,REGULAR,EDGX,10247
FOXO,20250717 04:00:13.273000,0,0.13,1,0.14,17,REGULAR,REGULAR,EDGX,10241
FOXO,20250717 04:00:20.559000,0,0.13,1,0.14,17,REGULAR,REGULAR,EDGX,10241
FOXO,20250717 04:00:29.017000,0,0.13,16,0.14,17,REGULAR,REGULAR,EDGX,10241
FOXO,20250717 04:00:48.859000,0,0.13,16,0.14,17,REGULAR,REGULAR,EDGX,10241
FOXO,20250717 04:00:50.765000,0,0.13,16,0.13,46,REGULAR,REGULAR,EDGX,10247
FOXO,20250717 04:00:53.235000,0,0.13,16,0.13,46,REGULAR,REGULAR,EDGX,10247
FOXO,20250717 04:00:55.387000,0,0.13,16,0.13,46,REGULAR,REGULAR,EDGX,10247
FOXO,20250717 04:01:01.396000,0,0.13,1,0.14,17,REGULAR,REGULAR,EDGX,10241
FOXO,20250717 04:01:25.270000,0,0.13,1,0.13,45,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:27.556000,0,0.13,10,0.13,139,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:02:27.557000,0,0.13,1,0.13,139,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:02:30.101000,0,0.13,1,0.13,139,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:02:47.693000,0,0.13,64,0.13,139,REGULAR,REGULAR,EDGX,10305
FOXO,20250717 04:03:13.808000,0,0.13,64,0.13,39,REGULAR,REGULAR,EDGX,10247
FOXO,20250717 04:03:37.746000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:37.746000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:39.389000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:43.329000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:43.345000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:52.204000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:52.264000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:56.302000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:03:59.429000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:01.332000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:03.284000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:04.289000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:14.189000,0,0.13,100,0.13,39,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:17.328000,0,0.13,100,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:25.227000,0,0.13,100,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:25.261000,0,0.13,5,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:26.311000,0,0.13,5,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:33.817000,0,0.13,5,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:35.265000,0,0.13,5,0.13,49,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:41.269000,0,0.13,5,0.13,189,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:42.424000,0,0.13,5,0.13,189,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:49.980000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:49.980000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:49.982000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:04:49.982000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:26.408000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:26.855000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:27.340000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:27.833000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:28.350000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:28.877000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:29.670000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:30.200000,0,0.13,5,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:30.720000,0,0.13,50,0.13,1,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:30.720000,0,0.13,50,0.13,1,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:30.720000,0,0.13,50,0.13,1,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:31.072000,0,0.13,50,0.13,1,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:31.728000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:36.300000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:36.300000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:36.811000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:38.158000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:53.071000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:05:55.171000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:06:17.349000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:06:44.167000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:06:44.167000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:06:53.727000,0,0.13,50,0.13,149,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:07:11.199000,0,0.13,50,0.13,1,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:08:09.220000,0,0.13,50,0.13,7,REGULAR,REGULAR,PACF,10247
FOXO,20250717 04:08:13.592000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:08:21.700000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:09:07.605000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:09:32.036000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:11.714000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:12.313000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:12.313000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:14.047000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:15.350000,0,0.13,50,0.13,39,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:10:45.668000,0,0.13,50,0.13,40,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:11:19.292000,0,0.13,50,0.13,40,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:11:39.067000,0,0.13,50,0.13,40,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:15:08.445000,0,0.13,3,0.13,40,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:16:06.216000,0,0.13,10,0.13,40,REGULAR,REGULAR,PACF,10305
FOXO,20250717 04:16:06.216000,0,0.13,10,0.13,40,REGULAR,REGULAR,PACF,10305
