SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
FOXO,20250717 04:00:04.640000,1244,768,1968,0.14,PACF,12545
FOXO,20250717 04:00:04.640000,1243,1200,1200,0.14,PACF,12545
FOXO,20250717 04:00:05.593000,1279,10,1978,0.14,EDGX,12545
FOXO,20250717 04:00:06.525000,1375,4232,6210,0.14,PACF,12545
FOXO,20250717 04:00:13.273000,2103,281,6491,0.14,NQEX,12545
FOXO,20250717 04:00:20.559000,2825,837,7328,0.13,NQEX,12545
FOXO,20250717 04:00:29.017000,3354,10,7338,0.13,NQEX,12545
FOXO,20250717 04:00:48.859000,4374,20,7358,0.13,NQEX,12545
FOXO,20250717 04:00:50.765000,4534,1,7359,0.13,PACF,12545
FOXO,20250717 04:00:53.235000,4688,10,7369,0.13,EDGX,12545
FOXO,20250717 04:00:55.387000,4756,8,7377,0.13,PACF,12545
FOXO,20250717 04:01:01.396000,5073,1500,8877,0.13,EDGX,12545
FOXO,20250717 04:01:25.270000,7166,149,9026,0.13,EDGX,12545
FOXO,20250717 04:02:27.556000,11914,100,9126,0.13,EDGX,12545
FOXO,20250717 04:02:27.557000,11915,900,10026,0.13,PACF,12545
FOXO,20250717 04:02:30.101000,12093,43,10069,0.13,EDGX,12545
FOXO,20250717 04:02:47.693000,13483,768,11069,0.13,EDGX,12545
FOXO,20250717 04:02:47.693000,13482,1,10301,0.13,PACF,12545
FOXO,20250717 04:02:47.693000,13481,100,10300,0.13,PACF,12545
FOXO,20250717 04:02:47.693000,13480,6,10200,0.13,PACF,12545
FOXO,20250717 04:02:47.693000,13479,25,10194,0.13,PACF,12545
FOXO,20250717 04:02:47.693000,13478,100,10169,0.13,PACF,12545
FOXO,20250717 04:03:13.808000,15279,180,11249,0.13,PACF,12545
FOXO,20250717 04:03:37.746000,17359,3800,16249,0.13,PACF,12545
FOXO,20250717 04:03:37.746000,17358,1200,12449,0.13,PACF,12545
FOXO,20250717 04:03:39.389000,17443,403,16652,0.13,PACF,12545
FOXO,20250717 04:03:43.329000,17683,100,16752,0.13,PACF,12545
FOXO,20250717 04:03:43.345000,17689,200,16952,0.13,PACF,12545
FOXO,20250717 04:03:52.204000,18504,58,17010,0.13,PACF,12545
FOXO,20250717 04:03:52.264000,18520,500,17510,0.13,PACF,12545
FOXO,20250717 04:03:56.302000,18762,18,17528,0.13,PACF,12545
FOXO,20250717 04:03:59.429000,18987,400,17928,0.13,PACF,12545
FOXO,20250717 04:04:01.332000,19103,42,17970,0.13,PACF,12545
FOXO,20250717 04:04:03.284000,19224,1,17971,0.13,PACF,12545
FOXO,20250717 04:04:04.289000,19332,35,18006,0.13,PACF,12545
FOXO,20250717 04:04:14.189000,20078,100,18106,0.13,PACF,12545
FOXO,20250717 04:04:17.328000,20411,1,18107,0.13,PACF,12545
FOXO,20250717 04:04:25.227000,20934,141,18248,0.13,PACF,12545
FOXO,20250717 04:04:25.261000,20941,500,18748,0.13,PACF,12545
FOXO,20250717 04:04:26.311000,20998,1,18749,0.13,PACF,12545
FOXO,20250717 04:04:33.817000,21432,496,19245,0.13,PACF,12545
FOXO,20250717 04:04:35.265000,21498,55,19300,0.13,PACF,12545
FOXO,20250717 04:04:41.269000,21946,500,19800,0.13,PACF,12545
FOXO,20250717 04:04:42.424000,22135,1000,20800,0.13,PACF,12545
FOXO,20250717 04:04:49.980000,22467,1757,22557,0.13,EDGX,12545
FOXO,20250717 04:04:49.980000,22468,902,23459,0.13,EDGX,12545
FOXO,20250717 04:04:49.982000,22470,847,27654,0.13,PACF,12545
FOXO,20250717 04:04:49.982000,22469,3348,26807,0.13,PACF,12545
FOXO,20250717 04:05:26.408000,23939,1000,28654,0.13,PACF,12545
FOXO,20250717 04:05:26.855000,23955,1000,29654,0.13,PACF,12545
FOXO,20250717 04:05:27.340000,23992,1000,30654,0.13,PACF,12545
FOXO,20250717 04:05:27.833000,23998,1000,31654,0.13,PACF,12545
FOXO,20250717 04:05:28.350000,24004,1000,32654,0.13,PACF,12545
FOXO,20250717 04:05:28.877000,24031,1000,33654,0.13,PACF,12545
FOXO,20250717 04:05:29.670000,24066,1000,34654,0.13,PACF,12545
FOXO,20250717 04:05:30.200000,24083,1000,35654,0.13,PACF,12545
FOXO,20250717 04:05:30.720000,24101,500,37354,0.13,PACF,12545
FOXO,20250717 04:05:30.720000,24102,701,38055,0.13,PACF,12545
FOXO,20250717 04:05:30.720000,24100,1200,36854,0.13,PACF,12545
FOXO,20250717 04:05:31.072000,24111,1000,39055,0.13,PACF,12545
FOXO,20250717 04:05:31.728000,24124,1000,40055,0.13,PACF,12545
