SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
FOXO, 20250717 04:00:04.000000,56,1,0.14,0.14,0.14,0.14,1968,0.14
FOXO, 20250717 04:00:05.000000,65,1,0.14,0.14,0.14,0.14,10,0.14
FOXO, 20250717 04:00:06.000000,117,1,0.14,0.14,0.14,0.14,4232,0.14
FOXO, 20250717 04:00:13.000000,166,1,0.14,0.14,0.14,0.14,281,0.14
FOXO, 20250717 04:00:20.000000,228,1,0.13,0.13,0.13,0.13,837,0.13
FOXO, 20250717 04:00:29.000000,385,1,0.13,0.13,0.13,0.13,10,0.13
FOXO, 20250717 04:00:48.000000,398,1,0.13,0.13,0.13,0.13,20,0.13
FOXO, 20250717 04:00:50.000000,418,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:00:53.000000,436,1,0.13,0.13,0.13,0.13,10,0.13
FOXO, 20250717 04:00:55.000000,487,1,0.13,0.13,0.13,0.13,8,0.13
FOXO, 20250717 04:01:01.000000,759,1,0.13,0.13,0.13,0.13,1500,0.13
FOXO, 20250717 04:01:25.000000,1444,1,0.13,0.13,0.13,0.13,149,0.13
FOXO, 20250717 04:02:27.000000,1467,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:02:30.000000,1667,1,0.13,0.13,0.13,0.13,43,0.13
FOXO, 20250717 04:02:47.000000,1926,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:03:13.000000,2197,1,0.13,0.13,0.13,0.13,180,0.13
FOXO, 20250717 04:03:37.000000,2218,1,0.13,0.13,0.13,0.13,5000,0.13
FOXO, 20250717 04:03:39.000000,2264,1,0.13,0.13,0.13,0.13,403,0.13
FOXO, 20250717 04:03:43.000000,2356,1,0.13,0.13,0.13,0.13,300,0.13
FOXO, 20250717 04:03:52.000000,2399,1,0.13,0.13,0.13,0.13,558,0.13
FOXO, 20250717 04:03:56.000000,2434,1,0.13,0.13,0.13,0.13,18,0.13
FOXO, 20250717 04:03:59.000000,2456,1,0.13,0.13,0.13,0.13,400,0.13
FOXO, 20250717 04:04:01.000000,2467,1,0.13,0.13,0.13,0.13,42,0.13
FOXO, 20250717 04:04:03.000000,2479,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:04:04.000000,2580,1,0.13,0.13,0.13,0.13,35,0.13
FOXO, 20250717 04:04:14.000000,2607,1,0.13,0.13,0.13,0.13,100,0.13
FOXO, 20250717 04:04:17.000000,2676,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:04:25.000000,2689,1,0.13,0.13,0.13,0.13,641,0.13
FOXO, 20250717 04:04:26.000000,2768,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:04:33.000000,2786,1,0.13,0.13,0.13,0.13,496,0.13
FOXO, 20250717 04:04:35.000000,2853,1,0.13,0.13,0.13,0.13,55,0.13
FOXO, 20250717 04:04:41.000000,2871,1,0.13,0.13,0.13,0.13,500,0.13
FOXO, 20250717 04:04:42.000000,2932,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:04:49.000000,3163,1,0.13,0.13,0.13,0.13,6854,0.13
FOXO, 20250717 04:05:26.000000,3170,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:05:27.000000,3173,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:05:28.000000,3183,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:05:29.000000,3184,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:05:30.000000,3193,1,0.13,0.13,0.13,0.13,3401,0.13
FOXO, 20250717 04:05:31.000000,3227,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:05:36.000000,3241,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:05:38.000000,3324,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:05:53.000000,3336,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:05:55.000000,3476,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:06:17.000000,3622,1,0.13,0.13,0.13,0.13,572,0.13
FOXO, 20250717 04:06:44.000000,3658,1,0.13,0.13,0.13,0.13,1242,0.13
FOXO, 20250717 04:06:53.000000,3749,1,0.13,0.13,0.13,0.13,571,0.13
FOXO, 20250717 04:07:11.000000,4112,1,0.13,0.13,0.13,0.13,281,0.13
FOXO, 20250717 04:08:09.000000,4147,1,0.13,0.13,0.13,0.13,7,0.13
FOXO, 20250717 04:08:13.000000,4195,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:08:21.000000,4439,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:09:07.000000,4556,1,0.13,0.13,0.13,0.13,300,0.13
FOXO, 20250717 04:09:32.000000,4761,1,0.13,0.13,0.13,0.13,300,0.13
FOXO, 20250717 04:10:11.000000,4766,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:10:12.000000,4771,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:10:14.000000,4781,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:10:15.000000,4917,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:10:45.000000,5065,1,0.13,0.13,0.13,0.13,2183,0.13
FOXO, 20250717 04:11:19.000000,5157,1,0.13,0.13,0.13,0.13,50,0.13
FOXO, 20250717 04:11:39.000000,6061,1,0.13,0.13,0.13,0.13,20,0.13
FOXO, 20250717 04:15:08.000000,6302,1,0.13,0.13,0.13,0.13,1534,0.13
FOXO, 20250717 04:16:06.000000,6541,1,0.13,0.13,0.13,0.13,2000,0.13
FOXO, 20250717 04:17:02.000000,6617,1,0.13,0.13,0.13,0.13,10,0.13
FOXO, 20250717 04:17:18.000000,7188,1,0.13,0.13,0.13,0.13,36,0.13
FOXO, 20250717 04:19:38.000000,7284,1,0.13,0.13,0.13,0.13,50,0.13
FOXO, 20250717 04:20:05.000000,7377,1,0.13,0.13,0.13,0.13,203,0.13
FOXO, 20250717 04:20:28.000000,7539,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:21:13.000000,7559,1,0.13,0.13,0.13,0.13,5,0.13
FOXO, 20250717 04:21:18.000000,7861,1,0.13,0.13,0.13,0.13,500,0.13
FOXO, 20250717 04:22:45.000000,8046,1,0.13,0.13,0.13,0.13,8,0.13
FOXO, 20250717 04:23:40.000000,8083,1,0.13,0.13,0.13,0.13,43,0.13
FOXO, 20250717 04:23:50.000000,8509,1,0.13,0.13,0.13,0.13,302,0.13
FOXO, 20250717 04:25:50.000000,8764,1,0.13,0.13,0.13,0.13,3000,0.13
FOXO, 20250717 04:27:05.000000,8821,1,0.13,0.13,0.13,0.13,500,0.13
FOXO, 20250717 04:27:23.000000,8862,1,0.13,0.13,0.13,0.13,61,0.13
FOXO, 20250717 04:27:36.000000,9009,1,0.13,0.13,0.13,0.13,100,0.13
FOXO, 20250717 04:28:25.000000,9084,1,0.13,0.13,0.13,0.13,2,0.13
FOXO, 20250717 04:28:51.000000,9138,1,0.13,0.13,0.13,0.13,17,0.13
FOXO, 20250717 04:29:08.000000,9544,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:31:04.000000,9569,1,0.13,0.13,0.13,0.13,5330,0.13
FOXO, 20250717 04:31:10.000000,9575,1,0.13,0.13,0.13,0.13,150,0.13
FOXO, 20250717 04:31:11.000000,9629,1,0.13,0.13,0.13,0.13,650,0.13
FOXO, 20250717 04:31:27.000000,9808,1,0.13,0.13,0.13,0.13,20,0.13
FOXO, 20250717 04:32:14.000000,9931,1,0.13,0.13,0.13,0.13,100,0.13
FOXO, 20250717 04:32:54.000000,10017,1,0.13,0.13,0.13,0.13,1000,0.13
FOXO, 20250717 04:33:21.000000,10544,1,0.13,0.13,0.13,0.13,100,0.13
FOXO, 20250717 04:35:58.000000,10781,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:37:10.000000,11149,1,0.13,0.13,0.13,0.13,6611,0.13
FOXO, 20250717 04:39:02.000000,11256,1,0.13,0.13,0.13,0.13,500,0.13
FOXO, 20250717 04:39:34.000000,11318,1,0.13,0.13,0.13,0.13,10,0.13
FOXO, 20250717 04:39:52.000000,11352,1,0.13,0.13,0.13,0.13,52,0.13
FOXO, 20250717 04:40:00.000000,11471,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:40:31.000000,11516,1,0.13,0.13,0.13,0.13,76,0.13
FOXO, 20250717 04:40:43.000000,11586,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:41:03.000000,11616,1,0.13,0.13,0.13,0.13,300,0.13
FOXO, 20250717 04:41:10.000000,11639,1,0.13,0.13,0.13,0.13,234,0.13
FOXO, 20250717 04:41:18.000000,11693,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:41:34.000000,11860,1,0.13,0.13,0.13,0.13,1,0.13
FOXO, 20250717 04:42:28.000000,12057,1,0.13,0.13,0.13,0.13,76,0.13
FOXO, 20250717 04:43:27.000000,12381,1,0.13,0.13,0.13,0.13,3991,0.13
FOXO, 20250717 04:45:02.000000,12483,1,0.13,0.13,0.13,0.13,40,0.13
FOXO, 20250717 04:45:33.000000,12526,1,0.13,0.13,0.13,0.13,9973,0.13
