SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
GOOGL,20250717 04:01:01.000000,0,182.23,182.23,103375,103375,103375,103375,103375,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.79,181.79,183.29,183.29,181.79,183.29
GOOGL,20250717 04:02:02.000000,0,182.23,182.23,6989,110364,110364,110364,110364,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,0.03,0.01,182.15,181.79,182.33,183.29,181.79,183.29
GOOGL,20250717 04:03:01.000000,0,182.26,182.24,2058,112422,112422,112422,112422,0.21,0.12,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.1,0.05,0.13,0.07,0.13,0.07,0.13,0.07,0.13,0.07,0.13,0.07,0.13,0.07,182.17,182.15,182.37,182.37,181.79,183.29
GOOGL,20250717 04:04:01.000000,0,182.3,182.26,10533,122955,122955,122955,122955,0.37,0.2,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.11,0.06,0.25,0.13,0.25,0.13,0.25,0.13,0.25,0.13,0.25,0.13,0.25,0.13,182.29,182.17,182.54,182.54,181.79,183.29
GOOGL,20250717 04:05:09.000000,0,182.32,182.28,2202,125157,125157,125157,125157,0.25,0.13,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,-0.06,-0.03,0.18,0.1,0.18,0.1,0.18,0.1,0.18,0.1,0.18,0.1,0.18,0.1,182.3,182.29,182.45,182.54,181.79,183.29
GOOGL,20250717 04:06:03.000000,0,182.35,182.29,3021,24803,128178,128178,128178,0.21,0.12,0.38,0.21,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.02,0.01,0.18,0.09,0.21,0.11,0.21,0.11,0.21,0.11,0.21,0.11,0.21,0.11,182.34,182.3,182.52,182.52,182.15,182.54
GOOGL,20250717 04:07:01.000000,0,182.37,182.31,8824,26638,137002,137002,137002,0.24,0.13,0.41,0.22,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.03,0.01,0.1,0.06,0.24,0.13,0.24,0.13,0.24,0.13,0.24,0.13,0.24,0.13,182.42,182.34,182.58,182.58,182.17,182.58
GOOGL,20250717 04:08:01.000000,0,182.37,182.31,3101,27681,140103,140103,140103,0.2,0.1,0.29,0.15,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,-0.09,-0.04,-0.09,-0.05,0.15,0.08,0.15,0.08,0.15,0.08,0.15,0.08,0.15,0.08,182.38,182.38,182.52,182.58,182.29,182.58
GOOGL,20250717 04:09:01.000000,0,182.37,182.32,1437,18585,141540,141540,141540,0.21,0.12,0.28,0.15,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,-0.03,-0.01,-0.06,-0.03,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,182.3,182.3,182.35,182.52,182.3,182.58
GOOGL,20250717 04:10:01.000000,0,182.33,182.31,2024,18407,143564,143564,143564,0.15,0.08,0.38,0.2,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,-0.13,-0.07,-0.22,-0.12,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,182.2,182.2,182.35,182.35,182.2,182.58
GOOGL,20250717 04:11:06.000000,0,182.31,182.3,579,15965,40768,144143,144143,0.15,0.08,0.38,0.2,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,0.01,0.01,-0.24,-0.13,-0.03,-0.01,0,0,0,0,0,0,0,0,182.2,182.2,182.29,182.35,182.2,182.58
GOOGL,20250717 04:12:04.000000,0,182.29,182.29,2198,9339,35977,146341,146341,0.13,0.07,0.37,0.2,1.5,0.82,1.5,0.82,1.5,0.82,1.5,0.82,-0.03,-0.01,-0.18,-0.09,-0.16,-0.08,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,-0.03,-0.01,182.15,182.15,182.27,182.29,182.15,182.52
