SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
GRAB,20250717 04:01:11.000000,0,5.14,5.14,6354,6354,6354,6354,6354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.14
GRAB,20250717 04:02:03.000000,0,5.14,5.14,1249,7603,7603,7603,7603,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:03:02.000000,0,5.14,5.14,650,8253,8253,8253,8253,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.15,5.14,5.15
GRAB,20250717 04:04:08.000000,0,5.14,5.14,1142,9395,9395,9395,9395,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.15
GRAB,20250717 04:06:23.000000,0,5.14,5.14,100,9495,9495,9495,9495,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:07:31.000000,0,5.14,5.14,200,2092,9695,9695,9695,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:09:38.000000,0,5.14,5.14,150,1592,9845,9845,9845,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:10:30.000000,0,5.14,5.14,50,400,9895,9895,9895,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,-0.01,-0.19,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.15
GRAB,20250717 04:11:16.000000,0,5.14,5.14,393,793,3934,10288,10288,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,-0.01,-0.19,0,0,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.15
GRAB,20250717 04:13:23.000000,0,5.14,5.14,1,594,2686,10289,10289,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:14:19.000000,0,5.14,5.14,183,627,1077,10472,10472,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.14,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:16:31.000000,0,5.14,5.14,89,666,1066,10561,10561,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,-0.01,-0.19,0,0,-0.01,-0.19,0,0,0,0,0,0,0,0,5.14,5.14,5.14,5.15,5.14,5.15
GRAB,20250717 04:18:04.000000,0,5.14,5.14,51,323,917,3009,10612,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.14,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:19:26.000000,0,5.14,5.14,1,141,768,1218,10613,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:21:52.000000,0,5.14,5.14,1,53,719,1119,10614,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,-0.01,-0.19,-0.01,-0.19,0,0,-0.01,-0.19,0,0,0,0,0,0,5.14,5.14,5.14,5.15,5.14,5.15
GRAB,20250717 04:22:07.000000,0,5.14,5.14,10,12,335,929,10624,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:23:44.000000,0,5.14,5.14,20,32,355,799,10644,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:24:29.000000,0,5.14,5.14,1,32,173,800,10645,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:25:09.000000,0,5.14,5.14,1,32,85,751,10646,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.15,5.15
GRAB,20250717 04:28:49.000000,0,5.14,5.14,51,83,136,409,10697,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,-0.01,-0.19,-0.01,-0.19,-0.01,-0.19,-0.01,-0.19,0,0,0,0,0,0,5.14,5.14,5.14,5.15,5.14,5.15
GRAB,20250717 04:32:48.000000,0,5.14,5.14,6093,6145,6177,6318,16790,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:34:54.000000,0,5.14,5.14,202,6295,6348,6380,8739,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,-0.01,-0.19,-0.01,-0.19,-0.01,-0.19,0,0,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.15
GRAB,20250717 04:35:47.000000,0,5.14,5.14,66,268,6412,6444,7563,0,0,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,-0.01,-0.19,-0.01,-0.19,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.14
GRAB,20250717 04:38:41.000000,0,5.14,5.14,1,269,6362,6445,7564,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0,0,0,0,0.01,0.19,0.01,0.19,5.15,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:40:13.000000,0,5.14,5.14,4,71,273,6418,7218,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,5.15,5.15,5.15,5.15,5.14,5.15
GRAB,20250717 04:43:04.000000,0,5.14,5.14,199,203,472,6565,6974,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,-0.01,-0.19,0,0,-0.01,-0.19,-0.01,-0.19,0,0,0,0,5.14,5.14,5.14,5.14,5.14,5.15
GRAB,20250717 04:47:17.000000,0,5.14,5.14,2,201,272,474,6792,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0,0,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,0.01,0.19,5.14,5.14,5.15,5.15,5.14,5.15
GRAB,20250717 04:48:39.000000,0,5.14,5.14,3182,3184,3387,3454,9834,0,0.19,0.02,0.38,0.02,0.38,0.02,0.38,0.02,0.38,0.02,0.38,0,0,-0.02,-0.38,-0.02,-0.38,0,-0.19,-0.02,-0.38,0,-0.19,0,-0.19,5.13,5.13,5.14,5.14,5.13,5.15
