SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
GRAB, 20250717 04:00:04.000000,134,1,5.14,5.14,5.14,5.14,3800,5.14
GRAB, 20250717 04:00:16.000000,236,1,5.14,5.14,5.14,5.14,2098,5.14
GRAB, 20250717 04:00:30.000000,261,1,5.14,5.14,5.14,5.14,450,5.14
GRAB, 20250717 04:00:33.000000,277,1,5.14,5.14,5.14,5.14,5,5.14
GRAB, 20250717 04:00:35.000000,591,1,5.14,5.14,5.14,5.14,1,5.14
GRAB, 20250717 04:01:10.000000,598,1,5.14,5.14,5.14,5.14,60,5.14
GRAB, 20250717 04:01:11.000000,638,1,5.14,5.14,5.14,5.14,1,5.14
GRAB, 20250717 04:01:15.000000,830,1,5.14,5.14,5.14,5.14,30,5.14
GRAB, 20250717 04:01:30.000000,866,1,5.14,5.14,5.14,5.14,3,5.14
GRAB, 20250717 04:01:33.000000,922,1,5.15,5.15,5.15,5.15,154,5.15
GRAB, 20250717 04:01:38.000000,1174,1,5.14,5.14,5.14,5.14,1001,5.14
GRAB, 20250717 04:02:02.000000,1469,1,5.14,5.14,5.14,5.14,4,5.14
GRAB, 20250717 04:02:30.000000,1571,1,5.14,5.14,5.14,5.14,5,5.14
GRAB, 20250717 04:02:39.000000,1616,1,5.14,5.14,5.14,5.14,40,5.14
GRAB, 20250717 04:02:43.000000,1628,1,5.14,5.14,5.14,5.14,350,5.14
GRAB, 20250717 04:02:44.000000,1678,1,5.14,5.14,5.14,5.14,1,5.14
GRAB, 20250717 04:02:48.000000,1799,1,5.14,5.14,5.14,5.14,250,5.14
GRAB, 20250717 04:03:01.000000,1922,1,5.14,5.14,5.14,5.14,162,5.14
GRAB, 20250717 04:03:13.000000,2170,1,5.14,5.14,5.14,5.14,30,5.14
GRAB, 20250717 04:03:35.000000,2405,1,5.14,5.14,5.14,5.14,100,5.14
GRAB, 20250717 04:03:56.000000,2508,1,5.14,5.14,5.14,5.14,850,5.14
GRAB, 20250717 04:04:07.000000,3507,1,5.15,5.15,5.15,5.15,100,5.15
GRAB, 20250717 04:06:22.000000,3874,1,5.15,5.15,5.15,5.15,200,5.15
GRAB, 20250717 04:07:30.000000,3937,1,5.15,5.15,5.15,5.15,50,5.15
GRAB, 20250717 04:07:42.000000,4579,1,5.15,5.15,5.15,5.15,100,5.15
GRAB, 20250717 04:09:37.000000,4847,1,5.14,5.14,5.14,5.14,50,5.14
GRAB, 20250717 04:10:29.000000,5048,1,5.14,5.14,5.14,5.14,393,5.14
GRAB, 20250717 04:11:15.000000,5624,1,5.15,5.15,5.15,5.15,1,5.15
GRAB, 20250717 04:13:22.000000,5649,1,5.14,5.14,5.14,5.14,92,5.14
GRAB, 20250717 04:13:28.000000,5858,1,5.15,5.15,5.15,5.15,91,5.15
GRAB, 20250717 04:14:18.000000,5931,1,5.14,5.14,5.14,5.14,84,5.14
GRAB, 20250717 04:14:36.000000,6408,1,5.14,5.14,5.14,5.14,5,5.14
GRAB, 20250717 04:16:30.000000,6488,1,5.14,5.14,5.14,5.14,1,5.14
GRAB, 20250717 04:16:51.000000,6816,1,5.15,5.15,5.15,5.15,50,5.15
GRAB, 20250717 04:18:03.000000,7130,1,5.15,5.15,5.15,5.15,1,5.15
GRAB, 20250717 04:19:25.000000,7667,1,5.14,5.14,5.14,5.14,1,5.14
GRAB, 20250717 04:21:51.000000,7717,1,5.15,5.15,5.15,5.15,10,5.15
GRAB, 20250717 04:22:06.000000,8055,1,5.15,5.15,5.15,5.15,20,5.15
GRAB, 20250717 04:23:43.000000,8203,1,5.15,5.15,5.15,5.15,1,5.15
GRAB, 20250717 04:24:28.000000,8371,1,5.15,5.15,5.15,5.15,1,5.15
GRAB, 20250717 04:25:08.000000,8495,1,5.14,5.14,5.14,5.14,50,5.14
GRAB, 20250717 04:25:43.000000,9074,1,5.14,5.14,5.14,5.14,1,5.14
