SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
GTI,20250717 04:00:00.033000,562,30861,30861,0.11,PACF,12545
GTI,20250717 04:00:00.040000,826,100,30961,0.1,EDGX,12545
GTI,20250717 04:00:00.464000,2743,79,31040,0.11,PACF,12545
GTI,20250717 04:00:02.102000,3612,500,31540,0.1,EDGX,12545
GTI,20250717 04:00:02.813000,3912,10000,46342,0.1,EDGX,12545
GTI,20250717 04:00:02.813000,3910,104,36294,0.1,NQEX,12545
GTI,20250717 04:00:02.813000,3909,1000,36190,0.1,PACF,12545
GTI,20250717 04:00:02.813000,3911,48,36342,0.11,EDGX,12545
GTI,20250717 04:00:02.813000,3908,3000,35190,0.1,PACF,12545
GTI,20250717 04:00:02.813000,3907,250,32190,0.1,PACF,12545
GTI,20250717 04:00:02.813000,3906,300,31940,0.1,PACF,12545
GTI,20250717 04:00:02.813000,3905,100,31640,0.11,PACF,12545
GTI,20250717 04:00:02.814000,3913,1150,47492,0.1,MEMX,12545
GTI,20250717 04:00:02.817000,3914,6048,53540,0.1,PACF,12545
GTI,20250717 04:00:06.696000,4706,2,53542,0.1,PACF,12545
GTI,20250717 04:00:08.934000,5117,377,53919,0.1,PACF,12545
GTI,20250717 04:00:09.628000,5283,15,53934,0.11,EDGX,12545
GTI,20250717 04:00:10.131000,5453,303,54237,0.1,PACF,12545
GTI,20250717 04:00:13.616000,6606,5000,59237,0.1,PACF,12545
GTI,20250717 04:00:13.937000,6673,13560,72797,0.1,BATS,12545
GTI,20250717 04:00:13.939000,6676,100,73867,0.11,PACF,12545
GTI,20250717 04:00:13.939000,6675,970,73767,0.11,PACF,12545
GTI,20250717 04:00:17.235000,7602,100,73967,0.11,EDGX,12545
GTI,20250717 04:00:17.429000,7629,100,74067,0.11,PACF,12545
GTI,20250717 04:00:17.429000,7630,100,74167,0.11,PACF,12545
GTI,20250717 04:00:18.260000,7779,2,74169,0.11,EDGX,12545
GTI,20250717 04:00:18.260000,7780,100,74269,0.11,MEMX,12545
GTI,20250717 04:00:18.260000,7781,6400,80669,0.11,MEMX,12545
GTI,20250717 04:00:19.593000,8222,2200,82869,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8223,998,83867,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8224,4396,88263,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8225,100,88363,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8227,94,88537,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8229,6594,95181,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8231,50,95293,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8230,62,95243,0.1,PACF,12545
GTI,20250717 04:00:19.593000,8226,80,88443,0.1,PACF,12545
