SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
HOOD,20250717 04:01:02.000000,0,104.04,104.04,5298,5298,5298,5298,5298,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.72,103.72,104.57,104.57,103.72,104.57
HOOD,20250717 04:02:01.000000,0,104.01,104.02,3220,8518,8518,8518,8518,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,103.85,103.72,104.05,104.57,103.72,104.57
HOOD,20250717 04:03:03.000000,0,103.99,104.01,4325,12843,12843,12843,12843,0.25,0.24,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,-0.05,-0.04,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,103.8,103.8,104,104.05,103.72,104.57
HOOD,20250717 04:04:02.000000,0,103.99,104.01,1149,13992,13992,13992,13992,0.2,0.19,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.1,0.1,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,-0.05,-0.04,103.88,103.8,104,104,103.72,104.57
HOOD,20250717 04:05:15.000000,0,103.99,104.01,1013,15005,15005,15005,15005,0.15,0.14,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.04,0.03,-0.01,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,-0.01,0,103.97,103.88,104.03,104.03,103.72,104.57
HOOD,20250717 04:06:01.000000,0,103.97,104,3989,13696,18994,18994,18994,0.25,0.24,0.26,0.25,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,-0.15,-0.14,-0.05,-0.04,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,-0.16,-0.15,103.81,103.81,104.06,104.06,103.8,104.06
HOOD,20250717 04:07:12.000000,0,103.97,103.99,1147,11623,20141,20141,20141,0.25,0.24,0.26,0.25,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.09,0.08,0.09,0.08,-0.07,-0.06,-0.07,-0.06,-0.07,-0.06,-0.07,-0.06,-0.07,-0.06,103.84,103.81,103.97,104.06,103.8,104.06
HOOD,20250717 04:08:02.000000,0,103.94,103.98,1497,8795,21638,21638,21638,0.14,0.14,0.25,0.24,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,-0.12,-0.11,-0.14,-0.13,-0.19,-0.18,-0.19,-0.18,-0.19,-0.18,-0.19,-0.18,-0.19,-0.18,103.85,103.84,103.99,103.99,103.81,104.06
HOOD,20250717 04:09:02.000000,0,103.93,103.97,1369,9015,23007,23007,23007,0.18,0.18,0.26,0.25,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.01,0,-0.17,-0.16,-0.18,-0.17,-0.18,-0.17,-0.18,-0.17,-0.18,-0.17,-0.18,-0.17,103.8,103.8,103.9,103.99,103.8,104.06
HOOD,20250717 04:10:14.000000,0,103.94,103.97,13068,21070,36075,36075,36075,0.26,0.25,0.26,0.25,0.84,0.81,0.84,0.81,0.84,0.81,0.84,0.81,0.14,0.13,0.12,0.11,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,-0.04,-0.03,103.88,103.8,104.06,104.06,103.8,104.06
