SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
INTC, 20250717 04:00:00.000000,12,1,22.7,22.84,22.69,22.76,1272,22.74
INTC, 20250717 04:00:01.000000,39,1,22.79,22.8,22.71,22.71,150,22.77
INTC, 20250717 04:00:03.000000,54,1,22.78,22.78,22.71,22.71,975,22.75
INTC, 20250717 04:00:05.000000,103,1,22.76,22.76,22.72,22.72,55,22.76
INTC, 20250717 04:00:10.000000,157,1,22.73,22.73,22.73,22.73,30,22.73
INTC, 20250717 04:00:19.000000,230,1,22.73,22.73,22.73,22.73,185,22.73
INTC, 20250717 04:00:29.000000,263,1,22.73,22.73,22.73,22.73,3,22.73
INTC, 20250717 04:00:33.000000,299,1,22.75,22.79,22.74,22.76,1907,22.75
INTC, 20250717 04:00:39.000000,360,1,22.73,22.73,22.73,22.73,30,22.73
INTC, 20250717 04:00:46.000000,442,1,22.73,22.75,22.73,22.73,202,22.74
INTC, 20250717 04:00:56.000000,547,1,22.78,22.78,22.74,22.76,5350,22.76
INTC, 20250717 04:01:06.000000,605,1,22.77,22.78,22.77,22.78,426,22.78
INTC, 20250717 04:01:11.000000,614,1,22.76,22.76,22.76,22.76,29,22.76
INTC, 20250717 04:01:13.000000,642,1,22.77,22.77,22.77,22.77,100,22.77
INTC, 20250717 04:01:15.000000,647,1,22.76,22.76,22.76,22.76,18,22.76
INTC, 20250717 04:01:16.000000,692,1,22.76,22.76,22.76,22.76,162,22.76
INTC, 20250717 04:01:19.000000,696,1,22.76,22.76,22.76,22.76,20,22.76
INTC, 20250717 04:01:20.000000,711,1,22.77,22.77,22.77,22.77,50,22.77
INTC, 20250717 04:01:21.000000,748,1,22.76,22.76,22.76,22.76,4,22.76
INTC, 20250717 04:01:24.000000,768,1,22.77,22.77,22.77,22.77,13,22.77
INTC, 20250717 04:01:26.000000,788,1,22.77,22.77,22.77,22.77,10,22.77
