SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
LCID,20250717 04:01:02.000000,0,2.27,2.27,16614,16614,16614,16614,16614,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:02:05.000000,0,2.27,2.27,2369,18983,18983,18983,18983,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.29,2.27,2.29
LCID,20250717 04:03:03.000000,0,2.27,2.27,957,19940,19940,19940,19940,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:04:12.000000,0,2.27,2.27,14828,34768,34768,34768,34768,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:05:02.000000,0,2.27,2.27,150,34918,34918,34918,34918,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:06:25.000000,0,2.27,2.27,7,18311,34925,34925,34925,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.29,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:07:22.000000,0,2.27,2.27,35,15977,34960,34960,34960,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.29,2.27,2.29
LCID,20250717 04:08:16.000000,0,2.27,2.27,201,15221,35161,35161,35161,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:09:01.000000,0,2.27,2.27,142,535,35303,35303,35303,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:10:05.000000,0,2.27,2.27,70,455,35373,35373,35373,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,-0.02,-0.88,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:11:07.000000,0,2.27,2.27,1732,2180,20491,37105,37105,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:12:06.000000,0,2.27,2.27,2491,4636,20613,39596,39596,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:13:31.000000,0,2.27,2.27,317,4752,19973,39913,39913,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.29,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:14:28.000000,0,2.27,2.27,121,4731,5266,40034,40034,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,-0.02,-0.88,0,0,-0.02,-0.88,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:15:18.000000,0,2.27,2.27,3,4664,5119,40037,40037,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.29,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:16:29.000000,0,2.27,2.27,152,3084,5264,23575,40189,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:18:03.000000,0,2.27,2.27,530,1123,5759,21736,40719,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:19:09.000000,0,2.27,2.27,29,714,5445,5980,40748,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,-0.02,-0.88,0,0,-0.02,-0.88,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:20:03.000000,0,2.27,2.27,151,862,5526,5981,40899,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,-0.02,-0.88,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:21:02.000000,0,2.27,2.27,473,1183,4267,6447,41372,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:22:01.000000,0,2.27,2.27,160,813,1936,6572,41532,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:24:16.000000,0,2.28,2.27,303,1116,1922,6674,41835,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0,0,0.02,0.87,0.02,0.87,0.02,0.87,2.29,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:25:45.000000,0,2.27,2.27,14,950,1812,6476,41849,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:29:13.000000,0,2.28,2.27,226,703,1886,4970,42075,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0,0,0,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,2.29,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:30:53.000000,0,2.27,2.27,49,275,1225,2087,42124,0,0,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,-0.02,-0.88,0,0,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.29
LCID,20250717 04:31:08.000000,0,2.27,2.27,5,54,757,1940,25515,0,0.43,0,0.43,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0.43,0,0.43,-0.01,-0.43,-0.01,-0.43,0,0.43,0,0.43,0,0.43,2.27,2.27,2.27,2.27,2.27,2.27
LCID,20250717 04:32:59.000000,0,2.27,2.27,651,705,1248,2061,23797,0,0.44,0,0.44,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,-0.44,0,0,-0.02,-0.88,0,0,0,0,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.27
LCID,20250717 04:33:17.000000,0,2.27,2.27,5,710,950,2066,22845,0,0,0,0.44,0.02,0.88,0.02,0.88,0.02,0.88,0.02,0.88,0,0,0,0,0,0,0,0,-0.02,-0.88,0,0,0,0,2.27,2.27,2.27,2.27,2.27,2.27
LCID,20250717 04:34:38.000000,0,2.27,2.27,823,1533,1773,2860,8840,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0,0.43,0,0.43,0,0.43,0,0.43,-0.01,-0.43,0,0.43,0,0.43,2.27,2.27,2.29,2.29,2.27,2.29
LCID,20250717 04:36:11.000000,0,2.27,2.27,2,1486,1761,2711,8692,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.02,0.87,0.01,0.43,0.01,0.43,0,0,0.02,0.87,0,0,0.02,0.87,0.02,0.87,2.27,2.27,2.29,2.29,2.27,2.29
