SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
LCID, 20250717 04:00:00.000000,27,1,2.29,2.29,2.29,2.29,18,2.29
LCID, 20250717 04:00:02.000000,362,1,2.29,2.29,2.29,2.29,42,2.29
LCID, 20250717 04:00:46.000000,378,1,2.27,2.27,2.27,2.27,2700,2.27
LCID, 20250717 04:00:47.000000,485,1,2.27,2.27,2.27,2.27,13854,2.27
LCID, 20250717 04:01:01.000000,567,1,2.27,2.27,2.27,2.27,149,2.27
LCID, 20250717 04:01:08.000000,606,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:01:11.000000,802,1,2.27,2.27,2.27,2.27,2,2.27
LCID, 20250717 04:01:28.000000,816,1,2.27,2.27,2.27,2.27,5,2.27
LCID, 20250717 04:01:29.000000,838,1,2.27,2.27,2.27,2.27,500,2.27
LCID, 20250717 04:01:31.000000,926,1,2.27,2.27,2.27,2.27,10,2.27
LCID, 20250717 04:01:38.000000,990,1,2.27,2.27,2.27,2.27,16,2.27
LCID, 20250717 04:01:44.000000,1031,1,2.27,2.27,2.27,2.27,100,2.27
LCID, 20250717 04:01:48.000000,1077,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:01:53.000000,1125,1,2.27,2.27,2.27,2.27,1500,2.27
LCID, 20250717 04:01:58.000000,1193,1,2.27,2.27,2.27,2.27,85,2.27
LCID, 20250717 04:02:04.000000,1252,1,2.27,2.27,2.27,2.27,10,2.27
LCID, 20250717 04:02:10.000000,1299,1,2.27,2.27,2.27,2.27,55,2.27
LCID, 20250717 04:02:14.000000,1317,1,2.27,2.27,2.27,2.27,25,2.27
LCID, 20250717 04:02:16.000000,1329,1,2.27,2.27,2.27,2.27,103,2.27
LCID, 20250717 04:02:17.000000,1382,1,2.27,2.27,2.27,2.27,7,2.27
LCID, 20250717 04:02:21.000000,1392,1,2.27,2.27,2.27,2.27,3,2.27
LCID, 20250717 04:02:22.000000,1417,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:02:24.000000,1480,1,2.27,2.27,2.27,2.27,500,2.27
LCID, 20250717 04:02:31.000000,1507,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:02:33.000000,1582,1,2.27,2.27,2.27,2.27,5,2.27
LCID, 20250717 04:02:40.000000,1623,1,2.27,2.27,2.27,2.27,16,2.27
LCID, 20250717 04:02:44.000000,1686,1,2.27,2.27,2.27,2.27,200,2.27
LCID, 20250717 04:02:49.000000,1751,1,2.27,2.27,2.27,2.27,5,2.27
LCID, 20250717 04:02:56.000000,1761,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:02:57.000000,1814,1,2.27,2.27,2.27,2.27,25,2.27
LCID, 20250717 04:03:02.000000,1846,1,2.27,2.27,2.27,2.27,1,2.27
LCID, 20250717 04:03:05.000000,1950,1,2.27,2.27,2.27,2.27,4,2.27
LCID, 20250717 04:03:16.000000,2050,1,2.27,2.27,2.27,2.27,19,2.27
LCID, 20250717 04:03:25.000000,2153,1,2.27,2.27,2.27,2.27,33,2.27
LCID, 20250717 04:03:34.000000,2182,1,2.27,2.27,2.27,2.27,4,2.27
LCID, 20250717 04:03:36.000000,2195,1,2.27,2.27,2.27,2.27,10,2.27
LCID, 20250717 04:03:37.000000,2210,1,2.27,2.27,2.27,2.27,2,2.27
LCID, 20250717 04:03:38.000000,2282,1,2.27,2.27,2.27,2.27,9300,2.27
LCID, 20250717 04:03:44.000000,2295,1,2.27,2.27,2.27,2.27,20,2.27
LCID, 20250717 04:03:46.000000,2420,1,2.27,2.27,2.27,2.27,5420,2.27
