SymbolId,CurrentTime,Index,DayPatternId,DayPatternValue
MU,20250717 00:00:00.000000,0,YGD,False
MU,20250717 00:00:00.000000,0,YGD2,False
MU,20250717 00:00:00.000000,0,YRD,True
MU,20250717 00:00:00.000000,0,YRD2,True
MU,20250717 00:00:00.000000,0,SSR2,False
MU,20250717 00:00:00.000000,0,NR4,False
MU,20250717 00:00:00.000000,0,NR5,False
MU,20250717 00:00:00.000000,0,NR6,False
MU,20250717 00:00:00.000000,0,NR7,False
MU,20250717 00:00:00.000000,0,SGUS_ND,False
MU,20250717 00:00:00.000000,0,SGUS,False
MU,20250717 00:00:00.000000,0,NGUS,False
MU,20250717 00:00:00.000000,0,SSR1,False
MU,20250717 00:00:00.000000,0,GUS_21D_NR61,False
MU,20250717 00:00:00.000000,0,YRD_AH,True
MU,20250717 00:00:00.000000,0,YRD_GpDn_BL,False
MU,20250717 00:00:00.000000,0,RRG,False
MU,20250717 00:00:00.000000,0,RRGG,False
MU,20250717 00:00:00.000000,0,GpUp_PD123,False
MU,20250717 00:00:00.000000,0,PLO2X,True
