SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
MU,20250717 04:01:01.000000,0,115.12,115.12,15080,15080,15080,15080,15080,1.84,1.59,1.84,1.59,1.84,1.59,1.84,1.59,1.84,1.59,1.84,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.05,115.05,116.89,116.89,115.05,116.89
MU,20250717 04:02:01.000000,0,115.09,115.1,24700,39780,39780,39780,39780,2.12,1.85,2.12,1.85,2.12,1.85,2.12,1.85,2.12,1.85,2.12,1.85,-0.13,-0.11,-0.13,-0.11,-0.13,-0.11,-0.13,-0.11,-0.13,-0.11,-0.13,-0.11,-0.13,-0.11,114.76,114.76,115.22,116.89,114.76,116.89
MU,20250717 04:03:02.000000,0,115.02,115.07,16305,56085,56085,56085,56085,0.65,0.57,2.32,2.03,2.32,2.03,2.32,2.03,2.32,2.03,2.32,2.03,-0.25,-0.22,-0.39,-0.33,-0.39,-0.33,-0.39,-0.33,-0.39,-0.33,-0.39,-0.33,-0.39,-0.33,114.56,114.56,115.01,115.22,114.56,116.89
MU,20250717 04:04:02.000000,0,114.91,115.01,11510,67595,67595,67595,67595,0.73,0.63,2.6,2.27,2.6,2.27,2.6,2.27,2.6,2.27,2.6,2.27,-0.24,-0.2,-0.63,-0.55,-0.63,-0.55,-0.63,-0.55,-0.63,-0.55,-0.63,-0.55,-0.63,-0.55,114.28,114.28,114.96,115.01,114.28,116.89
MU,20250717 04:05:01.000000,0,114.55,114.83,19638,87233,87233,87233,87233,1.85,1.64,3.79,3.35,3.79,3.35,3.79,3.35,3.79,3.35,3.79,3.35,-1.39,-1.22,-2.02,-1.78,-2.02,-1.78,-2.02,-1.78,-2.02,-1.78,-2.02,-1.78,-2.02,-1.78,113.1,113.1,114.65,114.96,113.1,116.89
MU,20250717 04:06:01.000000,0,114.43,114.74,10341,82494,97574,97574,97574,1.65,1.44,2.21,1.94,3.89,3.41,3.89,3.41,3.89,3.41,3.89,3.41,0.85,0.74,-1.03,-0.91,-1.17,-1.02,-1.17,-1.02,-1.17,-1.02,-1.17,-1.02,-1.17,-1.02,113,113,114,114.65,113,115.22
MU,20250717 04:07:02.000000,0,114.34,114.67,5161,62955,102735,102735,102735,1.31,1.15,2.01,1.76,3.89,3.41,3.89,3.41,3.89,3.41,3.89,3.41,0.04,0.04,-0.73,-0.64,-1.12,-0.98,-1.12,-0.98,-1.12,-0.98,-1.12,-0.98,-1.12,-0.98,113.82,113,114.32,114.32,113,115.01
MU,20250717 04:08:01.000000,0,114.1,114.53,16711,63361,119446,119446,119446,1.15,1.02,1.95,1.73,3.89,3.43,3.89,3.43,3.89,3.43,3.89,3.43,-0.84,-0.74,-1.32,-1.17,-1.96,-1.73,-1.96,-1.73,-1.96,-1.73,-1.96,-1.73,-1.96,-1.73,113.16,113.16,114.19,114.32,113,114.96
MU,20250717 04:09:06.000000,0,113.98,114.43,4334,56185,123780,123780,123780,1.06,0.93,1.65,1.45,3.89,3.42,3.89,3.42,3.89,3.42,3.89,3.42,0.34,0.29,0.4,0.35,-1.62,-1.42,-1.62,-1.42,-1.62,-1.42,-1.62,-1.42,-1.62,-1.42,113.13,113.13,113.59,114.19,113,114.65
MU,20250717 04:10:01.000000,0,113.96,114.38,11700,48247,135480,135480,135480,0.73,0.64,1.31,1.15,3.89,3.41,3.89,3.41,3.89,3.41,3.89,3.41,0.35,0.31,-0.09,-0.07,-1.26,-1.1,-1.26,-1.1,-1.26,-1.1,-1.26,-1.1,-1.26,-1.1,113.5,113.13,113.86,113.86,113,114.32
