SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
MU, 20250717 04:00:00.000000,0,1,116.2,116.89,116.2,116.23,93,116.28
MU, 20250717 04:00:01.000000,48,1,116.14,116.14,116.09,116.09,333,116.14
MU, 20250717 04:00:04.000000,51,1,116.08,116.09,116.08,116.09,6,116.08
MU, 20250717 04:00:05.000000,68,1,115.85,116.02,115.8,115.8,1595,115.91
MU, 20250717 04:00:06.000000,79,1,115.8,115.8,115.8,115.8,2,115.8
MU, 20250717 04:00:07.000000,86,1,115.8,115.8,115.8,115.8,244,115.8
MU, 20250717 04:00:08.000000,102,1,115.68,115.72,115.68,115.7,255,115.69
MU, 20250717 04:00:10.000000,114,1,115.7,115.7,115.7,115.7,20,115.7
MU, 20250717 04:00:12.000000,122,1,115.7,115.7,115.7,115.7,2580,115.7
MU, 20250717 04:00:13.000000,163,1,115.7,115.7,115.7,115.7,50,115.7
MU, 20250717 04:00:20.000000,169,1,115.87,115.87,115.7,115.7,559,115.72
MU, 20250717 04:00:21.000000,185,1,115.7,115.7,115.7,115.7,76,115.7
MU, 20250717 04:00:23.000000,231,1,115.7,115.72,115.7,115.7,154,115.71
MU, 20250717 04:00:29.000000,239,1,115.73,115.73,115.73,115.73,50,115.73
MU, 20250717 04:00:30.000000,253,1,115.7,115.7,115.7,115.7,20,115.7
MU, 20250717 04:00:32.000000,270,1,115.61,115.61,115.61,115.61,50,115.61
MU, 20250717 04:00:34.000000,273,1,115.7,115.7,115.7,115.7,50,115.7
MU, 20250717 04:00:35.000000,281,1,115.73,115.73,115.38,115.4,4302,115.47
MU, 20250717 04:00:36.000000,292,1,115.4,115.45,115.38,115.38,751,115.4
MU, 20250717 04:00:37.000000,300,1,115.4,115.4,115.39,115.39,150,115.4
MU, 20250717 04:00:39.000000,314,1,115.39,115.39,115.39,115.39,110,115.39
MU, 20250717 04:00:40.000000,321,1,115.37,115.39,115.34,115.35,848,115.36
MU, 20250717 04:00:41.000000,363,1,115.33,115.33,115.33,115.33,21,115.33
MU, 20250717 04:00:46.000000,369,1,115.37,115.37,115.37,115.37,50,115.37
MU, 20250717 04:00:47.000000,382,1,115.22,115.22,115.22,115.22,6,115.22
MU, 20250717 04:00:48.000000,391,1,115.33,115.33,115.33,115.33,1,115.33
MU, 20250717 04:00:49.000000,405,1,115.33,115.33,115.33,115.33,1,115.33
MU, 20250717 04:00:51.000000,422,1,115.32,115.33,115.32,115.33,117,115.32
MU, 20250717 04:00:53.000000,430,1,115.15,115.26,115.14,115.25,1049,115.18
MU, 20250717 04:00:54.000000,437,1,115.25,115.25,115.22,115.22,300,115.24
MU, 20250717 04:00:55.000000,443,1,115.24,115.24,115.24,115.24,3,115.24
MU, 20250717 04:00:56.000000,453,1,115.2,115.21,115.17,115.17,480,115.2
MU, 20250717 04:00:58.000000,470,1,115.19,115.2,115.05,115.12,754,115.15
MU, 20250717 04:01:00.000000,480,1,115,115.2,114.97,115,3481,115.01
MU, 20250717 04:01:01.000000,498,1,114.98,115.01,114.98,115,490,115
MU, 20250717 04:01:02.000000,505,1,114.98,115,114.98,115,636,115
MU, 20250717 04:01:03.000000,537,1,115.05,115.22,115.05,115.12,762,115.11
MU, 20250717 04:01:05.000000,549,1,115.06,115.06,115,115.06,4120,115.01
MU, 20250717 04:01:06.000000,580,1,115.01,115.01,114.9,114.96,2299,114.99
MU, 20250717 04:01:09.000000,600,1,115.03,115.03,114.99,114.99,3,115.02
MU, 20250717 04:01:11.000000,609,1,115.03,115.03,115.03,115.03,1,115.03
MU, 20250717 04:01:12.000000,613,1,115.03,115.03,115.03,115.03,1,115.03
MU, 20250717 04:01:13.000000,621,1,115,115,115,115,4,115
MU, 20250717 04:01:14.000000,641,1,115.03,115.04,115.03,115.04,100,115.03
MU, 20250717 04:01:15.000000,646,1,115,115.06,114.96,115.01,410,115.01
MU, 20250717 04:01:16.000000,659,1,114.96,115,114.96,115,128,114.96
MU, 20250717 04:01:17.000000,667,1,114.96,115.07,114.96,114.96,123,115.05
MU, 20250717 04:01:18.000000,680,1,115,115.08,114.96,115,971,114.99
MU, 20250717 04:01:19.000000,697,1,114.96,115,114.96,115,31,114.99
MU, 20250717 04:01:20.000000,712,1,115.04,115.04,115,115,6,115.03
MU, 20250717 04:01:21.000000,721,1,115.04,115.04,114.96,115,247,114.99
MU, 20250717 04:01:22.000000,741,1,114.96,115,114.8,114.82,6104,114.83
MU, 20250717 04:01:23.000000,749,1,114.96,114.96,114.95,114.96,110,114.95
MU, 20250717 04:01:24.000000,763,1,114.92,114.92,114.92,114.92,64,114.92
MU, 20250717 04:01:25.000000,777,1,114.92,114.92,114.92,114.92,10,114.92
MU, 20250717 04:01:26.000000,789,1,114.86,114.86,114.86,114.86,1,114.86
MU, 20250717 04:01:27.000000,795,1,114.97,114.97,114.86,114.96,747,114.96
MU, 20250717 04:01:28.000000,820,1,114.86,114.96,114.86,114.96,349,114.88
MU, 20250717 04:01:29.000000,822,1,114.82,114.88,114.76,114.88,692,114.81
MU, 20250717 04:01:30.000000,849,1,114.92,115,114.76,114.95,1204,114.93
MU, 20250717 04:01:32.000000,864,1,114.98,114.98,114.96,114.98,16,114.98
MU, 20250717 04:01:33.000000,872,1,114.98,115,114.98,115,72,115
MU, 20250717 04:01:34.000000,903,1,115,115,115,115,1,115
MU, 20250717 04:01:36.000000,918,1,115.04,115.04,115.04,115.04,1,115.04
MU, 20250717 04:01:38.000000,937,1,114.97,114.97,114.97,114.97,9,114.97
MU, 20250717 04:01:39.000000,994,1,114.97,114.97,114.76,114.83,829,114.79
MU, 20250717 04:01:44.000000,1012,1,114.96,114.96,114.96,114.96,1,114.96
MU, 20250717 04:01:46.000000,1037,1,115.01,115.07,114.97,115.06,400,115.03
MU, 20250717 04:01:49.000000,1068,1,114.99,114.99,114.99,114.99,1,114.99
MU, 20250717 04:01:52.000000,1129,1,115.01,115.01,114.99,115,150,115
MU, 20250717 04:01:58.000000,1140,1,115,115,115,115,1,115
MU, 20250717 04:01:59.000000,1150,1,114.99,114.99,114.99,114.99,125,114.99
MU, 20250717 04:02:00.000000,1167,1,114.99,114.99,114.99,114.99,125,114.99
MU, 20250717 04:02:02.000000,1184,1,114.99,114.99,114.99,114.99,165,114.99
MU, 20250717 04:02:03.000000,1198,1,114.99,114.99,114.99,114.99,198,114.99
MU, 20250717 04:02:05.000000,1213,1,114.99,115.01,114.99,115.01,68,115
MU, 20250717 04:02:06.000000,1233,1,115.01,115.01,115.01,115.01,10,115.01
MU, 20250717 04:02:08.000000,1246,1,115.01,115.01,114.95,114.95,248,114.99
MU, 20250717 04:02:09.000000,1272,1,114.98,114.98,114.98,114.98,3,114.98
MU, 20250717 04:02:12.000000,1304,1,114.98,114.98,114.9,114.9,450,114.92
MU, 20250717 04:02:14.000000,1347,1,114.87,114.9,114.87,114.87,172,114.9
MU, 20250717 04:02:18.000000,1360,1,114.9,114.95,114.57,114.68,3951,114.81
MU, 20250717 04:02:19.000000,1375,1,114.71,114.71,114.71,114.71,100,114.71
MU, 20250717 04:02:20.000000,1406,1,114.58,114.71,114.56,114.7,710,114.62
MU, 20250717 04:02:23.000000,1475,1,114.74,114.76,114.6,114.6,285,114.66
MU, 20250717 04:02:30.000000,1481,1,114.7,114.7,114.7,114.7,2500,114.7
MU, 20250717 04:02:31.000000,1488,1,114.7,114.78,114.69,114.69,2314,114.74
MU, 20250717 04:02:32.000000,1521,1,114.77,114.79,114.77,114.79,240,114.79
MU, 20250717 04:02:34.000000,1532,1,114.79,114.82,114.79,114.81,2732,114.79
MU, 20250717 04:02:35.000000,1556,1,114.82,114.82,114.82,114.82,31,114.82
MU, 20250717 04:02:37.000000,1580,1,114.79,114.79,114.79,114.79,1,114.79
MU, 20250717 04:02:39.000000,1589,1,114.8,114.8,114.8,114.8,4,114.8
MU, 20250717 04:02:40.000000,1597,1,114.8,114.82,114.78,114.78,638,114.8
MU, 20250717 04:02:41.000000,1600,1,114.75,114.75,114.69,114.69,71,114.69
MU, 20250717 04:02:42.000000,1629,1,114.8,114.8,114.8,114.8,100,114.8
MU, 20250717 04:02:44.000000,1690,1,114.79,114.79,114.79,114.79,1,114.79
MU, 20250717 04:02:49.000000,1697,1,114.78,114.78,114.78,114.78,505,114.78
MU, 20250717 04:02:50.000000,1717,1,114.74,114.74,114.74,114.74,111,114.74
MU, 20250717 04:02:52.000000,1736,1,114.75,114.79,114.75,114.79,3,114.76
MU, 20250717 04:02:54.000000,1750,1,114.79,114.79,114.79,114.79,1,114.79
MU, 20250717 04:02:56.000000,1781,1,114.7,114.71,114.7,114.71,308,114.7
MU, 20250717 04:02:59.000000,1796,1,114.64,114.73,114.61,114.73,260,114.63
MU, 20250717 04:03:01.000000,1812,1,114.73,114.73,114.73,114.73,100,114.73
MU, 20250717 04:03:02.000000,1823,1,114.72,114.78,114.72,114.78,300,114.76
MU, 20250717 04:03:03.000000,1840,1,114.78,114.8,114.78,114.8,510,114.79
MU, 20250717 04:03:04.000000,1847,1,114.8,114.8,114.8,114.8,100,114.8
MU, 20250717 04:03:05.000000,1865,1,114.96,114.96,114.96,114.96,6,114.96
MU, 20250717 04:03:07.000000,1887,1,114.89,114.89,114.8,114.82,680,114.83
MU, 20250717 04:03:10.000000,1918,1,114.92,114.96,114.92,114.96,29,114.96
MU, 20250717 04:03:13.000000,1935,1,114.83,114.83,114.83,114.83,35,114.83
MU, 20250717 04:03:15.000000,1952,1,114.83,114.85,114.78,114.8,899,114.83
MU, 20250717 04:03:16.000000,1960,1,114.77,114.77,114.77,114.77,12,114.77
MU, 20250717 04:03:17.000000,1999,1,114.78,114.78,114.78,114.78,1,114.78
MU, 20250717 04:03:20.000000,2008,1,114.8,114.8,114.77,114.78,408,114.79
MU, 20250717 04:03:21.000000,2011,1,114.7,114.72,114.54,114.58,1287,114.65
MU, 20250717 04:03:22.000000,2034,1,114.55,114.55,114.55,114.55,16,114.55
MU, 20250717 04:03:23.000000,2039,1,114.52,114.54,114.46,114.46,951,114.51
MU, 20250717 04:03:24.000000,2066,1,114.46,114.51,114.36,114.39,2114,114.43
MU, 20250717 04:03:26.000000,2077,1,114.32,114.38,114.3,114.3,1515,114.31
MU, 20250717 04:03:27.000000,2109,1,114.35,114.35,114.28,114.28,371,114.28
MU, 20250717 04:03:30.000000,2159,1,114.33,114.33,114.33,114.33,4,114.33
MU, 20250717 04:03:34.000000,2172,1,114.29,114.29,114.29,114.29,5,114.29
MU, 20250717 04:03:35.000000,2185,1,114.29,114.29,114.29,114.29,202,114.29
MU, 20250717 04:03:36.000000,2200,1,114.29,114.29,114.29,114.29,50,114.29
MU, 20250717 04:03:38.000000,2217,1,114.3,114.37,114.29,114.37,459,114.32
MU, 20250717 04:03:39.000000,2232,1,114.44,114.44,114.44,114.44,1,114.44
MU, 20250717 04:03:40.000000,2247,1,114.32,114.32,114.3,114.31,168,114.31
MU, 20250717 04:03:42.000000,2310,1,114.4,114.4,114.4,114.4,1,114.4
MU, 20250717 04:03:47.000000,2351,1,114.4,114.4,114.4,114.4,100,114.4
MU, 20250717 04:03:51.000000,2363,1,114.33,114.37,114.3,114.3,383,114.31
MU, 20250717 04:03:52.000000,2381,1,114.3,114.37,114.3,114.37,50,114.35
MU, 20250717 04:03:54.000000,2414,1,114.3,114.3,114.3,114.3,10,114.3
MU, 20250717 04:03:57.000000,2435,1,114.37,114.37,114.37,114.37,5,114.37
MU, 20250717 04:03:59.000000,2445,1,114.39,114.49,114.37,114.49,738,114.42
MU, 20250717 04:04:01.000000,2468,1,114.49,114.49,114.49,114.49,169,114.49
MU, 20250717 04:04:03.000000,2486,1,114.49,114.49,114.44,114.49,2161,114.44
MU, 20250717 04:04:04.000000,2498,1,114.49,114.49,114.49,114.49,200,114.49
MU, 20250717 04:04:06.000000,2543,1,114.44,114.52,114.44,114.52,1681,114.44
MU, 20250717 04:04:10.000000,2565,1,114.62,114.62,114.62,114.62,5,114.62
MU, 20250717 04:04:12.000000,2591,1,114.52,114.52,114.52,114.52,1,114.52
MU, 20250717 04:04:15.000000,2597,1,114.65,114.65,114.49,114.49,280,114.51
MU, 20250717 04:04:16.000000,2608,1,114.49,114.5,114.49,114.5,226,114.5
MU, 20250717 04:04:17.000000,2637,1,114.5,114.5,114.5,114.5,510,114.5
MU, 20250717 04:04:21.000000,2652,1,114.5,114.5,114.5,114.5,63,114.5
MU, 20250717 04:04:22.000000,2656,1,114.5,114.5,114.5,114.5,20,114.5
MU, 20250717 04:04:23.000000,2668,1,114.5,114.5,114.5,114.5,1,114.5
MU, 20250717 04:04:24.000000,2684,1,114.49,114.49,114.49,114.49,5,114.49
MU, 20250717 04:04:25.000000,2700,1,114.5,114.5,114.5,114.5,5,114.5
MU, 20250717 04:04:27.000000,2714,1,114.5,114.5,114.5,114.5,1,114.5
MU, 20250717 04:04:28.000000,2729,1,114.5,114.5,114.5,114.5,2,114.5
MU, 20250717 04:04:29.000000,2737,1,114.44,114.45,114.4,114.44,1812,114.44
MU, 20250717 04:04:31.000000,2779,1,114.37,114.38,114.3,114.3,279,114.3
MU, 20250717 04:04:34.000000,2785,1,114.3,114.3,114.3,114.3,182,114.3
MU, 20250717 04:04:35.000000,2812,1,114.29,114.3,114.25,114.25,23,114.27
MU, 20250717 04:04:37.000000,2823,1,114.25,114.26,114.25,114.26,17,114.25
MU, 20250717 04:04:38.000000,2832,1,114.25,114.25,114.19,114.2,510,114.22
MU, 20250717 04:04:39.000000,2854,1,114.19,114.19,114.15,114.15,54,114.17
MU, 20250717 04:04:41.000000,2867,1,114.18,114.18,114.1,114.1,284,114.14
MU, 20250717 04:04:42.000000,2876,1,114.14,114.14,114.14,114.14,1,114.14
MU, 20250717 04:04:43.000000,2894,1,114.13,114.13,114,114,2347,114.02
MU, 20250717 04:04:44.000000,2904,1,113.99,114,113.95,113.95,1024,113.99
MU, 20250717 04:04:45.000000,2908,1,113.98,114.02,113.98,114.02,195,113.98
MU, 20250717 04:04:46.000000,2915,1,113.94,113.94,113.91,113.91,546,113.92
MU, 20250717 04:04:47.000000,2925,1,113.96,113.96,113.79,113.79,937,113.83
MU, 20250717 04:04:48.000000,2941,1,113.82,113.82,113.82,113.82,30,113.82
MU, 20250717 04:04:50.000000,2949,1,113.65,113.8,113.5,113.73,1607,113.64
MU, 20250717 04:04:51.000000,2956,1,113.7,113.7,113.7,113.7,3,113.7
MU, 20250717 04:04:53.000000,2967,1,113.71,113.71,113.71,113.71,43,113.71
MU, 20250717 04:04:54.000000,2971,1,113.68,113.68,113.6,113.6,100,113.65
MU, 20250717 04:04:55.000000,2980,1,113.71,113.73,113.69,113.69,200,113.7
MU, 20250717 04:04:56.000000,2988,1,113.53,113.68,113.26,113.33,2919,113.45
MU, 20250717 04:04:58.000000,3000,1,113.41,113.41,113.13,113.13,942,113.24
MU, 20250717 04:04:59.000000,3010,1,113.11,113.13,113.1,113.1,253,113.11
MU, 20250717 04:05:00.000000,3017,1,113.07,113.09,113,113,853,113.04
MU, 20250717 04:05:01.000000,3021,1,113.06,113.22,113.06,113.22,1901,113.07
MU, 20250717 04:05:02.000000,3028,1,113.31,113.31,113.19,113.19,84,113.2
MU, 20250717 04:05:03.000000,3042,1,113.29,113.29,113.29,113.29,18,113.29
MU, 20250717 04:05:06.000000,3044,1,113.36,113.36,113.23,113.23,51,113.36
MU, 20250717 04:05:07.000000,3058,1,113.22,113.22,113.2,113.2,376,113.2
MU, 20250717 04:05:09.000000,3068,1,113.21,113.25,113.21,113.25,726,113.25
MU, 20250717 04:05:10.000000,3080,1,113.32,113.36,113.32,113.36,109,113.36
MU, 20250717 04:05:13.000000,3087,1,113.36,113.48,113.36,113.48,67,113.36
MU, 20250717 04:05:14.000000,3096,1,113.36,113.36,113.3,113.3,27,113.32
MU, 20250717 04:05:15.000000,3105,1,113.47,113.48,113.47,113.48,84,113.47
MU, 20250717 04:05:16.000000,3111,1,113.48,113.66,113.48,113.66,408,113.58
MU, 20250717 04:05:17.000000,3121,1,113.59,113.67,113.59,113.67,500,113.61
MU, 20250717 04:05:19.000000,3134,1,113.69,113.69,113.69,113.69,87,113.69
MU, 20250717 04:05:21.000000,3147,1,113.75,113.77,113.75,113.77,240,113.75
MU, 20250717 04:05:23.000000,3158,1,113.64,113.64,113.64,113.64,1,113.64
MU, 20250717 04:05:25.000000,3162,1,113.74,113.74,113.74,113.74,1,113.74
MU, 20250717 04:05:26.000000,3168,1,113.74,113.74,113.74,113.74,10,113.74
MU, 20250717 04:05:27.000000,3197,1,113.62,113.62,113.59,113.59,22,113.6
MU, 20250717 04:05:31.000000,3198,1,113.72,113.72,113.72,113.72,275,113.72
MU, 20250717 04:05:32.000000,3208,1,113.79,113.79,113.72,113.72,55,113.73
MU, 20250717 04:05:33.000000,3223,1,113.72,113.73,113.59,113.59,980,113.66
MU, 20250717 04:05:35.000000,3226,1,113.72,113.73,113.72,113.73,41,113.73
MU, 20250717 04:05:36.000000,3237,1,113.61,113.62,113.59,113.61,297,113.61
MU, 20250717 04:05:37.000000,3248,1,113.61,114,113.61,114,1196,113.75
MU, 20250717 04:05:39.000000,3258,1,113.88,113.88,113.88,113.88,15,113.88
MU, 20250717 04:05:42.000000,3271,1,113.9,113.9,113.82,113.82,1100,113.82
MU, 20250717 04:05:45.000000,3279,1,113.82,113.82,113.82,113.82,9,113.82
MU, 20250717 04:05:46.000000,3282,1,113.94,113.94,113.94,113.94,23,113.94
MU, 20250717 04:05:47.000000,3287,1,113.9,113.92,113.9,113.92,6,113.92
MU, 20250717 04:05:48.000000,3296,1,113.82,113.82,113.82,113.82,53,113.82
MU, 20250717 04:05:49.000000,3299,1,113.85,113.85,113.85,113.85,20,113.85
MU, 20250717 04:05:50.000000,3312,1,113.92,113.92,113.92,113.92,50,113.92
MU, 20250717 04:05:51.000000,3340,1,113.97,113.97,113.97,113.97,50,113.97
MU, 20250717 04:05:55.000000,3345,1,113.95,113.95,113.9,113.9,379,113.92
