SymbolId,CurrentTime,Index,DayPatternId,DayPatternValue
MULN,20250717 00:00:00.000000,0,YGD,True
MULN,20250717 00:00:00.000000,0,YGD2,False
MULN,20250717 00:00:00.000000,0,YRD,False
MULN,20250717 00:00:00.000000,0,YRD2,False
MULN,20250717 00:00:00.000000,0,SSR2,False
MULN,20250717 00:00:00.000000,0,NR4,True
MULN,20250717 00:00:00.000000,0,NR5,True
MULN,20250717 00:00:00.000000,0,NR6,True
MULN,20250717 00:00:00.000000,0,NR7,True
MULN,20250717 00:00:00.000000,0,SGUS_ND,False
MULN,20250717 00:00:00.000000,0,SGUS,False
MULN,20250717 00:00:00.000000,0,NGUS,False
MULN,20250717 00:00:00.000000,0,SSR1,False
MULN,20250717 00:00:00.000000,0,GUS_21D_NR61,False
MULN,20250717 00:00:00.000000,0,YGD_AH,False
MULN,20250717 00:00:00.000000,0,RRG,False
MULN,20250717 00:00:00.000000,0,RRGG,False
MULN,20250717 00:00:00.000000,0,GpUp_PD123,False
