SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
MULN,20250717 04:01:01.000000,0,0.11,0.11,10038,10038,10038,10038,10038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11,0.11
MULN,20250717 04:02:03.000000,0,0.11,0.11,61755,71793,71793,71793,71793,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.11,0.11,0.1,0.11
MULN,20250717 04:03:17.000000,0,0.11,0.11,6910,78703,78703,78703,78703,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.1,0.11,0.11,0.1,0.11
MULN,20250717 04:04:23.000000,0,0.11,0.11,4550,83253,83253,83253,83253,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.1,0.11
MULN,20250717 04:05:06.000000,0,0.11,0.11,22979,106232,106232,106232,106232,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.1,0.11
MULN,20250717 04:06:06.000000,0,0.11,0.11,8327,104521,114559,114559,114559,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.1,0.11
MULN,20250717 04:07:03.000000,0,0.11,0.11,25899,68665,140458,140458,140458,0,0,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11,0.11
MULN,20250717 04:08:02.000000,0,0.11,0.11,38267,100022,178725,178725,178725,0,0,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11,0.11
MULN,20250717 04:09:49.000000,0,0.11,0.11,1652,97124,180377,180377,180377,0,0,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11,0.11
MULN,20250717 04:10:09.000000,0,0.11,0.11,53447,127592,233824,233824,233824,0,0,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0.11,0.11,0.11,0.11
