SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
MULN,20250717 04:00:06.884000,4727,22,32,0.11,EDGX,12545
MULN,20250717 04:00:23.365000,9041,3000,3032,0.11,EDGX,12545
MULN,20250717 04:00:23.365000,9042,50,3082,0.11,EDGX,12545
MULN,20250717 04:00:23.365000,9043,5896,8978,0.11,EDGX,12545
MULN,20250717 04:00:35.624000,11718,2,8980,0.11,EDGX,12545
MULN,20250717 04:00:45.269000,14466,1,8981,0.11,EDGX,12545
MULN,20250717 04:00:47.650000,15079,53,9034,0.11,EDGX,12545
MULN,20250717 04:00:50.710000,15840,396,10034,0.11,MEMX,12545
MULN,20250717 04:00:50.710000,15839,604,9638,0.11,EDGX,12545
MULN,20250717 04:00:57.220000,17735,14,10048,0.11,EDGX,12545
MULN,20250717 04:01:00.379000,18549,5,10053,0.11,EDGX,12545
MULN,20250717 04:01:01.428000,18934,2,10055,0.11,EDGX,12545
MULN,20250717 04:01:05.300000,20296,3,10058,0.11,EDGX,12545
MULN,20250717 04:01:07.014000,20685,1,10059,0.11,EDGX,12545
MULN,20250717 04:01:07.632000,20851,56,10115,0.11,EDGX,12545
MULN,20250717 04:01:08.604000,21162,100,10215,0.11,EDGX,12545
MULN,20250717 04:01:08.622000,21163,1550,11765,0.11,EDGX,12545
MULN,20250717 04:01:14.315000,22520,1,11766,0.11,NQEX,12545
MULN,20250717 04:01:18.801000,23734,2094,13860,0.11,PACF,12545
MULN,20250717 04:01:19.641000,23978,1,13861,0.11,NQEX,12545
MULN,20250717 04:01:21.417000,24451,3000,16861,0.11,EDGX,12545
MULN,20250717 04:01:21.417000,24453,5000,24210,0.11,EDGX,12545
MULN,20250717 04:01:21.417000,24452,2349,19210,0.11,EDGX,12545
MULN,20250717 04:01:21.420000,24460,78,27288,0.11,EDGX,12545
MULN,20250717 04:01:21.420000,24461,100,27388,0.11,EDGX,12545
MULN,20250717 04:01:21.420000,24459,3000,27210,0.11,EDGX,12545
MULN,20250717 04:01:21.423000,24463,3000,30388,0.11,EDGX,12545
MULN,20250717 04:01:21.423000,24464,310,30698,0.11,EDGX,12545
MULN,20250717 04:01:21.426000,24467,100,30908,0.11,MEMX,12545
MULN,20250717 04:01:21.426000,24465,110,30808,0.11,BATS,12545
MULN,20250717 04:01:21.427000,24472,1250,34225,0.11,NQEX,12545
MULN,20250717 04:01:21.427000,24473,83,34308,0.11,PACF,12545
MULN,20250717 04:01:21.427000,24474,1356,35664,0.11,PACF,12545
MULN,20250717 04:01:21.427000,24469,50,30965,0.11,NQEX,12545
MULN,20250717 04:01:21.427000,24470,10,30975,0.11,NQEX,12545
MULN,20250717 04:01:21.427000,24468,7,30915,0.11,NQEX,12545
MULN,20250717 04:01:21.427000,24471,2000,32975,0.11,NQEX,12545
MULN,20250717 04:01:21.430000,24475,66,35730,0.11,EDGX,12545
MULN,20250717 04:01:21.430000,24476,1250,36980,0.11,EDGX,12545
MULN,20250717 04:01:21.431000,24477,1356,38336,0.11,PACF,12545
MULN,20250717 04:01:21.433000,24479,1250,40942,0.11,NQEX,12545
MULN,20250717 04:01:21.433000,24478,1356,39692,0.11,EDGX,12545
MULN,20250717 04:01:21.435000,24484,1356,42298,0.11,EDGX,12545
MULN,20250717 04:01:21.436000,24485,1250,43548,0.11,NQEX,12545
MULN,20250717 04:01:21.438000,24487,1356,44904,0.11,NQEX,12545
MULN,20250717 04:01:21.438000,24488,1250,46154,0.11,NQEX,12545
MULN,20250717 04:01:21.441000,24492,1250,47404,0.11,NQEX,12545
MULN,20250717 04:01:21.441000,24493,1356,48760,0.11,EDGX,12545
MULN,20250717 04:01:21.444000,24494,1250,50010,0.11,EDGX,12545
MULN,20250717 04:01:21.444000,24495,1356,51366,0.11,NQEX,12545
MULN,20250717 04:01:21.447000,24497,1250,53972,0.11,EDGX,12545
MULN,20250717 04:01:21.447000,24496,1356,52722,0.11,MEMX,12545
MULN,20250717 04:01:21.449000,24499,1250,56472,0.11,EDGX,12545
MULN,20250717 04:01:21.449000,24498,1250,55222,0.11,NQEX,12545
MULN,20250717 04:01:21.452000,24501,1250,57828,0.11,PACF,12545
MULN,20250717 04:01:21.452000,24500,106,56578,0.11,EDGX,12545
MULN,20250717 04:01:21.455000,24502,1356,59184,0.11,EDGX,12545
MULN,20250717 04:01:21.462000,24504,1356,60540,0.11,EDGX,12545
