SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
MULN, 20250717 04:00:06.000000,190,1,0.11,0.11,0.11,0.11,22,0.11
MULN, 20250717 04:00:23.000000,279,1,0.11,0.11,0.11,0.11,8946,0.11
MULN, 20250717 04:00:35.000000,349,1,0.11,0.11,0.11,0.11,2,0.11
MULN, 20250717 04:00:45.000000,376,1,0.11,0.11,0.11,0.11,1,0.11
MULN, 20250717 04:00:47.000000,397,1,0.11,0.11,0.11,0.11,53,0.11
MULN, 20250717 04:00:50.000000,450,1,0.11,0.11,0.11,0.11,1000,0.11
MULN, 20250717 04:00:57.000000,474,1,0.11,0.11,0.11,0.11,14,0.11
MULN, 20250717 04:01:00.000000,488,1,0.11,0.11,0.11,0.11,5,0.11
MULN, 20250717 04:01:01.000000,533,1,0.11,0.11,0.11,0.11,2,0.11
MULN, 20250717 04:01:05.000000,552,1,0.11,0.11,0.11,0.11,3,0.11
MULN, 20250717 04:01:07.000000,569,1,0.11,0.11,0.11,0.11,57,0.11
MULN, 20250717 04:01:08.000000,627,1,0.11,0.11,0.11,0.11,1650,0.11
MULN, 20250717 04:01:14.000000,677,1,0.11,0.11,0.11,0.11,1,0.11
MULN, 20250717 04:01:18.000000,691,1,0.11,0.11,0.11,0.11,2094,0.11
MULN, 20250717 04:01:19.000000,715,1,0.11,0.11,0.11,0.11,1,0.11
MULN, 20250717 04:01:21.000000,723,1,0.11,0.11,0.11,0.11,46679,0.11
MULN, 20250717 04:01:22.000000,764,1,0.1,0.1,0.1,0.1,501,0.1
MULN, 20250717 04:01:25.000000,791,1,0.1,0.1,0.1,0.1,322,0.1
MULN, 20250717 04:01:27.000000,817,1,0.1,0.1,0.1,0.1,15,0.1
MULN, 20250717 04:01:29.000000,905,1,0.1,0.1,0.1,0.1,37,0.1
MULN, 20250717 04:01:36.000000,906,1,0.1,0.1,0.1,0.1,1,0.1
MULN, 20250717 04:01:37.000000,927,1,0.1,0.11,0.1,0.1,5001,0.1
MULN, 20250717 04:01:38.000000,942,1,0.1,0.1,0.1,0.1,41,0.1
