SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
NAOV,20250717 04:15:14.000000,0,0.94,0.94,50,50,50,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,0.94,0.94,0.94,0.94,0.94
NAOV,20250717 04:16:46.000000,0,0.94,0.94,50,50,100,100,100,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:19:10.000000,0,0.95,0.94,1,51,101,101,101,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:20:20.000000,0,0.95,0.94,6,57,57,107,107,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:21:27.000000,0,0.95,0.94,2,9,59,109,109,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:27:34.000000,0,0.96,0.95,2,10,61,111,111,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:32:10.000000,0,0.96,0.95,612,612,622,673,723,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:38:08.000000,0,0.96,0.95,2,2,614,624,725,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:39:01.000000,0,0.96,0.95,19,19,21,633,694,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:40:01.000000,0,0.96,0.95,22,41,43,655,716,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:41:01.000000,0,0.96,0.95,25,66,68,680,741,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:42:01.000000,0,0.96,0.96,26,92,94,706,767,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:43:02.000000,0,0.96,0.96,28,120,120,122,795,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:44:01.000000,0,0.96,0.96,22,123,142,144,817,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:45:01.000000,0,0.96,0.96,30,131,172,174,847,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
NAOV,20250717 04:46:02.000000,0,0.96,0.96,29,135,201,203,826,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0,0,0,0,0,0,0,0,0,0,0.03,3.09,0.03,3.09,0.97,0.97,0.97,0.97,0.97,0.97
