SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
NU,20250717 04:01:03.000000,0,13.85,13.85,69,69,69,69,69,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.85,13.85,13.87,13.87,13.85,13.87
NU,20250717 04:02:19.000000,0,13.85,13.85,257,326,326,326,326,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,13.86,13.85,13.87,13.87,13.85,13.87
NU,20250717 04:03:35.000000,0,13.85,13.85,128,454,454,454,454,0,0.07,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0,-0.07,0,0.07,0,0.07,0,0.07,0,0.07,0,0.07,0,0.07,13.86,13.86,13.86,13.87,13.85,13.87
NU,20250717 04:05:50.000000,0,13.85,13.85,1212,1666,1666,1666,1666,0,0.07,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0,0.07,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,0.01,0.14,13.87,13.86,13.87,13.87,13.85,13.87
NU,20250717 04:06:29.000000,0,13.86,13.85,1033,2630,2699,2699,2699,0.01,0.07,0.02,0.14,0.03,0.21,0.03,0.21,0.03,0.21,0.03,0.21,0,0,0.01,0.07,0.03,0.21,0.03,0.21,0.03,0.21,0.03,0.21,0.03,0.21,13.87,13.87,13.88,13.88,13.86,13.88
NU,20250717 04:13:27.000000,0,13.86,13.85,120,2493,2819,2819,2819,0.02,0.14,0.03,0.21,0.04,0.28,0.04,0.28,0.04,0.28,0.04,0.28,0,0.07,0.03,0.21,0.04,0.28,0.04,0.28,0.04,0.28,0.04,0.28,0.04,0.28,13.89,13.87,13.89,13.89,13.86,13.89
NU,20250717 04:18:14.000000,0,13.87,13.86,100,100,1253,2919,2919,0,0,0,0,0.04,0.28,0.04,0.28,0.04,0.28,0.04,0.28,0,0,0,0,0,0,0.03,0.21,0.03,0.21,0.03,0.21,0.03,0.21,13.88,13.88,13.88,13.88,13.88,13.88
NU,20250717 04:19:34.000000,0,13.87,13.86,308,308,408,1561,3227,0,0,0,0,0.02,0.14,0.04,0.28,0.04,0.28,0.04,0.28,0,0,0,0,0,0,0,0,0.03,0.21,0.03,0.21,0.03,0.21,13.88,13.88,13.88,13.88,13.88,13.88
NU,20250717 04:24:29.000000,0,13.86,13.86,820,1128,1228,2381,4047,0.02,0.14,0.02,0.14,0.03,0.21,0.04,0.28,0.04,0.28,0.04,0.28,-0.02,-0.14,-0.02,-0.14,-0.02,-0.14,-0.02,-0.14,0,0.07,0,0.07,0,0.07,13.86,13.86,13.87,13.88,13.86,13.88
NU,20250717 04:32:02.000000,0,13.86,13.86,700,700,1828,1928,4747,0,0.07,0,0.07,0.02,0.14,0.04,0.28,0.04,0.28,0.04,0.28,0,0,0,0,-0.01,-0.07,-0.01,-0.07,0.01,0.14,0.01,0.14,0.01,0.14,13.86,13.86,13.87,13.87,13.86,13.87
