SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
NU, 20250717 04:00:00.000000,463,1,13.86,13.86,13.86,13.86,20,13.86
NU, 20250717 04:00:59.000000,503,1,13.87,13.87,13.85,13.85,49,13.87
NU, 20250717 04:01:02.000000,536,1,13.86,13.86,13.86,13.86,228,13.86
NU, 20250717 04:01:05.000000,1139,1,13.86,13.86,13.86,13.86,24,13.86
NU, 20250717 04:01:59.000000,1345,1,13.87,13.87,13.87,13.87,5,13.87
NU, 20250717 04:02:18.000000,2156,1,13.86,13.86,13.86,13.86,128,13.86
NU, 20250717 04:03:34.000000,2169,1,13.87,13.87,13.87,13.87,1158,13.87
NU, 20250717 04:03:35.000000,3293,1,13.87,13.87,13.87,13.87,54,13.87
NU, 20250717 04:05:49.000000,3536,1,13.87,13.88,13.87,13.88,1033,13.88
NU, 20250717 04:06:28.000000,3618,1,13.89,13.89,13.89,13.89,60,13.89
NU, 20250717 04:06:43.000000,5639,1,13.89,13.89,13.89,13.89,60,13.89
NU, 20250717 04:13:26.000000,6848,1,13.88,13.88,13.88,13.88,100,13.88
NU, 20250717 04:18:13.000000,7161,1,13.88,13.88,13.88,13.88,308,13.88
NU, 20250717 04:19:33.000000,8205,1,13.86,13.87,13.86,13.86,820,13.86
NU, 20250717 04:24:28.000000,8243,1,13.86,13.86,13.86,13.86,432,13.86
NU, 20250717 04:24:36.000000,9765,1,13.87,13.87,13.87,13.87,268,13.87
NU, 20250717 04:32:01.000000,9812,1,13.84,13.84,13.84,13.84,21,13.84
NU, 20250717 04:32:15.000000,10579,1,13.89,13.89,13.89,13.89,250,13.89
NU, 20250717 04:36:11.000000,11275,1,13.9,13.9,13.9,13.9,10,13.9
NU, 20250717 04:39:40.000000,11779,1,13.87,13.89,13.87,13.89,305,13.89
NU, 20250717 04:42:03.000000,11919,1,13.86,13.86,13.86,13.86,50,13.86
NU, 20250717 04:42:44.000000,11953,1,13.86,13.86,13.86,13.86,800,13.86
NU, 20250717 04:42:54.000000,12101,1,13.9,13.9,13.89,13.9,72,13.9
NU, 20250717 04:43:41.000000,12322,1,13.86,13.86,13.86,13.86,1,13.86
NU, 20250717 04:44:43.000000,12637,1,13.87,13.87,13.87,13.87,2,13.87
NU, 20250717 04:46:13.000000,13448,1,13.83,13.87,13.73,13.87,1822,13.85
NU, 20250717 04:50:30.000000,13473,1,13.87,13.87,13.87,13.87,3,13.87
NU, 20250717 04:50:39.000000,13544,1,13.86,13.86,13.86,13.86,1,13.86
NU, 20250717 04:51:04.000000,13599,1,13.86,13.86,13.86,13.86,35,13.86
NU, 20250717 04:51:24.000000,13810,1,13.87,13.87,13.87,13.87,7,13.87
NU, 20250717 04:52:36.000000,14019,1,13.86,13.86,13.86,13.86,1,13.86
NU, 20250717 04:53:47.000000,14264,1,13.86,13.86,13.86,13.86,6,13.86
NU, 20250717 04:55:20.000000,15042,1,13.86,13.86,13.86,13.86,77,13.86
NU, 20250717 04:59:49.000000,16523,1,13.87,13.87,13.87,13.87,5,13.87
NU, 20250717 05:08:50.000000,16637,1,13.87,13.87,13.87,13.87,211,13.87
NU, 20250717 05:09:29.000000,17534,1,13.87,13.87,13.87,13.87,40,13.87
NU, 20250717 05:15:03.000000,18442,1,13.88,13.88,13.88,13.88,10,13.88
NU, 20250717 05:20:22.000000,18564,1,13.87,13.87,13.87,13.87,5,13.87
NU, 20250717 05:21:04.000000,18917,1,13.88,13.88,13.88,13.88,50,13.88
NU, 20250717 05:23:15.000000,20197,1,13.88,13.88,13.88,13.88,18,13.88
NU, 20250717 05:30:15.000000,21795,1,13.87,13.87,13.87,13.87,50,13.87
NU, 20250717 05:40:40.000000,23056,1,13.87,13.87,13.87,13.87,10,13.87
NU, 20250717 05:48:57.000000,23268,1,13.88,13.88,13.88,13.88,201,13.88
NU, 20250717 05:50:21.000000,23381,1,13.89,13.89,13.89,13.89,100,13.89
NU, 20250717 05:51:14.000000,23435,1,13.9,13.9,13.89,13.9,292,13.9
NU, 20250717 05:51:32.000000,24146,1,13.93,13.93,13.92,13.92,629,13.93
NU, 20250717 05:56:04.000000,24219,1,13.93,13.93,13.93,13.93,5,13.93
NU, 20250717 05:56:37.000000,24264,1,13.93,13.93,13.93,13.93,1,13.93
NU, 20250717 05:56:52.000000,24302,1,13.93,13.93,13.93,13.93,5,13.93
NU, 20250717 05:57:13.000000,24655,1,13.93,13.93,13.93,13.93,1,13.93
NU, 20250717 05:59:53.000000,24719,1,13.93,13.93,13.93,13.93,25,13.93
NU, 20250717 06:00:26.000000,24807,1,13.92,13.92,13.91,13.92,781,13.92
NU, 20250717 06:01:02.000000,24930,1,13.9,13.9,13.9,13.9,20,13.9
NU, 20250717 06:01:56.000000,25581,1,13.91,13.91,13.9,13.9,700,13.9
NU, 20250717 06:06:41.000000,26063,1,13.9,13.9,13.9,13.9,5,13.9
NU, 20250717 06:10:20.000000,27567,1,13.9,13.9,13.9,13.9,10,13.9
NU, 20250717 06:22:04.000000,29504,1,13.89,13.89,13.89,13.89,28,13.89
NU, 20250717 06:36:27.000000,30026,1,13.9,13.9,13.9,13.9,2,13.9
NU, 20250717 06:40:21.000000,30033,1,13.9,13.9,13.9,13.9,130,13.9
NU, 20250717 06:40:23.000000,31077,1,13.9,13.9,13.9,13.9,30,13.9
NU, 20250717 06:47:03.000000,31433,1,13.9,13.9,13.9,13.9,20,13.9
NU, 20250717 06:49:16.000000,31580,1,13.9,13.9,13.9,13.9,7,13.9
NU, 20250717 06:50:18.000000,31653,1,13.9,13.9,13.9,13.9,29,13.9
NU, 20250717 06:50:49.000000,32026,1,13.91,13.91,13.91,13.91,25,13.91
NU, 20250717 06:53:10.000000,32057,1,13.91,13.91,13.91,13.91,70,13.91
NU, 20250717 06:53:20.000000,32122,1,13.91,13.91,13.91,13.91,2,13.91
NU, 20250717 06:53:44.000000,32430,1,13.91,13.91,13.91,13.91,10,13.91
NU, 20250717 06:56:06.000000,32536,1,13.91,13.91,13.91,13.91,204,13.91
NU, 20250717 06:56:41.000000,32580,1,13.92,13.92,13.92,13.92,158,13.92
NU, 20250717 06:56:55.000000,33137,1,13.91,13.91,13.91,13.91,508,13.91
NU, 20250717 07:00:00.000000,33250,1,13.9,13.91,13.89,13.89,1266,13.9
NU, 20250717 07:00:15.000000,33668,1,13.88,13.88,13.88,13.88,10,13.88
NU, 20250717 07:01:41.000000,34198,1,13.88,13.88,13.88,13.88,50,13.88
NU, 20250717 07:04:09.000000,34567,1,13.88,13.88,13.88,13.88,50,13.88
NU, 20250717 07:05:48.000000,34787,1,13.88,13.88,13.88,13.88,98,13.88
