SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
NVDA,20250717 04:01:01.000000,0,172.53,172.53,68844,68844,68844,68844,68844,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,172,172.85,172.85,172,172.85
NVDA,20250717 04:02:01.000000,0,172.55,172.54,27493,96337,96337,96337,96337,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,0.12,0.06,172.53,172,172.7,172.85,172,172.85
NVDA,20250717 04:03:01.000000,0,172.6,172.56,22513,118850,118850,118850,118850,0.28,0.16,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.84,0.49,0.15,0.08,0.27,0.15,0.27,0.15,0.27,0.15,0.27,0.15,0.27,0.15,0.27,0.15,172.65,172.53,172.81,172.81,172,172.85
NVDA,20250717 04:04:01.000000,0,172.65,172.59,40914,159764,159764,159764,159764,0.34,0.2,1,0.57,1,0.57,1,0.57,1,0.57,1,0.57,0.06,0.04,0.34,0.19,0.34,0.19,0.34,0.19,0.34,0.19,0.34,0.19,0.34,0.19,172.74,172.65,173,173,172,173
NVDA,20250717 04:05:01.000000,0,172.68,172.61,24073,183837,183837,183837,183837,0.25,0.15,1,0.57,1,0.57,1,0.57,1,0.57,1,0.57,-0.06,-0.03,0.28,0.16,0.28,0.16,0.28,0.16,0.28,0.16,0.28,0.16,0.28,0.16,172.8,172.74,172.93,173,172,173
NVDA,20250717 04:06:01.000000,0,172.72,172.64,19026,134019,202863,202863,202863,0.14,0.08,0.46,0.27,1,0.57,1,0.57,1,0.57,1,0.57,0.09,0.05,0.25,0.14,0.37,0.21,0.37,0.21,0.37,0.21,0.37,0.21,0.37,0.21,172.79,172.79,172.91,172.93,172.53,173
NVDA,20250717 04:07:01.000000,0,172.76,172.66,17781,124307,220644,220644,220644,0.15,0.09,0.34,0.2,1,0.57,1,0.57,1,0.57,1,0.57,0,0,0.1,0.06,0.37,0.21,0.37,0.21,0.37,0.21,0.37,0.21,0.37,0.21,172.89,172.79,172.95,172.95,172.65,173
NVDA,20250717 04:08:01.000000,0,172.81,172.69,25100,126894,245744,245744,245744,0.11,0.06,0.25,0.15,1,0.57,1,0.57,1,0.57,1,0.57,0.08,0.04,0.12,0.06,0.46,0.26,0.46,0.26,0.46,0.26,0.46,0.26,0.46,0.26,172.9,172.89,173,173,172.74,173
NVDA,20250717 04:09:01.000000,0,172.83,172.72,24165,110145,269909,269909,269909,0.15,0.09,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,-0.04,-0.02,0.13,0.08,0.41,0.24,0.41,0.24,0.41,0.24,0.41,0.24,0.41,0.24,172.93,172.9,173.06,173.06,172.79,173.06
NVDA,20250717 04:10:01.000000,0,172.86,172.74,15934,102006,285843,285843,285843,0.15,0.09,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,0,0,0.04,0.02,0.41,0.24,0.41,0.24,0.41,0.24,0.41,0.24,0.41,0.24,172.9,172.9,172.96,173.06,172.79,173.06
NVDA,20250717 04:11:01.000000,0,172.88,172.76,13631,96611,230630,299474,299474,0.09,0.05,0.17,0.09,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,0.05,0.02,0.09,0.05,0.34,0.2,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,172.92,172.9,173,173,172.89,173.06
NVDA,20250717 04:12:02.000000,0,172.91,172.79,17912,96742,221049,317386,317386,0.12,0.06,0.15,0.09,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,0,0,0,0,0.19,0.11,0.46,0.27,0.46,0.27,0.46,0.27,0.46,0.27,172.96,172.92,173.04,173.04,172.9,173.06
NVDA,20250717 04:13:02.000000,0,172.92,172.8,11893,83535,210429,329279,329279,0.13,0.08,0.15,0.09,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,-0.02,-0.01,0.03,0.01,0.1,0.06,0.44,0.26,0.44,0.26,0.44,0.26,0.44,0.26,172.9,172.9,172.98,173.04,172.9,173.06
NVDA,20250717 04:14:02.000000,0,172.92,172.81,20966,80336,190481,350245,350245,0.12,0.06,0.13,0.08,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,-0.06,-0.04,-0.03,-0.02,0.09,0.05,0.37,0.21,0.37,0.21,0.37,0.21,0.37,0.21,172.9,172.9,173.02,173.02,172.9,173.04
NVDA,20250717 04:15:01.000000,0,172.89,172.81,27989,92391,194397,378234,378234,0.23,0.13,0.25,0.14,1.06,0.61,1.06,0.61,1.06,0.61,1.06,0.61,-0.1,-0.06,-0.19,-0.11,-0.09,-0.05,0.27,0.15,0.27,0.15,0.27,0.15,0.27,0.15,172.79,172.79,172.94,173.02,172.79,173.04
NVDA,20250717 04:16:02.000000,0,172.9,172.82,34168,112928,209539,343558,412402,0.18,0.1,0.25,0.14,0.53,0.3,1.06,0.61,1.06,0.61,1.06,0.61,0.12,0.07,-0.06,-0.04,0.02,0.01,0.28,0.16,0.4,0.23,0.4,0.23,0.4,0.23,172.79,172.79,172.97,172.97,172.79,173.04
NVDA,20250717 04:17:01.000000,0,172.9,172.83,14434,109450,206192,330499,426836,0.18,0.1,0.23,0.13,0.4,0.23,1.06,0.61,1.06,0.61,1.06,0.61,-0.03,-0.01,-0.07,-0.04,-0.09,-0.05,0.09,0.05,0.37,0.21,0.37,0.21,0.37,0.21,172.87,172.79,172.96,172.97,172.79,173.02
NVDA,20250717 04:18:02.000000,0,172.89,172.83,5940,103497,187032,313926,432776,0.14,0.08,0.23,0.13,0.31,0.18,1.06,0.61,1.06,0.61,1.06,0.61,-0.06,-0.03,-0.06,-0.04,-0.1,-0.06,-0.03,-0.01,0.31,0.17,0.31,0.17,0.31,0.17,172.82,172.82,172.92,172.96,172.79,173.02
NVDA,20250717 04:19:02.000000,0,172.87,172.83,9440,91971,172307,282452,442216,0.12,0.07,0.18,0.1,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,-0.02,-0.01,0.01,0.01,-0.12,-0.07,0,0,0.28,0.16,0.28,0.16,0.28,0.16,172.79,172.79,172.86,172.92,172.79,172.97
NVDA,20250717 04:20:01.000000,0,172.86,172.83,8380,72362,164753,266759,450596,0.07,0.04,0.18,0.1,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0.01,0,-0.09,-0.05,-0.16,-0.09,-0.06,-0.04,0.3,0.17,0.3,0.17,0.3,0.17,172.79,172.79,172.84,172.86,172.79,172.97
NVDA,20250717 04:21:04.000000,0,172.86,172.83,7135,45329,158257,254868,457731,0.06,0.03,0.17,0.09,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0,0,-0.06,-0.03,-0.15,-0.09,-0.06,-0.04,0.31,0.17,0.31,0.17,0.31,0.17,172.8,172.79,172.85,172.85,172.79,172.96
NVDA,20250717 04:22:02.000000,0,172.85,172.83,3233,34128,143578,240320,460964,0.04,0.02,0.12,0.07,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0,0,0,0,-0.13,-0.08,-0.15,-0.08,0.31,0.17,0.31,0.17,0.31,0.17,172.82,172.8,172.85,172.85,172.79,172.92
NVDA,20250717 04:23:01.000000,0,172.85,172.83,13738,41926,145423,228958,474702,0.06,0.04,0.09,0.05,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0.03,0.01,0.05,0.02,-0.03,-0.02,-0.07,-0.04,0.34,0.19,0.34,0.19,0.34,0.19,172.81,172.81,172.88,172.88,172.79,172.88
NVDA,20250717 04:24:09.000000,0,172.85,172.83,5509,37995,129966,210302,480211,0.07,0.04,0.09,0.05,0.25,0.14,1.06,0.61,1.06,0.61,1.06,0.61,0,0,0.03,0.01,0.06,0.03,-0.08,-0.05,0.33,0.19,0.33,0.19,0.33,0.19,172.84,172.81,172.89,172.89,172.79,172.89
NVDA,20250717 04:25:03.000000,0,172.83,172.83,5518,35133,107495,199886,485729,0.12,0.07,0.12,0.07,0.28,0.16,1.06,0.61,1.06,0.61,1.06,0.61,-0.1,-0.05,-0.08,-0.04,-0.17,-0.09,-0.24,-0.13,0.22,0.13,0.22,0.13,0.22,0.13,172.76,172.76,172.87,172.89,172.76,172.89
NVDA,20250717 04:26:03.000000,0,172.84,172.83,5016,33014,78343,191271,490745,0.11,0.06,0.12,0.07,0.28,0.16,1.06,0.61,1.06,0.61,1.06,0.61,0.1,0.05,0.02,0.01,-0.03,-0.02,-0.13,-0.08,0.33,0.19,0.33,0.19,0.33,0.19,172.76,172.76,172.86,172.87,172.76,172.89
NVDA,20250717 04:27:05.000000,0,172.86,172.84,11027,40808,74936,184386,501772,0.21,0.12,0.21,0.12,0.26,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0.1,0.06,0.09,0.05,0.12,0.07,0,0,0.43,0.25,0.43,0.25,0.43,0.25,172.86,172.76,172.97,172.97,172.76,172.97
NVDA,20250717 04:28:01.000000,0,172.87,172.85,9358,36428,78354,181851,511130,0.1,0.06,0.21,0.12,0.26,0.15,1.06,0.61,1.06,0.61,1.06,0.61,-0.06,-0.04,0.03,0.02,0.08,0.04,0,0,0.37,0.21,0.37,0.21,0.37,0.21,172.88,172.86,172.97,172.97,172.76,172.97
NVDA,20250717 04:29:01.000000,0,172.89,172.86,7867,38786,76781,168752,518997,0.09,0.05,0.21,0.12,0.21,0.12,1.06,0.61,1.06,0.61,1.06,0.61,0.06,0.04,0.21,0.12,0.13,0.08,0.16,0.09,0.43,0.25,0.43,0.25,0.43,0.25,172.9,172.88,172.97,172.97,172.76,172.97
NVDA,20250717 04:30:02.000000,0,172.91,172.87,9847,43115,78248,150610,528844,0.12,0.07,0.27,0.15,0.27,0.15,1.06,0.61,1.06,0.61,1.06,0.61,0.02,0.01,0.12,0.07,0.15,0.08,0.06,0.03,0.46,0.26,0.46,0.26,0.46,0.26,172.96,172.9,173.03,173.03,172.76,173.03
NVDA,20250717 04:31:01.000000,0,172.93,172.88,6322,44421,77435,122764,466322,0.06,0.04,0.16,0.09,0.27,0.15,0.53,0.3,1.06,0.61,1.06,0.61,0.01,0.01,0.03,0.02,0.16,0.09,0.1,0.06,0.35,0.2,0.47,0.27,0.47,0.27,172.98,172.96,173.01,173.03,172.86,173.03
NVDA,20250717 04:32:01.000000,0,172.94,172.9,9281,42675,83483,117611,448110,0.06,0.03,0.15,0.08,0.27,0.15,0.4,0.23,1.06,0.61,1.06,0.61,0,0,0.1,0.06,0.13,0.08,0.16,0.09,0.2,0.12,0.47,0.27,0.47,0.27,172.97,172.97,173.03,173.03,172.88,173.03
NVDA,20250717 04:33:01.000000,0,172.98,172.92,17887,51204,87632,129558,443484,0.16,0.09,0.23,0.13,0.37,0.21,0.39,0.23,1.13,0.65,1.13,0.65,0.1,0.05,0.14,0.08,0.25,0.14,0.29,0.16,0.24,0.13,0.58,0.33,0.58,0.33,173,172.97,173.14,173.14,172.9,173.14
NVDA,20250717 04:34:01.000000,0,173.01,172.94,27052,70389,109175,147170,429622,0.16,0.09,0.2,0.12,0.4,0.23,0.4,0.23,1.16,0.67,1.16,0.67,0.02,0.01,0.14,0.08,0.37,0.21,0.3,0.17,0.32,0.19,0.6,0.35,0.6,0.35,173.1,173,173.17,173.17,172.96,173.17
NVDA,20250717 04:35:01.000000,0,173.04,172.96,13523,74065,117180,152313,419072,0.09,0.05,0.22,0.13,0.43,0.25,0.43,0.25,1.19,0.69,1.19,0.69,0.04,0.02,0.17,0.09,0.31,0.18,0.34,0.19,0.28,0.16,0.65,0.37,0.65,0.37,173.14,173.1,173.2,173.2,172.97,173.2
