SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
NVDA, 20250717 04:00:00.000000,4,1,172.66,172.85,172,172.37,31163,172.28
NVDA, 20250717 04:00:01.000000,30,1,172.38,172.39,172.23,172.24,611,172.33
NVDA, 20250717 04:00:02.000000,31,1,172.23,172.38,172.23,172.38,48,172.37
NVDA, 20250717 04:00:03.000000,45,1,172.38,172.39,172.28,172.28,575,172.36
NVDA, 20250717 04:00:04.000000,52,1,172.39,172.39,172.31,172.31,182,172.33
NVDA, 20250717 04:00:05.000000,61,1,172.31,172.31,172.23,172.31,325,172.28
NVDA, 20250717 04:00:06.000000,75,1,172.39,172.39,172.27,172.39,365,172.36
NVDA, 20250717 04:00:07.000000,85,1,172.26,172.26,172.26,172.26,7,172.26
NVDA, 20250717 04:00:08.000000,93,1,172.26,172.36,172.25,172.25,401,172.29
NVDA, 20250717 04:00:09.000000,112,1,172.24,172.26,172.24,172.25,1349,172.25
NVDA, 20250717 04:00:12.000000,119,1,172.35,172.35,172.25,172.25,506,172.3
NVDA, 20250717 04:00:13.000000,126,1,172.35,172.35,172.35,172.35,176,172.35
NVDA, 20250717 04:00:14.000000,132,1,172.11,172.31,172.07,172.28,4577,172.19
NVDA, 20250717 04:00:15.000000,133,1,172.29,172.29,172.29,172.29,116,172.29
NVDA, 20250717 04:00:16.000000,141,1,172.27,172.32,172.27,172.32,1098,172.29
NVDA, 20250717 04:00:17.000000,152,1,172.29,172.29,172.29,172.29,200,172.29
NVDA, 20250717 04:00:18.000000,155,1,172.26,172.26,172.16,172.16,2402,172.23
NVDA, 20250717 04:00:19.000000,160,1,172.16,172.16,172.16,172.16,3,172.16
NVDA, 20250717 04:00:20.000000,170,1,172.21,172.21,172.21,172.21,105,172.21
NVDA, 20250717 04:00:21.000000,180,1,172.24,172.24,172.23,172.23,155,172.24
NVDA, 20250717 04:00:22.000000,188,1,172.15,172.21,172.14,172.21,594,172.17
NVDA, 20250717 04:00:23.000000,197,1,172.24,172.29,172.2,172.2,2186,172.22
NVDA, 20250717 04:00:24.000000,201,1,172.21,172.21,172.21,172.21,8,172.21
NVDA, 20250717 04:00:25.000000,208,1,172.24,172.28,172.22,172.22,462,172.24
NVDA, 20250717 04:00:26.000000,214,1,172.25,172.36,172.22,172.36,1037,172.31
NVDA, 20250717 04:00:27.000000,223,1,172.29,172.37,172.21,172.29,2914,172.26
NVDA, 20250717 04:00:28.000000,227,1,172.24,172.24,172.24,172.24,100,172.24
NVDA, 20250717 04:00:29.000000,249,1,172.29,172.4,172.29,172.36,443,172.31
NVDA, 20250717 04:00:32.000000,256,1,172.37,172.39,172.35,172.35,185,172.37
NVDA, 20250717 04:00:33.000000,272,1,172.35,172.39,172.33,172.39,220,172.37
NVDA, 20250717 04:00:34.000000,275,1,172.35,172.35,172.31,172.31,233,172.31
NVDA, 20250717 04:00:35.000000,285,1,172.39,172.39,172.31,172.31,332,172.37
NVDA, 20250717 04:00:36.000000,288,1,172.4,172.4,172.38,172.38,240,172.39
