SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
ONCO,20250717 04:01:28.000000,0,3.56,3.56,172,172,172,172,172,0.31,8.7,0.31,8.7,0.31,8.7,0.31,8.7,0.31,8.7,0.31,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,3.55,3.86,3.86,3.55,3.86
ONCO,20250717 04:02:58.000000,0,3.61,3.58,2,174,174,174,174,0.31,8.05,0.31,8.05,0.31,8.05,0.31,8.05,0.31,8.05,0.31,8.05,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,3.85,3.55,3.85,3.86,3.55,3.86
ONCO,20250717 04:03:31.000000,0,3.62,3.59,11,185,185,185,185,0.22,6.06,0.31,8.53,0.31,8.53,0.31,8.53,0.31,8.53,0.31,8.53,-0.22,-6.06,0.06,1.92,0.06,1.92,0.06,1.92,0.06,1.92,0.06,1.92,0.06,1.92,3.63,3.63,3.63,3.85,3.55,3.86
ONCO,20250717 04:04:10.000000,0,3.66,3.61,1477,1662,1662,1662,1662,0.37,9.61,0.45,11.68,0.45,11.68,0.45,11.68,0.45,11.68,0.45,11.68,0.22,5.71,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,0.29,7.53,3.83,3.63,4,4,3.55,4
ONCO,20250717 04:05:11.000000,0,3.69,3.63,105,1767,1767,1767,1767,0.33,8.68,0.45,11.84,0.45,11.84,0.45,11.84,0.45,11.84,0.45,11.84,-0.05,-1.31,0.23,6.31,0.23,6.31,0.23,6.31,0.23,6.31,0.23,6.31,0.23,6.31,3.67,3.67,3.8,4,3.55,4
ONCO,20250717 04:07:13.000000,0,3.68,3.63,97,1692,1864,1864,1864,0.12,3.54,0.37,10.08,0.45,12.26,0.45,12.26,0.45,12.26,0.45,12.26,-0.12,-3.54,-0.18,-4.9,0.1,2.99,0.1,2.99,0.1,2.99,0.1,2.99,0.1,2.99,3.67,3.67,3.8,3.8,3.63,4
ONCO,20250717 04:10:38.000000,0,3.68,3.64,50,1729,1914,1914,1914,0.03,0.81,0.33,8.99,0.45,12.26,0.45,12.26,0.45,12.26,0.45,12.26,0,0,-0.18,-4.9,0.1,2.99,0.1,2.99,0.1,2.99,0.1,2.99,0.1,2.99,3.67,3.67,3.7,3.7,3.67,4
ONCO,20250717 04:12:42.000000,0,3.64,3.62,5351,5401,7093,7265,7265,0.19,5.41,0.19,5.41,0.49,13.96,0.49,13.96,0.49,13.96,0.49,13.96,0,0,-0.16,-4.55,-0.34,-9.68,-0.05,-1.42,-0.05,-1.42,-0.05,-1.42,-0.05,-1.42,3.51,3.51,3.7,3.7,3.51,3.7
ONCO,20250717 04:13:09.000000,0,3.62,3.61,1522,6873,8602,8787,8787,0.16,4.82,0.19,5.39,0.49,13.92,0.49,13.92,0.49,13.92,0.49,13.92,0,0,0.01,0.28,-0.33,-9.37,-0.04,-1.13,-0.04,-1.13,-0.04,-1.13,-0.04,-1.13,3.52,3.52,3.69,3.69,3.51,3.7
ONCO,20250717 04:14:23.000000,0,3.63,3.62,303,7176,7428,9090,9090,0.16,4.61,0.19,5.16,0.49,13.31,0.49,13.31,0.49,13.31,0.49,13.31,0.16,4.34,0.17,4.61,-0.11,-3.26,0.12,3.26,0.12,3.26,0.12,3.26,0.12,3.26,3.52,3.52,3.68,3.69,3.51,3.7
