SymbolId,CurrentTime,Index,CurrentPrice,VWAP,ReportedVolume,PreMarketVolume,AllExchangesVolume,DollarVolume,TodaysHigh,TodaysLow,PreMarketOpen,PreMarketHigh,PreMarketLow,PreMarketClose,PreMarketOpenGap,PreMarketOpenGapPerc,PreMarketMaxGapUp,PreMarketMaxGapUpPerc,PreMarketMaxGapDn,PreMarketMaxGapDnPerc,PreMarketHighTime,PreMarketLowTime,PreMarketCurrentGap,PreMarketCurrentGapPerc,IntradayMarketOpen,IntradayMarketHigh,IntradayMarketLow,IntradayMarketClose,IntradayOpenGap,IntradayOpenGapPerc,IntradayCurrentMarketGap,IntradayCurrentMarketGapPerc,P_IntradayCurrentMarketGapPerc,IntradayMarketMaxGapUp,IntradayMarketMaxGapUpPerc,IntradayMarketMaxGapDn,IntradayMarketMaxGapDnPerc,IntradayMarketHighTime,IntradayMarketLowTime,AllExchangesVolume_FloatShares_Ratio,RVol,YRVol,R_YRV_Ratio,RVolDayOffset,Vol1Min_AEV_Ratio,Vol5Min_AEV_Ratio,VolumeRank,MktType,RollingAverageBidAskSpread,BidAskSpread,Quartile_PMHL,Quartile_PDHL,GapDnPercRank,GapUpPerc,RankPmhDistance,PmlDistance,PdhDistance,PdlDistance,PdcDistance,VwapDistance,CurrentMarketGapPerc,TodayMaxGapDnPercentage,TodayMaxGapUpPercentage,PreMarketGapDownCushionRatio,PreMarketGapPotentialRatio,TodayGapDownCushionRatio,TodayGapPotentialRatio
ONCO,20250717 04:00:17.000000,0,3.86,3.86,39,39,39,150,3.86,3.86,3.86,3.86,3.86,3.86,0.35,9.97,0.35,9.97,-21474836.48,-21474836.48,07/17/2025 04:00:17,07/17/2025 04:00:17,0.35,9.97,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,0,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0,0,0,0,Bull250,0,0,Q4,Q4,0,0,-21474836.48,-21474836.48,3.39,-0.69,-0.35,0,9.97,-21474836.48,-21474836.48,-21474836.48,0,-21474836.48,-21474836.48
ONCO,20250717 04:00:23.000000,0,3.56,3.64,172,172,172,612,3.86,3.55,3.86,3.86,3.55,3.56,0.35,9.97,0.35,9.97,-21474836.48,-21474836.48,07/17/2025 04:00:17,07/17/2025 04:00:23,0.05,1.42,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-7.77,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0,0,0,0,Bull250,0,0,Q4,Q4,0,0,0.29,0.29,3.69,-0.39,-0.05,0.08,1.42,-21474836.48,-21474836.48,-21474836.48,5.99,-21474836.48,-21474836.48
ONCO,20250717 04:01:28.000000,0,3.85,3.64,174,174,174,669,3.86,3.55,3.86,3.86,3.55,3.85,0.35,9.97,0.35,9.97,-21474836.48,-21474836.48,07/17/2025 04:00:17,07/17/2025 04:00:23,0.34,9.68,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-0.25,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0,98.85,98.85,0,Bull250,0,0,Q1,Q4,0,0,0,-0.3,3.4,-0.69,-0.34,-0.2,9.68,-21474836.48,-21474836.48,-21474836.48,0.02,-21474836.48,-21474836.48
ONCO,20250717 04:02:58.000000,0,3.63,3.64,185,185,185,671,3.86,3.55,3.86,3.86,3.55,3.63,0.35,9.97,0.35,9.97,-21474836.48,-21474836.48,07/17/2025 04:00:17,07/17/2025 04:00:23,0.12,3.41,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-5.95,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0,1.08,94.05,0,Bull250,0,0,Q3,Q4,0,0,0.23,-0.08,3.62,-0.46,-0.12,0.01,3.41,-21474836.48,-21474836.48,-21474836.48,1.91,-21474836.48,-21474836.48
ONCO,20250717 04:03:31.000000,0,3.85,3.88,1662,1662,1662,6398,4,3.55,3.86,4,3.55,3.85,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.34,9.68,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-0.25,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,0.66,11.13,0,Bull250,0,0,Q2,Q4,0,0,0,-0.3,3.4,-0.69,-0.34,0.03,9.68,-21474836.48,-21474836.48,-21474836.48,0.44,-21474836.48,-21474836.48
ONCO,20250717 04:04:10.000000,0,3.7,3.87,1762,1762,1762,6519,4,3.55,3.86,4,3.55,3.7,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.19,5.41,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-4.14,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,83.82,94.32,0,Bull250,0,0,Q3,Q4,0,0,0.29,-0.15,3.55,-0.54,-0.19,0.17,5.41,-21474836.48,-21474836.48,-21474836.48,1.57,-21474836.48,-21474836.48
ONCO,20250717 04:04:34.000000,0,3.8,3.87,1767,1767,1767,6714,4,3.55,3.86,4,3.55,3.8,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.29,8.26,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-1.55,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,83.58,94.05,0,Bull250,0,0,Q2,Q4,0,0,0.2,-0.25,3.45,-0.63,-0.29,0.07,8.26,-21474836.48,-21474836.48,-21474836.48,0.68,-21474836.48,-21474836.48
ONCO,20250717 04:05:11.000000,0,3.8,3.87,1817,1817,1817,6904,4,3.55,3.86,4,3.55,3.8,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.29,8.26,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-1.55,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,5.77,97.24,0,Bull250,0,0,Q2,Q4,0,0,0.2,-0.25,3.45,-0.63,-0.29,0.07,8.26,-21474836.48,-21474836.48,-21474836.48,0.68,-21474836.48,-21474836.48
ONCO,20250717 04:05:26.000000,0,3.8,3.87,1824,1824,1824,6931,4,3.55,3.86,4,3.55,3.8,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.29,8.26,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-1.55,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,5.75,96.87,0,Bull250,0,0,Q2,Q4,0,0,0.2,-0.25,3.45,-0.63,-0.29,0.07,8.26,-21474836.48,-21474836.48,-21474836.48,0.68,-21474836.48,-21474836.48
ONCO,20250717 04:05:35.000000,0,3.67,3.87,1864,1864,1864,6840,4,3.55,3.86,4,3.55,3.67,0.35,9.97,0.49,13.96,-21474836.48,-21474836.48,07/17/2025 04:03:31,07/17/2025 04:00:23,0.16,4.55,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-21474836.48,-4.92,-21474836.48,-21474836.48,-21474836.48,-21474836.48,07/17/2025 09:30:00,07/17/2025 09:30:00,0,0,37.95,0,0.03,5.63,94.79,0,Bull250,0,0,Q3,Q4,0,0,0.33,-0.12,3.58,-0.5,-0.16,0.2,4.55,-21474836.48,-21474836.48,-21474836.48,2.06,-21474836.48,-21474836.48
