SymbolId,TradeTime,Index,Size,TotalVolume,Price,ReportingExchange,TradeCondition
ONCO,20250717 04:00:16.773000,7494,39,39,3.86,EDGX,12545
ONCO,20250717 04:00:22.879000,8946,11,50,3.86,EDGX,12545
ONCO,20250717 04:00:22.879000,8948,121,172,3.55,EDGX,12545
ONCO,20250717 04:00:22.879000,8947,1,51,3.56,EDGX,12545
ONCO,20250717 04:01:27.887000,26386,2,174,3.85,EDGX,12545
ONCO,20250717 04:02:57.846000,51109,11,185,3.63,EDGX,12545
ONCO,20250717 04:03:30.460000,60194,300,485,3.83,EDGX,12545
ONCO,20250717 04:03:30.460000,60200,200,1159,4,EDGX,12545
ONCO,20250717 04:03:30.460000,60199,100,959,4,EDGX,12545
ONCO,20250717 04:03:30.460000,60198,66,859,3.99,EDGX,12545
ONCO,20250717 04:03:30.460000,60197,10,793,3.87,EDGX,12545
ONCO,20250717 04:03:30.460000,60202,22,1181,3.84,MEMX,12545
ONCO,20250717 04:03:30.460000,60196,100,783,3.85,EDGX,12545
ONCO,20250717 04:03:30.460000,60195,198,683,3.85,EDGX,12545
ONCO,20250717 04:03:30.460000,60204,25,1206,3.84,MEMX,12545
ONCO,20250717 04:03:30.461000,60210,253,1497,3.97,PACF,12545
ONCO,20250717 04:03:30.461000,60211,111,1608,3.99,PACF,12545
ONCO,20250717 04:03:30.461000,60208,13,1244,3.86,MEMX,12545
ONCO,20250717 04:03:30.461000,60207,11,1231,3.85,BATS,12545
ONCO,20250717 04:03:30.461000,60206,11,1220,3.85,EDGX,12545
ONCO,20250717 04:03:30.461000,60212,54,1662,4,PACF,12545
ONCO,20250717 04:03:30.461000,60205,3,1209,3.85,NQEX,12545
ONCO,20250717 04:04:09.399000,71123,37,1762,3.67,PACF,12545
ONCO,20250717 04:04:09.399000,71121,14,1686,3.7,PACF,12545
ONCO,20250717 04:04:09.399000,71122,39,1725,3.7,PACF,12545
ONCO,20250717 04:04:09.399000,71120,10,1672,3.7,PACF,12545
ONCO,20250717 04:04:33.887000,76619,5,1767,3.8,PACF,12545
ONCO,20250717 04:05:10.658000,84737,50,1817,3.8,PACF,12545
ONCO,20250717 04:05:25.901000,87477,7,1824,3.8,PACF,12545
ONCO,20250717 04:05:34.260000,89109,40,1864,3.67,NQEX,12545
ONCO,20250717 04:07:12.000000,107332,10,1874,3.7,EDGX,12545
ONCO,20250717 04:07:12.002000,107333,40,1914,3.67,EDGX,12545
ONCO,20250717 04:10:37.370000,141789,15,1929,3.7,MEMX,12545
ONCO,20250717 04:10:37.371000,141790,89,2018,3.67,EDGX,12545
ONCO,20250717 04:10:37.373000,141791,86,2104,3.63,EDGX,12545
ONCO,20250717 04:10:37.373000,141792,5,2109,3.63,EDGX,12545
ONCO,20250717 04:10:37.375000,141805,1,3045,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141804,7,3044,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141803,6,3037,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141801,7,2952,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141800,45,2945,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141799,45,2900,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141798,299,2855,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141797,1,2556,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141796,6,2555,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141795,45,2549,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141806,220,3265,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141808,45,3322,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141807,12,3277,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141819,1,3381,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141818,1,3380,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141817,1,3379,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141816,1,3378,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141815,5,3377,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141814,1,3372,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141812,6,3365,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141811,2,3359,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141810,33,3357,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141809,2,3324,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141813,6,3371,3.61,PACF,12545
ONCO,20250717 04:10:37.375000,141794,295,2504,3.61,PACF,12545
