SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
ONCO, 20250717 04:00:16.000000,184,1,3.86,3.86,3.86,3.86,39,3.86
ONCO, 20250717 04:00:22.000000,794,1,3.86,3.86,3.55,3.56,133,3.58
ONCO, 20250717 04:01:27.000000,1766,1,3.85,3.85,3.85,3.85,2,3.85
ONCO, 20250717 04:02:57.000000,2117,1,3.63,3.63,3.63,3.63,11,3.63
ONCO, 20250717 04:03:30.000000,2535,1,3.83,4,3.83,3.85,1477,3.92
ONCO, 20250717 04:04:09.000000,2769,1,3.67,3.7,3.67,3.7,100,3.69
ONCO, 20250717 04:04:33.000000,3069,1,3.8,3.8,3.8,3.8,5,3.8
ONCO, 20250717 04:05:10.000000,3157,1,3.8,3.8,3.8,3.8,50,3.8
ONCO, 20250717 04:05:25.000000,3213,1,3.8,3.8,3.8,3.8,7,3.8
ONCO, 20250717 04:05:34.000000,3756,1,3.67,3.67,3.67,3.67,40,3.67
ONCO, 20250717 04:07:12.000000,4886,1,3.7,3.7,3.67,3.67,50,3.68
ONCO, 20250717 04:10:37.000000,4906,1,3.7,3.7,3.61,3.61,1567,3.62
ONCO, 20250717 04:10:42.000000,4977,1,3.6,3.6,3.6,3.6,20,3.6
ONCO, 20250717 04:10:58.000000,5437,1,3.57,3.57,3.51,3.51,3764,3.53
ONCO, 20250717 04:12:41.000000,5440,1,3.69,3.69,3.69,3.69,2,3.69
ONCO, 20250717 04:12:43.000000,5464,1,3.52,3.52,3.52,3.52,935,3.52
ONCO, 20250717 04:12:48.000000,5472,1,3.52,3.52,3.52,3.52,75,3.52
ONCO, 20250717 04:12:50.000000,5474,1,3.52,3.52,3.52,3.52,10,3.52
ONCO, 20250717 04:12:51.000000,5487,1,3.52,3.52,3.52,3.52,200,3.52
ONCO, 20250717 04:12:54.000000,5495,1,3.52,3.52,3.52,3.52,100,3.52
ONCO, 20250717 04:12:55.000000,5557,1,3.52,3.52,3.52,3.52,200,3.52
ONCO, 20250717 04:13:08.000000,5621,1,3.52,3.6,3.52,3.6,253,3.52
ONCO, 20250717 04:13:22.000000,5877,1,3.68,3.68,3.68,3.68,50,3.68
ONCO, 20250717 04:14:22.000000,6336,1,3.65,3.65,3.65,3.65,20,3.65
ONCO, 20250717 04:16:12.000000,6362,1,3.5,3.53,3.5,3.52,687,3.51
ONCO, 20250717 04:16:18.000000,6377,1,3.5,3.5,3.5,3.5,149,3.5
ONCO, 20250717 04:16:22.000000,6746,1,3.5,3.5,3.5,3.5,65,3.5
ONCO, 20250717 04:17:48.000000,7259,1,3.5,3.5,3.5,3.5,20,3.5
ONCO, 20250717 04:19:58.000000,7275,1,3.5,3.5,3.5,3.5,119,3.5
ONCO, 20250717 04:20:01.000000,7884,1,3.65,3.65,3.65,3.65,1,3.65
ONCO, 20250717 04:22:51.000000,8138,1,3.52,3.52,3.52,3.52,40,3.52
ONCO, 20250717 04:24:07.000000,8538,1,3.52,3.52,3.52,3.52,12,3.52
ONCO, 20250717 04:25:57.000000,8646,1,3.52,3.52,3.52,3.52,10,3.52
ONCO, 20250717 04:26:33.000000,9226,1,3.53,3.53,3.53,3.53,113,3.53
ONCO, 20250717 04:29:36.000000,10308,1,3.62,3.62,3.62,3.62,10,3.62
ONCO, 20250717 04:34:49.000000,13190,1,3.52,3.52,3.52,3.52,2,3.52
ONCO, 20250717 04:49:04.000000,13768,1,3.52,3.52,3.52,3.52,3,3.52
ONCO, 20250717 04:52:22.000000,13831,1,3.53,3.53,3.53,3.53,6,3.53
ONCO, 20250717 04:52:45.000000,13894,1,3.53,3.53,3.53,3.53,1,3.53
ONCO, 20250717 04:53:06.000000,14225,1,3.53,3.53,3.53,3.53,26,3.53
ONCO, 20250717 04:55:02.000000,14755,1,3.76,3.76,3.76,3.76,97,3.76
ONCO, 20250717 04:58:06.000000,14773,1,3.73,3.73,3.73,3.73,1,3.73
ONCO, 20250717 04:58:16.000000,14808,1,3.72,3.72,3.72,3.72,3,3.72
ONCO, 20250717 04:58:27.000000,14988,1,3.7,3.7,3.7,3.7,4,3.7
ONCO, 20250717 04:59:29.000000,15013,1,3.69,3.69,3.69,3.69,5,3.69
ONCO, 20250717 04:59:37.000000,15079,1,3.67,3.67,3.67,3.67,5,3.67
ONCO, 20250717 05:00:02.000000,15128,1,3.65,3.65,3.65,3.65,5,3.65
ONCO, 20250717 05:00:21.000000,15157,1,3.63,3.63,3.63,3.63,5,3.63
ONCO, 20250717 05:00:30.000000,15334,1,3.54,3.54,3.53,3.53,150,3.53
ONCO, 20250717 05:01:31.000000,15576,1,3.54,3.54,3.54,3.54,9,3.54
ONCO, 20250717 05:03:08.000000,15902,1,3.65,3.65,3.65,3.65,10,3.65
ONCO, 20250717 05:05:05.000000,16126,1,3.64,3.65,3.63,3.65,51,3.64
ONCO, 20250717 05:06:22.000000,16159,1,3.64,3.64,3.64,3.64,1,3.64
ONCO, 20250717 05:06:34.000000,16195,1,3.64,3.64,3.64,3.64,1,3.64
