SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
PFE,20250717 04:01:01.000000,0,24.64,24.64,779,779,779,779,779,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.64,24.64,24.69,24.69,24.64,24.69
PFE,20250717 04:02:01.000000,0,24.64,24.64,715,1494,1494,1494,1494,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.63,24.63,24.67,24.69,24.63,24.69
PFE,20250717 04:03:14.000000,0,24.64,24.64,625,2119,2119,2119,2119,0.04,0.16,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.63,24.63,24.65,24.67,24.63,24.69
PFE,20250717 04:04:02.000000,0,24.64,24.64,25,2144,2144,2144,2144,0.01,0.08,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.64,24.63,24.65,24.65,24.63,24.69
PFE,20250717 04:05:09.000000,0,24.64,24.64,284,2428,2428,2428,2428,0,0.04,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.64,24.64,24.65,24.65,24.63,24.69
PFE,20250717 04:06:11.000000,0,24.64,24.64,46,1695,2474,2474,2474,0,0.04,0.04,0.16,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.64,24.64,24.65,24.65,24.63,24.67
PFE,20250717 04:07:31.000000,0,24.64,24.64,58,1038,2532,2532,2532,0,0.04,0.01,0.08,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.64,24.64,24.65,24.65,24.63,24.65
PFE,20250717 04:08:06.000000,0,24.64,24.64,49,462,2581,2581,2581,0,0.04,0,0.04,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.65,24.64,24.65,24.65,24.64,24.65
PFE,20250717 04:09:34.000000,0,24.64,24.64,646,1083,3227,3227,3227,0,0.04,0,0.04,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0,0,0,0,0,0.04,0,0.04,0,0.04,0,0.04,0,0.04,24.64,24.64,24.65,24.65,24.64,24.65
PFE,20250717 04:10:24.000000,0,24.65,24.64,1671,2470,4898,4898,4898,0.01,0.08,0.01,0.08,0.06,0.24,0.06,0.24,0.06,0.24,0.06,0.24,0.01,0.04,0.01,0.04,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,0.01,0.08,24.65,24.64,24.66,24.66,24.64,24.66
PFE,20250717 04:11:26.000000,0,24.65,24.64,7180,9604,11299,12078,12078,0.05,0.2,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,0.01,0.04,0.02,0.08,0.03,0.12,0.03,0.12,0.03,0.12,0.03,0.12,0.03,0.12,24.66,24.65,24.7,24.7,24.64,24.7
PFE,20250717 04:12:31.000000,0,24.65,24.65,160,9706,10744,12238,12238,0.03,0.16,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0.02,0.08,0.02,0.08,0.03,0.12,0.03,0.12,0.03,0.12,0.03,0.12,24.67,24.66,24.67,24.7,24.64,24.7
PFE,20250717 04:13:46.000000,0,24.66,24.65,316,9973,10435,12554,12554,0.01,0.08,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,0.01,0.08,0.04,0.16,0.04,0.16,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2,24.67,24.67,24.69,24.69,24.64,24.7
PFE,20250717 04:14:25.000000,0,24.66,24.65,202,9529,10612,12756,12756,0.01,0.08,0.05,0.2,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,-0.01,-0.04,0.01,0.08,0.03,0.12,0.03,0.16,0.03,0.16,0.03,0.16,0.03,0.16,24.68,24.67,24.68,24.69,24.65,24.7
PFE,20250717 04:16:10.000000,0,24.67,24.66,7,7865,10335,12763,12763,0.01,0.04,0.03,0.16,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,0.01,0.04,0.01,0.08,0.04,0.16,0.05,0.2,0.05,0.2,0.05,0.2,0.05,0.2,24.69,24.68,24.69,24.69,24.66,24.7
PFE,20250717 04:17:37.000000,0,24.67,24.66,326,851,10557,11595,13089,0.01,0.08,0.02,0.12,0.07,0.28,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0,0.04,0.05,0.2,0.05,0.2,0.05,0.24,0.05,0.24,0.05,0.24,24.68,24.68,24.7,24.7,24.67,24.7
PFE,20250717 04:18:36.000000,0,24.68,24.66,30,565,10538,11000,13119,0.01,0.08,0.01,0.08,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0.01,0.08,0.05,0.2,0.05,0.2,0.05,0.24,0.05,0.24,0.05,0.24,24.7,24.68,24.7,24.7,24.68,24.7
PFE,20250717 04:19:21.000000,0,24.68,24.66,318,681,10210,11293,13437,0,0.04,0.01,0.08,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0,-0.04,0,0,0.03,0.12,0.04,0.16,0.05,0.2,0.05,0.2,0.05,0.2,24.69,24.69,24.69,24.7,24.68,24.7
PFE,20250717 04:20:33.000000,0,24.68,24.67,371,1045,8910,11380,13808,0,0.04,0.01,0.08,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0,0.04,0,0,0.02,0.12,0.05,0.2,0.05,0.24,0.05,0.24,0.05,0.24,24.69,24.69,24.7,24.7,24.68,24.7
PFE,20250717 04:22:26.000000,0,24.68,24.67,1,1046,1731,11335,13809,0,0.04,0.01,0.08,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0,-0.04,0,-0.04,0.01,0.08,0.04,0.16,0.05,0.2,0.05,0.2,0.05,0.2,24.69,24.69,24.69,24.7,24.68,24.7
PFE,20250717 04:23:08.000000,0,24.68,24.67,78,768,1333,11306,13887,0,0,0,0.04,0.05,0.24,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0,0,0.01,0.04,0.04,0.16,0.05,0.2,0.05,0.2,0.05,0.2,24.69,24.69,24.69,24.69,24.69,24.7
PFE,20250717 04:24:26.000000,0,24.69,24.67,3,453,1134,10663,13890,0,0.04,0,0.04,0.05,0.2,0.07,0.28,0.07,0.28,0.07,0.28,0,0.04,0,0,0,0.04,0.03,0.16,0.05,0.24,0.05,0.24,0.05,0.24,24.7,24.69,24.7,24.7,24.69,24.7
PFE,20250717 04:26:14.000000,0,24.69,24.68,50,132,1177,9042,13940,0,0,0,0.04,0.03,0.16,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0,0.04,0,0,0.02,0.12,0.05,0.24,0.05,0.24,0.05,0.24,24.7,24.7,24.7,24.7,24.69,24.7
PFE,20250717 04:28:04.000000,0,24.69,24.68,54,185,905,1756,13994,0,0.04,0,0.04,0.02,0.12,0.07,0.28,0.07,0.28,0.07,0.28,0,0,0,0.04,0,0,0,0.04,0.05,0.24,0.05,0.24,0.05,0.24,24.69,24.69,24.7,24.7,24.69,24.7
