SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
PLTR,20250717 04:01:04.000000,0,151.07,151.07,3505,3505,3505,3505,3505,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.62,150.62,151.3,151.3,150.62,151.3
PLTR,20250717 04:02:01.000000,0,151.09,151.08,1741,5246,5246,5246,5246,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,151.05,150.62,151.19,151.3,150.62,151.3
PLTR,20250717 04:03:02.000000,0,151.1,151.08,2024,7270,7270,7270,7270,0.13,0.09,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0,0,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,0.11,0.07,151.08,151.05,151.19,151.19,150.62,151.3
PLTR,20250717 04:04:01.000000,0,151.11,151.09,4056,11326,11326,11326,11326,0.13,0.09,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,-0.03,-0.01,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,151.11,151.08,151.22,151.22,150.62,151.3
PLTR,20250717 04:05:03.000000,0,151.12,151.09,1551,12877,12877,12877,12877,0.12,0.07,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,-0.02,-0.01,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,151.1,151.1,151.22,151.22,150.62,151.3
PLTR,20250717 04:06:01.000000,0,151.12,151.1,3384,12756,16261,16261,16261,0.12,0.07,0.16,0.11,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.03,0.01,-0.02,-0.01,0.09,0.05,0.09,0.05,0.09,0.05,0.09,0.05,0.09,0.05,151.13,151.1,151.22,151.22,151.05,151.22
PLTR,20250717 04:07:03.000000,0,151.14,151.11,1643,12658,17904,17904,17904,0.12,0.08,0.17,0.11,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.03,0.01,0,0,0.12,0.07,0.12,0.07,0.12,0.07,0.12,0.07,0.12,0.07,151.18,151.13,151.26,151.26,151.08,151.26
PLTR,20250717 04:08:01.000000,0,151.13,151.11,1617,12251,19521,19521,19521,0.15,0.1,0.15,0.1,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,-0.06,-0.03,-0.02,-0.01,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,151.1,151.1,151.19,151.26,151.1,151.26
PLTR,20250717 04:09:01.000000,0,151.14,151.11,966,9161,20487,20487,20487,0.09,0.05,0.15,0.1,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.03,0.01,0.03,0.01,0.09,0.05,0.09,0.05,0.09,0.05,0.09,0.05,0.09,0.05,151.12,151.1,151.19,151.19,151.1,151.26
PLTR,20250717 04:10:09.000000,0,151.14,151.11,653,8263,21140,21140,21140,0.07,0.05,0.15,0.1,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,-0.03,-0.01,-0.03,-0.01,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,151.11,151.11,151.18,151.19,151.1,151.26
PLTR,20250717 04:11:01.000000,0,151.12,151.11,2095,6974,19730,23235,23235,0.14,0.09,0.21,0.14,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,-0.04,-0.03,-0.1,-0.07,-0.09,-0.06,0.01,0,0.01,0,0.01,0,0.01,0,151.04,151.04,151.13,151.18,151.04,151.26
PLTR,20250717 04:12:01.000000,0,151.12,151.11,952,6283,18941,24187,24187,0.09,0.05,0.15,0.09,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.04,0.03,0,0,-0.05,-0.03,0.06,0.03,0.06,0.03,0.06,0.03,0.06,0.03,151.06,151.04,151.13,151.13,151.04,151.19
PLTR,20250717 04:13:07.000000,0,151.13,151.12,1299,5965,18216,25486,25486,0.09,0.06,0.15,0.09,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,0.02,0.01,0,0,0,0,0.08,0.05,0.08,0.05,0.08,0.05,0.08,0.05,151.09,151.06,151.16,151.16,151.04,151.19
PLTR,20250717 04:14:04.000000,0,151.13,151.12,754,5753,14914,26240,26240,0.09,0.05,0.14,0.09,0.68,0.44,0.68,0.44,0.68,0.44,0.68,0.44,-0.03,-0.01,0,0,0,0,0.05,0.03,0.05,0.03,0.05,0.03,0.05,0.03,151.09,151.09,151.18,151.18,151.04,151.18
PLTR,20250717 04:15:06.000000,0,151.11,151.11,1074,6174,14437,27314,27314,0.12,0.08,0.14,0.09,0.68,0.45,0.68,0.45,0.68,0.45,0.68,0.45,-0.06,-0.03,-0.02,-0.01,-0.09,-0.06,0,0,0,0,0,0,0,0,151.05,151.05,151.12,151.18,151.04,151.18
PLTR,20250717 04:16:01.000000,0,151.12,151.12,1430,5509,12483,25239,28744,0.12,0.08,0.12,0.08,0.21,0.14,0.68,0.44,0.68,0.44,0.68,0.44,0.12,0.07,0.05,0.03,0,0,0,0,0.11,0.07,0.11,0.07,0.11,0.07,151.07,151.05,151.18,151.18,151.05,151.18
PLTR,20250717 04:17:01.000000,0,151.13,151.12,1988,6545,12828,25486,30732,0.11,0.07,0.12,0.08,0.21,0.14,0.68,0.44,0.68,0.44,0.68,0.44,-0.02,-0.01,0,0,0.03,0.01,-0.02,-0.01,0.09,0.05,0.09,0.05,0.09,0.05,151.13,151.07,151.16,151.18,151.05,151.18
PLTR,20250717 04:18:03.000000,0,151.12,151.12,2835,8081,14046,26297,33567,0.15,0.1,0.15,0.1,0.23,0.15,0.68,0.45,0.68,0.45,0.68,0.45,-0.07,-0.05,-0.03,-0.02,-0.07,-0.05,-0.06,-0.04,0.01,0,0.01,0,0.01,0,151.02,151.02,151.18,151.18,151.02,151.18
PLTR,20250717 04:19:02.000000,0,151.1,151.11,897,8224,13977,23138,34464,0.15,0.1,0.15,0.1,0.23,0.15,0.68,0.45,0.68,0.45,0.68,0.45,-0.03,-0.01,0,0,-0.07,-0.05,-0.07,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,151.04,151.02,151.1,151.18,151.02,151.18
PLTR,20250717 04:20:10.000000,0,151.1,151.11,746,7896,14070,22333,35210,0.07,0.04,0.15,0.1,0.23,0.15,0.68,0.45,0.68,0.45,0.68,0.45,0.06,0.03,-0.06,-0.04,0.03,0.01,-0.04,-0.03,0.04,0.02,0.04,0.02,0.04,0.02,151.05,151.04,151.11,151.11,151.02,151.18
PLTR,20250717 04:21:06.000000,0,151.09,151.1,615,7081,12590,19564,35825,0.06,0.03,0.15,0.1,0.23,0.15,0.68,0.45,0.68,0.45,0.68,0.45,-0.06,-0.03,-0.1,-0.07,-0.07,-0.05,-0.13,-0.09,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,151.05,151.05,151.08,151.11,151.02,151.18
PLTR,20250717 04:22:04.000000,0,151.09,151.1,1235,6328,12873,19156,37060,0.05,0.03,0.15,0.1,0.16,0.11,0.68,0.45,0.68,0.45,0.68,0.45,0.03,0.01,0,0,-0.06,-0.04,-0.04,-0.03,0.01,0,0.01,0,0.01,0,151.03,151.03,151.08,151.08,151.02,151.18
PLTR,20250717 04:23:13.000000,0,151.1,151.1,1788,5281,13362,19327,38848,0.12,0.08,0.12,0.08,0.16,0.11,0.68,0.44,0.68,0.44,0.68,0.44,0.04,0.03,0.07,0.05,0,0,-0.03,-0.01,0.06,0.03,0.06,0.03,0.06,0.03,151.06,151.03,151.16,151.16,151.03,151.16
PLTR,20250717 04:24:01.000000,0,151.09,151.1,814,5198,13422,19175,39662,0.09,0.06,0.12,0.08,0.15,0.1,0.68,0.45,0.68,0.45,0.68,0.45,-0.04,-0.03,-0.03,-0.01,0.02,0.01,-0.04,-0.03,0.01,0,0.01,0,0.01,0,151.06,151.06,151.13,151.16,151.03,151.16
PLTR,20250717 04:25:01.000000,0,151.08,151.1,1903,6355,14251,20425,41565,0.09,0.06,0.12,0.08,0.15,0.1,0.68,0.45,0.68,0.45,0.68,0.45,-0.02,-0.01,0,0,-0.12,-0.07,-0.02,-0.01,0,0,0,0,0,0,151.03,151.03,151.13,151.13,151.03,151.16
