SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
PLTR, 20250717 04:00:00.000000,10,1,151.3,151.3,150.62,150.93,1273,151.13
PLTR, 20250717 04:00:01.000000,26,1,151.19,151.19,150.93,151.19,84,150.97
PLTR, 20250717 04:00:02.000000,37,1,151.09,151.09,151.09,151.09,5,151.09
PLTR, 20250717 04:00:03.000000,78,1,151.09,151.19,151.09,151.1,166,151.12
PLTR, 20250717 04:00:07.000000,82,1,151.13,151.13,151.13,151.13,3,151.13
PLTR, 20250717 04:00:08.000000,101,1,151.13,151.13,151.13,151.13,1,151.13
PLTR, 20250717 04:00:10.000000,107,1,151.15,151.15,151.13,151.13,120,151.13
PLTR, 20250717 04:00:11.000000,139,1,151.04,151.04,151.04,151.04,10,151.04
PLTR, 20250717 04:00:17.000000,150,1,151.13,151.13,151.13,151.13,5,151.13
PLTR, 20250717 04:00:18.000000,171,1,151.22,151.22,151.22,151.22,25,151.22
PLTR, 20250717 04:00:21.000000,178,1,151.19,151.19,151.19,151.19,3,151.19
PLTR, 20250717 04:00:22.000000,206,1,151.1,151.16,151.1,151.16,97,151.13
PLTR, 20250717 04:00:26.000000,243,1,151.04,151.04,151.04,151.04,100,151.04
PLTR, 20250717 04:00:31.000000,264,1,151.1,151.1,151.01,151.01,90,151.08
PLTR, 20250717 04:00:34.000000,289,1,151.01,151.01,151.01,151.01,1,151.01
PLTR, 20250717 04:00:37.000000,305,1,151.01,151.02,151.01,151.02,5,151.02
PLTR, 20250717 04:00:39.000000,312,1,151.04,151.04,151.01,151.01,265,151.03
PLTR, 20250717 04:00:40.000000,325,1,151.01,151.01,151,151,35,151.01
PLTR, 20250717 04:00:42.000000,339,1,151.08,151.08,151.08,151.08,20,151.08
PLTR, 20250717 04:00:44.000000,347,1,151,151.04,151,151.01,374,151.02
PLTR, 20250717 04:00:45.000000,380,1,151.04,151.06,151.04,151.05,259,151.06
PLTR, 20250717 04:00:48.000000,393,1,151.01,151.01,151.01,151.01,8,151.01
PLTR, 20250717 04:00:50.000000,404,1,151.04,151.04,151.04,151.04,69,151.04
PLTR, 20250717 04:00:51.000000,432,1,151.05,151.05,151.05,151.05,2,151.05
PLTR, 20250717 04:00:54.000000,434,1,151.02,151.02,151.02,151.02,2,151.02
PLTR, 20250717 04:00:55.000000,440,1,151.08,151.08,151.08,151.08,57,151.08
PLTR, 20250717 04:00:56.000000,457,1,151.1,151.16,151.08,151.16,228,151.13
PLTR, 20250717 04:00:58.000000,506,1,151.08,151.08,151.07,151.07,198,151.08
PLTR, 20250717 04:01:03.000000,525,1,151.06,151.06,151.05,151.05,12,151.06
PLTR, 20250717 04:01:04.000000,535,1,151.05,151.05,151.05,151.05,1,151.05
PLTR, 20250717 04:01:05.000000,542,1,151.05,151.05,151.05,151.05,1,151.05
PLTR, 20250717 04:01:06.000000,559,1,151.09,151.09,151.09,151.09,3,151.09
PLTR, 20250717 04:01:07.000000,570,1,151.09,151.09,151.09,151.09,5,151.09
PLTR, 20250717 04:01:08.000000,595,1,151.09,151.09,151.09,151.09,1,151.09
PLTR, 20250717 04:01:10.000000,619,1,151.09,151.09,151.09,151.09,4,151.09
