SymbolId,CurrentTime,Index,EMA9min,EMA20min,Vol1Min,Vol5Min,Vol10Min,Vol15Min,Vol30Min,Range_2M,RangePerc_2M,Range_5M,RangePerc_5M,Range_15M,RangePerc_15M,Range_30M,RangePerc_30M,Range_60M,RangePerc_60M,Range_120M,RangePerc_120M,Chg_2M,ChgPerc_2M,Chg_5M,ChgPerc_5M,Chg_10M,ChgPerc_10M,Chg_15M,ChgPerc_15M,Chg_30M,ChgPerc_30M,Chg_60M,ChgPerc_60M,Chg_120M,ChgPerc_120M,Low_60S,Low_120S,High_60S,High_120S,Low_300S,High_300S
PLUG,20250717 04:01:16.000000,0,1.52,1.52,2693,2693,2693,2693,2693,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:02:02.000000,0,1.52,1.52,3575,6268,6268,6268,6268,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:03:07.000000,0,1.52,1.52,15997,22265,22265,22265,22265,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:04:01.000000,0,1.52,1.52,3214,25479,25479,25479,25479,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:05:06.000000,0,1.52,1.52,1493,26972,26972,26972,26972,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:06:11.000000,0,1.52,1.52,11159,35438,38131,38131,38131,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:07:01.000000,0,1.52,1.52,689,32552,38820,38820,38820,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:08:02.000000,0,1.52,1.52,11222,27777,50042,50042,50042,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:09:07.000000,0,1.52,1.52,2053,26616,52095,52095,52095,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:10:04.000000,0,1.52,1.52,4050,29173,56145,56145,56145,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,-0.01,-0.65,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:11:06.000000,0,1.52,1.52,1023,19037,54475,57168,57168,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:12:24.000000,0,1.52,1.52,1429,19777,52329,58597,58597,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:13:04.000000,0,1.52,1.52,42,8597,36374,58639,58639,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:14:08.000000,0,1.52,1.52,512,7056,33672,59151,59151,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:15:18.000000,0,1.52,1.52,746,3752,32925,59897,59897,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:16:04.000000,0,1.52,1.52,267,2996,22033,57471,60164,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.52,1.52,1.53
PLUG,20250717 04:17:27.000000,0,1.52,1.52,21717,23284,43061,75613,81881,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:18:19.000000,0,1.52,1.52,247,23489,32086,59863,82128,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:19:02.000000,0,1.52,1.52,1520,24497,31553,58169,83648,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.52,1.53
PLUG,20250717 04:20:16.000000,0,1.52,1.52,1632,25383,29135,58308,85280,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:21:48.000000,0,1.52,1.52,164,25280,28276,47313,85444,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:22:03.000000,0,1.52,1.52,25,3588,26872,46649,85469,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:23:22.000000,0,1.52,1.52,6966,10307,33796,42393,92435,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:24:15.000000,0,1.52,1.52,8900,17687,42184,49240,101335,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:25:05.000000,0,1.52,1.52,2796,18851,44234,47986,104131,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,-0.01,-0.65,0,0,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:26:13.000000,0,1.52,1.52,5871,24558,49838,52834,110002,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:27:15.000000,0,1.52,1.52,753,25286,28874,52158,110755,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:28:11.000000,0,1.52,1.52,23,18343,28650,52139,110778,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:29:04.000000,0,1.52,1.52,2276,11719,29406,53903,113054,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:30:30.000000,0,1.52,1.52,3560,12483,31334,56717,116614,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,0,0,-0.01,-0.65,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:31:12.000000,0,1.52,1.52,754,7366,31924,57204,114675,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,-0.01,-0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.52,1.52,1.52,1.53
PLUG,20250717 04:32:25.000000,0,1.52,1.52,88,6701,31987,35575,111188,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:33:06.000000,0,1.52,1.52,4020,10698,29041,39348,99211,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,-0.01,-0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:34:06.000000,0,1.52,1.52,102,8524,20243,37930,96099,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:35:10.000000,0,1.52,1.52,621,5585,18068,36919,95227,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,-0.01,-0.65,-0.01,-0.65,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:36:05.000000,0,1.52,1.52,3116,7947,15313,39871,87184,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,-0.01,-0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:37:05.000000,0,1.52,1.52,2787,10646,17347,42633,89282,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0,0,-0.01,-0.65,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:38:03.000000,0,1.52,1.52,1818,8444,19142,37485,79878,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:39:24.000000,0,1.52,1.52,2150,10492,19016,30735,79975,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:40:23.000000,0,1.52,1.52,201,10072,15657,28140,76126,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.52,1.53
PLUG,20250717 04:41:13.000000,0,1.52,1.52,40,6996,14943,22309,75143,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.52,1.53
PLUG,20250717 04:42:05.000000,0,1.52,1.52,10154,14363,25009,31710,83868,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:43:10.000000,0,1.52,1.52,5221,17766,26210,36908,89047,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.52,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:44:27.000000,0,1.52,1.52,4,15620,26112,34636,88539,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,-0.01,-0.65,-0.01,-0.65,0,0,0,0,0,0,0,0,0,0,1.52,1.52,1.52,1.53,1.52,1.53
PLUG,20250717 04:45:06.000000,0,1.52,1.52,503,15922,25994,31579,88296,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.52,1.53,1.53,1.52,1.53
PLUG,20250717 04:47:04.000000,0,1.52,1.52,39468,55350,62346,70293,127497,0,0,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,0,0,0,0,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.52,1.53
PLUG,20250717 04:48:22.000000,0,1.52,1.52,7861,47836,65602,74046,113394,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0.02,1.29,0.02,1.29,0,0,0.02,1.29,0.01,0.64,0.02,1.29,0.01,0.64,0.02,1.29,0.02,1.29,1.53,1.53,1.54,1.54,1.52,1.54
PLUG,20250717 04:50:22.000000,0,1.52,1.52,10,47842,63462,73954,111884,0.01,0.65,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,-0.01,-0.65,0,0,0,0,0.01,0.65,0,0,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.54,1.53,1.54
PLUG,20250717 04:51:57.000000,0,1.52,1.52,3500,11371,66721,73717,113588,0,0,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0,0,-0.01,-0.65,0.01,0.65,0.01,0.65,0,0,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.53,1.54
PLUG,20250717 04:53:27.000000,0,1.52,1.52,94,11465,56661,71024,113657,0,0,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0,0,-0.01,-0.65,0,0,0,0,0,0,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.53,1.54
PLUG,20250717 04:54:56.000000,0,1.52,1.52,1003,4597,52439,68059,98794,0.01,0.65,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0,0,0,0,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.53,1.54,1.54,1.53,1.54
PLUG,20250717 04:55:55.000000,0,1.52,1.52,2600,7197,54536,70458,98598,0.01,0.65,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0.02,1.3,0,0,0,0,0,0,0,0,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.53,1.54,1.54,1.53,1.54
PLUG,20250717 04:56:12.000000,0,1.53,1.52,50,3747,15118,70468,92777,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0.02,1.29,0.01,0.64,0.01,0.64,0,0,0.02,1.29,0.01,0.64,0.02,1.29,0.02,1.29,1.54,1.53,1.54,1.54,1.53,1.54
PLUG,20250717 04:58:15.000000,0,1.53,1.53,70,3723,15188,60384,92094,0,0,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0.02,1.29,0,0,0.01,0.64,0,0,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,1.54,1.54,1.54,1.54,1.53,1.54
PLUG,20250717 04:59:42.000000,0,1.53,1.53,19,2739,7336,55178,89814,0,0,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0,0,0.01,0.64,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,1.54,1.54,1.54,1.54,1.53,1.54
PLUG,20250717 05:01:38.000000,0,1.53,1.53,700,839,8036,55375,86954,0,0,0,0,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0,0,0,0,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,1.54,1.54,1.54,1.54,1.54,1.54
PLUG,20250717 05:02:16.000000,0,1.53,1.53,501,1220,4943,16408,86613,0,0,0.01,0.65,0.01,0.65,0.02,1.3,0.02,1.3,0.02,1.3,0,0,-0.01,-0.65,0,0,-0.01,-0.65,0.01,0.65,0.01,0.65,0.01,0.65,1.53,1.53,1.53,1.53,1.53,1.54
PLUG,20250717 05:03:02.000000,0,1.53,1.53,1513,2733,6456,10060,84106,0.01,0.64,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,0.01,0.64,0,0,0.01,0.64,0.01,0.64,0.02,1.29,0.02,1.29,0.02,1.29,1.54,1.53,1.54,1.54,1.53,1.54
