SymbolId,BarStartTime,Index,Interval,Open,High,Low,Close,Volume,Vwap
PLUG, 20250717 04:00:00.000000,17,1,1.53,1.53,1.53,1.53,34,1.53
PLUG, 20250717 04:00:01.000000,24,1,1.53,1.53,1.52,1.53,482,1.52
PLUG, 20250717 04:00:02.000000,99,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:00:10.000000,242,1,1.52,1.53,1.52,1.52,1543,1.52
PLUG, 20250717 04:00:31.000000,345,1,1.52,1.52,1.52,1.52,533,1.52
PLUG, 20250717 04:00:45.000000,637,1,1.52,1.52,1.52,1.52,100,1.52
PLUG, 20250717 04:01:15.000000,681,1,1.52,1.52,1.52,1.52,20,1.52
PLUG, 20250717 04:01:19.000000,701,1,1.52,1.52,1.52,1.52,87,1.52
PLUG, 20250717 04:01:20.000000,726,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:01:22.000000,774,1,1.52,1.52,1.52,1.52,210,1.52
PLUG, 20250717 04:01:26.000000,804,1,1.52,1.52,1.52,1.52,1700,1.52
PLUG, 20250717 04:01:28.000000,862,1,1.52,1.52,1.52,1.52,21,1.52
PLUG, 20250717 04:01:33.000000,899,1,1.52,1.52,1.52,1.52,120,1.52
PLUG, 20250717 04:01:36.000000,914,1,1.52,1.53,1.52,1.53,1139,1.53
PLUG, 20250717 04:01:37.000000,920,1,1.52,1.52,1.52,1.52,25,1.52
PLUG, 20250717 04:01:38.000000,969,1,1.52,1.52,1.52,1.52,200,1.52
PLUG, 20250717 04:01:42.000000,1029,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:01:48.000000,1038,1,1.53,1.53,1.53,1.53,16,1.53
PLUG, 20250717 04:01:49.000000,1094,1,1.53,1.53,1.53,1.53,30,1.53
PLUG, 20250717 04:01:55.000000,1161,1,1.52,1.52,1.52,1.52,5,1.52
PLUG, 20250717 04:02:01.000000,1170,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:02:02.000000,1182,1,1.53,1.53,1.53,1.53,208,1.53
PLUG, 20250717 04:02:03.000000,1195,1,1.53,1.53,1.52,1.52,1330,1.52
PLUG, 20250717 04:02:04.000000,1226,1,1.53,1.53,1.53,1.53,46,1.53
PLUG, 20250717 04:02:07.000000,1239,1,1.53,1.53,1.53,1.53,5000,1.53
PLUG, 20250717 04:02:09.000000,1254,1,1.53,1.53,1.53,1.53,500,1.53
PLUG, 20250717 04:02:10.000000,1277,1,1.53,1.53,1.53,1.53,10,1.53
PLUG, 20250717 04:02:12.000000,1298,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:02:14.000000,1371,1,1.53,1.53,1.53,1.53,40,1.53
PLUG, 20250717 04:02:20.000000,1390,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:02:22.000000,1442,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:02:27.000000,1455,1,1.52,1.52,1.52,1.52,5,1.52
PLUG, 20250717 04:02:28.000000,1465,1,1.53,1.53,1.53,1.53,300,1.53
PLUG, 20250717 04:02:30.000000,1494,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:02:32.000000,1550,1,1.53,1.53,1.53,1.53,3,1.53
PLUG, 20250717 04:02:37.000000,1602,1,1.53,1.53,1.53,1.53,1,1.53
PLUG, 20250717 04:02:42.000000,1613,1,1.52,1.52,1.52,1.52,8332,1.52
PLUG, 20250717 04:02:43.000000,1626,1,1.52,1.52,1.52,1.52,5,1.52
PLUG, 20250717 04:02:44.000000,1651,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:02:46.000000,1675,1,1.52,1.52,1.52,1.52,76,1.52
PLUG, 20250717 04:02:48.000000,1732,1,1.53,1.53,1.53,1.53,5,1.53
PLUG, 20250717 04:02:53.000000,1768,1,1.52,1.52,1.52,1.52,120,1.52
PLUG, 20250717 04:02:58.000000,1858,1,1.52,1.52,1.52,1.52,10,1.52
PLUG, 20250717 04:03:06.000000,1879,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:03:08.000000,1945,1,1.52,1.52,1.52,1.52,50,1.52
PLUG, 20250717 04:03:15.000000,1985,1,1.52,1.52,1.52,1.52,1,1.52
PLUG, 20250717 04:03:19.000000,1998,1,1.52,1.52,1.52,1.52,32,1.52
PLUG, 20250717 04:03:20.000000,2048,1,1.52,1.52,1.52,1.52,50,1.52
